00007ff8438a0c68 (__DATA,__data) non-external _C
00007ff8438a1f50 (__DATA,__bss) non-external _CF6464
00007ff802b0b3f0 (__TEXT,__const) non-external _CIFP
00007ff8438a2880 (__DATA,__bss) non-external _EMSG
00007ff8438a2881 (__DATA,__bss) non-external _EMSG
00007ff802b0b3c0 (__TEXT,__const) non-external _ExpandTr
00007ff8438a1f40 (__DATA,__bss) non-external _IE3264
00007ff802b0b380 (__TEXT,__const) non-external _IP
00007ff8438a1eb0 (__DATA,__bss) non-external _KS
00007ff84366c4c0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff84366c4f0 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff802b0b430 (__TEXT,__const) non-external _P32Tr
00007ff802b0b340 (__TEXT,__const) non-external _PC1
00007ff8438a1ea8 (__DATA,__bss) non-external _PC1ROT
00007ff802b0b300 (__TEXT,__const) non-external _PC2
00007ff8438a1f30 (__DATA,__bss) non-external _PC2ROT
00007ff802b0b2f0 (__TEXT,__const) non-external _Rotates
00007ff802b0b450 (__TEXT,__const) non-external _S
00007ff8438a1f48 (__DATA,__bss) non-external _SPE
00007ff802adf587 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff802adf5be (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff802adf6bc (__TEXT,__text) non-external __BIG5_mbsinit
00007ff802adf67f (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8438a0cc0 (__DATA,__data) non-external __C_lconv
00007ff840086250 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840086270 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840086318 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840086520 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8438a0e10 (__DATA,__data) external __CurrentRuneLocale
00007ff8438a0f48 (__DATA,__constrw) external __DefaultRuneLocale
00007ff8438a1bd0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff802ae16bb (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff802ae1721 (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff802ae1767 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff802ae1745 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff802ae1771 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff802ae1856 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff802ae18bc (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff802ae1911 (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff802ae18e6 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff802ae191b (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff802ae1796 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff802ae17fc (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff802ae1842 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff802ae1820 (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff802ae184c (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff802ae198b (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff802ae19f1 (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff802ae1a43 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff802ae1a1b (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff802ae1a4d (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff802ae1925 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff802ae1a57 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff802ae177b (__TEXT,__text) non-external __EUC_mbsinit
00007ff802ae1b89 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff802af699d (__TEXT,__text) external __Exit
00007ff802ae1c8f (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff802ae1cc6 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff802ae1f1e (__TEXT,__text) non-external __GB18030_mbsinit
00007ff802ae1e15 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff802ae1f38 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff802ae1f6f (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff802ae20ae (__TEXT,__text) non-external __GB2312_mbsinit
00007ff802ae2071 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff802ae20c8 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff802ae20ff (__TEXT,__text) non-external __GBK_mbrtowc
00007ff802ae21fd (__TEXT,__text) non-external __GBK_mbsinit
00007ff802ae21c0 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff802ae2690 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff802ae26c7 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff802ae2937 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff802ae27a3 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff802a8f4d9 (__TEXT,__text) external __NSGetArgc
00007ff802a8f4cc (__TEXT,__text) external __NSGetArgv
