00007ff812f25540 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff812f253b0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff812f26040 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS.383
00007ff812f25b40 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff812f25640 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff812f25f40 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff812f25a40 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff812f20810 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff812f20830 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff812f10ca0 (__TEXT,__text) non-external _active_outbound_item_reset
00007ff812f1579c (__TEXT,__text) non-external _add_hd_table_incremental
00007ff812f18bd1 (__TEXT,__text) non-external _bubble_down
00007ff812f18b71 (__TEXT,__text) non-external _bubble_up
00007ff812f10bc0 (__TEXT,__text) non-external _buf_chain_new
00007ff812f1a1b8 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _clock_gettime (from libSystem)
00007ff812f10ac1 (__TEXT,__text) non-external _default_calloc
00007ff812f10e17 (__TEXT,__text) non-external _default_free
00007ff812f10ad8 (__TEXT,__text) non-external _default_malloc
00007ff812f10c90 (__TEXT,__text) non-external _default_realloc
00007ff812f152be (__TEXT,__text) non-external _emit_indname_block
00007ff812f153fc (__TEXT,__text) non-external _emit_string
00007ff812f17d3a (__TEXT,__text) non-external _emit_table_size
00007ff812f15adc (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff812f1b90b (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff812f17be4 (__TEXT,__text) non-external _hd_context_free
00007ff812f164a3 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff812f188f3 (__TEXT,__text) non-external _hd_get_table_entry
00007ff812f1732f (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff812f173f2 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff812f17234 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff812f17114 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff812f17c4a (__TEXT,__text) non-external _hd_ringbuf_get
00007ff812f211d0 (__TEXT,__const) non-external _huff_decode_table
00007ff812f209c0 (__TEXT,__const) non-external _huff_sym_table
00007ff812f14737 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
