00007ffe0afc44b0 (__TEXT,__text) non-external -[AVURLAsset(MediaCoreUI_SwiftWorkaround) mcui_safeURL]
                 (undefined) external _AVAssetDownloadTaskDestinationURLKey (from AVFoundation)
                 (undefined) external _AVAssetDownloadTaskMinimumRequiredPresentationSizeKey (from AVFoundation)
                 (undefined) external _AVAudioSessionCategoryAmbient (from AVFAudio)
                 (undefined) external _AVAudioSessionMediaServicesWereLostNotification (from AVFAudio)
                 (undefined) external _AVAudioSessionMediaServicesWereResetNotification (from AVFAudio)
                 (undefined) external _AVFoundationErrorDomain (from AVFoundation)
                 (undefined) external _AVLayerVideoGravityResizeAspect (from AVFoundation)
                 (undefined) external _AVLayerVideoGravityResizeAspectFill (from AVFoundation)
                 (undefined) external _AVMediaCharacteristicAudible (from AVFoundation)
                 (undefined) external _AVMediaTypeVideo (from AVFoundation)
                 (undefined) external _AXDurationStringForDuration (from AccessibilityUtilities)
                 (undefined) external _AXDurationStringForDurationWithSeconds (from AccessibilityUtilities)
                 (undefined) external _AudioQueueAllocateBuffer (from AudioToolbox)
                 (undefined) external _AudioQueueDispose (from AudioToolbox)
                 (undefined) external _AudioQueueEnqueueBuffer (from AudioToolbox)
                 (undefined) external _AudioQueueFreeBuffer (from AudioToolbox)
                 (undefined) external _AudioQueueNewInput (from AudioToolbox)
                 (undefined) external _AudioQueueSetProperty (from AudioToolbox)
                 (undefined) external _AudioQueueStart (from AudioToolbox)
                 (undefined) external _AudioQueueStop (from AudioToolbox)
00007ffe423b51f0 (__DATA,__bss) non-external _AvailabilityVersionCheck
                 (undefined) external _CAColorMatrixConcat (from QuartzCore)
                 (undefined) external _CAColorMatrixMakeSaturation (from QuartzCore)
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
                 (undefined) external _CATransform3DIdentity (from QuartzCore)
                 (undefined) external _CATransform3DMakeAffineTransform (from QuartzCore)
                 (undefined) external _CATransform3DMakeRotation (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CATransform3DMakeTranslation (from QuartzCore)
                 (undefined) external _CATransform3DScale (from QuartzCore)
                 (undefined) external _CATransform3DTranslate (from QuartzCore)
                 (undefined) external _CFDataCreate (from CoreFoundation)
