00000001c55d66e4 (__TEXT,__text) external _AppleNVMeDeviceSupportsPanicLogAccess
00000001c55d60cc (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByNSType
00000001c55d60f4 (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByName
00000001c55d6424 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockCount
00000001c55d6364 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockSize
00000001c55d62dc (__TEXT,__text) non-external _AppleNVMeNamespaceAccessMatchingServiceCallback
00000001c55d633c (__TEXT,__text) external _AppleNVMeNamespaceAccessOpenConection
00000001c55d64e4 (__TEXT,__text) external _AppleNVMeNamespaceAccessReadData
00000001c55d663c (__TEXT,__text) external _AppleNVMeNamespaceAccessUnmapRange
00000001c55d6590 (__TEXT,__text) external _AppleNVMeNamespaceAccessWriteData
00000001c55d6828 (__TEXT,__text) external _AppleNVMePanicLogGetSize
00000001e1fbb508 (__DATA,__data) external _AppleNVMePanicLogSourcePath
00000001c55d68f8 (__TEXT,__text) external _AppleNVMeReadPanicLogData
00000001c55d6c00 (__TEXT,__const) external _AppleNVMeVersionNumber
00000001c55d6bc8 (__TEXT,__const) external _AppleNVMeVersionString
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFStringCreateFromExternalRepresentation (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IONotificationPortCreate (from IOKit)
                 (undefined) external _IONotificationPortDestroy (from IOKit)
                 (undefined) external _IONotificationPortGetRunLoopSource (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IOObjectRetain (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceAddMatchingNotification (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMasterPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
00000001e1fbb498 (__DATA,__data) external _sNVMeEmbeddedNamespaceTypeNames
