000000025a25077c (__TEXT,__text) external _BSDPClientCreate
000000025a250770 (__TEXT,__text) external _BSDPClientCreateWithInterface
000000025a24fb90 (__TEXT,__text) external _BSDPClientCreateWithInterfaceAndAttributes
000000025a250790 (__TEXT,__text) external _BSDPClientFree
000000025a250868 (__TEXT,__text) external _BSDPClientList
000000025a250eb4 (__TEXT,__text) external _BSDPClientSelect
000000025a24fb58 (__TEXT,__text) external _BSDPImageDescriptionIdentifierImageKind
000000025a24fb20 (__TEXT,__text) external _BSDPImageDescriptionIdentifierIsInstall
000000025a24fae4 (__TEXT,__text) external _BSDPImageDescriptionIdentifierIsServerLocal
000000025a24faa8 (__TEXT,__text) external _BSDPImageDescriptionIndexIsServerLocal
000000025a251430 (__TEXT,__text) external _BSPPClientSelect
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopAddTimer (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRemoveSource (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerInvalidate (from CoreFoundation)
                 (undefined) external _CFSocketCreateRunLoopSource (from CoreFoundation)
                 (undefined) external _CFSocketCreateWithNative (from CoreFoundation)
                 (undefined) external _CFSocketInvalidate (from CoreFoundation)
                 (undefined) external _CFStringCreateArrayBySeparatingStrings (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _CFStringHasSuffix (from CoreFoundation)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _SCDynamicStoreCopyMultiple (from SystemConfiguration)
                 (undefined) external _SCDynamicStoreCreate (from SystemConfiguration)
                 (undefined) external _SCDynamicStoreKeyCreateNetworkServiceEntity (from SystemConfiguration)
                 (undefined) external __SCNetworkInterfaceCreateWithBSDName (from SystemConfiguration)
                 (undefined) external __SCNetworkInterfaceIsCarPlay (from SystemConfiguration)
                 (undefined) external __SCNetworkInterfaceIsTetheredHotspot (from SystemConfiguration)
                 (undefined) external __SC_syslog_os_log_mapping (from SystemConfiguration)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___SC_log_enabled (from SystemConfiguration)
                 (undefined) external ___SC_log_send (from SystemConfiguration)
