00007ff80b7afdfe (__TEXT,__text) non-external _Annihilate
00007ff80b7f34f6 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80b7f3db5 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80b7f2005 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80b7afbf3 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80b7cc28f (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80b7a0240 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80b7afeda (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80b7a052b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80b7f04cf (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80b7f0e72 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80b7a0826 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80b7b7718 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80b7c3744 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80b7c43ee (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80b7c2a9a (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80b7c2e1b (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80b7c3ac5 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80b7c2171 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80b7a9538 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80b7aae82 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80b7ac65c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80b7ade36 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80b7a96a8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80b7e3f28 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80b7e60c6 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80b7e7063 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80b7e8000 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80b7e8f9d (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80b7e9f3a (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80b7eaed7 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80b7ebe74 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80b7ecf1b (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80b7e418c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80b7e5129 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80b7c040e (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80b7d36f0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80b7c71c3 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80b7bfa70 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80b7c709a (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80b7b5d04 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80b7b5dd5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80b7b5eb0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80b7b5da0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80b7ba3e4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80b7ba3db (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80b7ba2bc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80b7bc866 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80b7ba39d (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80b7ba384 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80b7b5cb8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80b7bc82b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80b7bc79b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80b7bc634 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80b7bc722 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80b7ba2f0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80b7ba408 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80b7b5a38 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80b7b5a45 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80b7b0a81 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80b7a1a65 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80b7a3978 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80b7a17e8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80b7a1937 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80b7a89a4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80b7a4a7b (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
