                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00000001f27c3488 (__DATA_CONST,__const) external _MTRArrayValueType
00000001dcf404e0 (__TEXT,__text) external _MTRAttributeNameForID
00000001f27c3400 (__DATA_CONST,__const) external _MTRAttributePathKey
00000001f27c3450 (__DATA_CONST,__const) external _MTRBooleanValueType
00000001dcf3f52c (__TEXT,__text) external _MTRClusterNameForID
00000001f27c3408 (__DATA_CONST,__const) external _MTRCommandPathKey
00000001f27c3438 (__DATA_CONST,__const) external _MTRContextTagKey
00000001f27c3418 (__DATA_CONST,__const) external _MTRDataKey
00000001f27c7380 (__DATA_CONST,__const) external _MTRDataVersionKey
00000001dd420330 (__TEXT,__text) external _MTRDeviceControllerStorageClasses
00000001f27c3470 (__DATA_CONST,__const) external _MTRDoubleValueType
00000001f27c6460 (__DATA_CONST,__const) external _MTRErrorDomain
00000001f27c3420 (__DATA_CONST,__const) external _MTRErrorKey
00000001f27c34b8 (__DATA_CONST,__const) external _MTREventIsHistoricalKey
00000001f27c3490 (__DATA_CONST,__const) external _MTREventNumberKey
00000001f27c3410 (__DATA_CONST,__const) external _MTREventPathKey
00000001f27c3498 (__DATA_CONST,__const) external _MTREventPriorityKey
00000001f27c34a8 (__DATA_CONST,__const) external _MTREventSystemUpTimeKey
00000001f27c34a0 (__DATA_CONST,__const) external _MTREventTimeTypeKey
00000001f27c34b0 (__DATA_CONST,__const) external _MTREventTimestampDateKey
00000001f27c3468 (__DATA_CONST,__const) external _MTRFloatValueType
00000001f27c6468 (__DATA_CONST,__const) external _MTRInteractionErrorDomain
00000001f27c3478 (__DATA_CONST,__const) external _MTRNullValueType
00000001f27c3460 (__DATA_CONST,__const) external _MTROctetStringValueType
00000001f27c7378 (__DATA_CONST,__const) external _MTRPreviousDataKey
00000001dd53283c (__TEXT,__text) external _MTRSetLogCallback
00000001dcf58d08 (__TEXT,__text) external _MTRSetMessageReliabilityParameters
00000001f27c3440 (__DATA_CONST,__const) external _MTRSignedIntegerValueType
00000001dd738150 (__TEXT,__const) external _MTRSizeThreadExtendedPANID
00000001dd738158 (__TEXT,__const) external _MTRSizeThreadExtendedPanId
00000001dd738160 (__TEXT,__const) external _MTRSizeThreadMasterKey
00000001dd738148 (__TEXT,__const) external _MTRSizeThreadNetworkName
00000001dd738170 (__TEXT,__const) external _MTRSizeThreadPANID
00000001dd738168 (__TEXT,__const) external _MTRSizeThreadPSKc
00000001f27c3480 (__DATA_CONST,__const) external _MTRStructureValueType
00000001f27c3428 (__DATA_CONST,__const) external _MTRTypeKey
00000001f27c3458 (__DATA_CONST,__const) external _MTRUTF8StringValueType
00000001f27c3448 (__DATA_CONST,__const) external _MTRUnsignedIntegerValueType
00000001f27c3430 (__DATA_CONST,__const) external _MTRValueKey
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSSystemClockDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
00000001e9ca0ad0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AttestationInfo
                 (undefined) external _OBJC_CLASS_$_CBCentralManager (from CoreBluetooth)
                 (undefined) external _OBJC_CLASS_$_CBUUID (from CoreBluetooth)
00000001e9c9d920 (__AUTH,__objc_data) external _OBJC_CLASS_$_CSRInfo
00000001e9c97908 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntry
00000001e9c979d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntryChangedEvent
00000001e9c97890 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlEntryStruct
00000001e9c97a20 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlExtensionChangedEvent
00000001e9c97930 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlExtensionStruct
00000001e9c977f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterAccessControlTargetStruct
00000001e9c979a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterExtensionEntry
00000001e9c97868 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessControlClusterTarget
00000001e9ca0260 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccessGrant
00000001e9c956d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterGetSetupPINParams
00000001e9c95720 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterGetSetupPINResponseParams
00000001e9c9ce80 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterLoggedOutEvent
00000001e9c95770 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterLoginParams
00000001e9c957c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAccountLoginClusterLogoutParams
00000001e9c97b60 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterActionFailedEvent
00000001e9c97a70 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterActionStruct
00000001e9c8fff0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterDisableActionParams
00000001e9c90040 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterDisableActionWithDurationParams
00000001e9c8ff50 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterEnableActionParams
00000001e9c8ffa0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterEnableActionWithDurationParams
00000001e9c97ac0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterEndpointListStruct
00000001e9c8fcd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterInstantActionParams
00000001e9c8fd20 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterInstantActionWithTransitionParams
00000001e9c8fe60 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRActionsClusterPauseActionParams
