00007ffd41bc5710 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd41bc5718 (__DATA,__bss) non-external __ZL13reportGlobals
00007ffd41bc5708 (__DATA,__bss) non-external __ZL15libmallocShadow
00007ffd41bc5700 (__DATA,__bss) non-external __ZL3cfg
00007ffd059be2d0 (__TEXT,__text) non-external __ZL3diev
00007ffd059bf4c0 (__TEXT,__const) non-external __ZL5zeros
00007ffd41bc5720 (__DATA,__bss) non-external __ZL6report
00007ffd41bc5bd0 (__DATA,__bss) non-external __ZL6shadow
00007ffd41bc56f8 (__DATA,__bss) non-external __ZL7_shadow
00007ffd41bc56c8 (__DATA,__bss) non-external __ZL9collector.0
00007ffd41bc56d0 (__DATA,__bss) non-external __ZL9collector.1
00007ffd41bc56d8 (__DATA,__bss) non-external __ZL9collector.2
00007ffd059be694 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow11bzeroShadowEPKvm
00007ffd059be682 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12memsetShadowEPvim
00007ffd059beb70 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
00007ffd059be942 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
00007ffd059bebb8 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
00007ffd059bf327 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
00007ffd059bf34a (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
00007ffd059bf36d (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
00007ffd059bec0c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
00007ffd059bec1c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
00007ffd059bec2c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
00007ffd059bf390 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
00007ffd059bec6c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
00007ffd059bf3b1 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
00007ffd059be6a4 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
00007ffd059bf257 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
00007ffd059be788 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
00007ffd059bca12 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReader4readEmm
00007ffd059bf014 (__TEXT,__text) non-external __ZN12MemoryReader4readEmm.cold.1
00007ffd059bc638 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReaderD2Ev
00007ffd059bd7ab (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
00007ffd059bf0ba (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
00007ffd059bf0e0 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
00007ffd059bc0d7 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffd059beedc (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffd059bef02 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
00007ffd059bc04e (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
00007ffd059bee95 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
