                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000027f0334e0 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000027f033f5c (__TEXT,__const) external _libopenpam
000000027f033a00 (__TEXT,__text) external _misc_conv
000000027f03370c (__TEXT,__text) external _pam_acct_mgmt
000000027f033614 (__TEXT,__text) external _pam_authenticate
000000027f033788 (__TEXT,__text) external _pam_chauthtok
000000027f033880 (__TEXT,__text) external _pam_close_session
000000027f0335a0 (__TEXT,__text) external _pam_end
000000027f033c48 (__TEXT,__text) external _pam_get_data
000000027f03397c (__TEXT,__text) external _pam_get_item
000000027f033e78 (__TEXT,__text) external _pam_get_pass
000000027f033d58 (__TEXT,__text) external _pam_get_user
000000027f033b70 (__TEXT,__text) external _pam_getenv
000000027f033be0 (__TEXT,__text) external _pam_getenvlist
000000027f033808 (__TEXT,__text) external _pam_open_session
000000027f033ddc (__TEXT,__text) external _pam_prompt
000000027f033afc (__TEXT,__text) external _pam_putenv
000000027f033ccc (__TEXT,__text) external _pam_set_data
000000027f0338f8 (__TEXT,__text) external _pam_set_item
000000027f033690 (__TEXT,__text) external _pam_setcred
000000027f033514 (__TEXT,__text) external _pam_start
000000027f033a8c (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000027f033480 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000027f033490 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000027f0334dc (__TEXT,__text) external _xlate_pam_shim_item_type
000000027f0334b8 (__TEXT,__text) external _xlate_pam_shim_retval
000000027f0334a4 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000027f0334b0 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
