00007ffa13ca6b58 (__TEXT,__text) external _AMFDRDecodeCertificate
00007ffa13ca28c1 (__TEXT,__text) external _AMFDRDecodeCheckCertRevocation
00007ffa13ca67cf (__TEXT,__text) external _AMFDRDecodeCheckProducerIDRevocation
00007ffa13ca237d (__TEXT,__text) external _AMFDRDecodeCombined
00007ffa13ca39d2 (__TEXT,__text) external _AMFDRDecodeCreateCertificate
00007ffa13ca3a7e (__TEXT,__text) external _AMFDRDecodeCreateCertificateChain
00007ffa13ca3a1d (__TEXT,__text) external _AMFDRDecodeDestoryCertificate
00007ffa13ca3aca (__TEXT,__text) external _AMFDRDecodeDestoryCertificateChain
00007ffa13ca5712 (__TEXT,__text) non-external _AMFDRDecodeDigestByLength
00007ffa13ca890e (__TEXT,__text) non-external _AMFDRDecodeEcdsaVerifySignature
00007ffa13ca1b66 (__TEXT,__text) external _AMFDRDecodeEvaluateTrust
00007ffa13ca160a (__TEXT,__text) external _AMFDRDecodeEvaluateTrustCombined
00007ffa13ca1648 (__TEXT,__text) external _AMFDRDecodeEvaluateTrustCombinedWithSik
00007ffa13ca179d (__TEXT,__text) non-external _AMFDRDecodeEvaluateTrustInternal
00007ffa13ca1d4e (__TEXT,__text) external _AMFDRDecodeEvaluateTrustOffline
00007ffa13ca1bcd (__TEXT,__text) external _AMFDRDecodeEvaluateTrustWithSik
00007ffa13ca2e7c (__TEXT,__text) external _AMFDRDecodeFDR2Data
00007ffa13ca811f (__TEXT,__text) external _AMFDRDecodeGetImg4Manifest
00007ffa13ca8068 (__TEXT,__text) external _AMFDRDecodeGetImg4RawData
00007ffa13ca3a56 (__TEXT,__text) external _AMFDRDecodeGetPubkey
00007ffa13ca3a6a (__TEXT,__text) external _AMFDRDecodeGetRawCertificate
00007ffa13ca3a42 (__TEXT,__text) external _AMFDRDecodeGetTbsCertExtensions
00007ffa13ca3a2e (__TEXT,__text) external _AMFDRDecodeGetTbsCertSubject
00007ffa13ca6f3c (__TEXT,__text) external _AMFDRDecodeImage4Certificate
00007ffa13ca7327 (__TEXT,__text) external _AMFDRDecodeIterateCertChainBegin
00007ffa13ca28af (__TEXT,__text) external _AMFDRDecodeIterateCertChainNext
00007ffa13ca735b (__TEXT,__text) non-external _AMFDRDecodeIterateCertChainNextWithOptions
