                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffb1cb6a57e (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb1cb6ad90 (__TEXT,__const) external _libopenpam
00007ffb1cb6a990 (__TEXT,__text) external _misc_conv
00007ffb1cb6a73f (__TEXT,__text) external _pam_acct_mgmt
00007ffb1cb6a673 (__TEXT,__text) external _pam_authenticate
00007ffb1cb6a7a5 (__TEXT,__text) external _pam_chauthtok
00007ffb1cb6a869 (__TEXT,__text) external _pam_close_session
00007ffb1cb6a61d (__TEXT,__text) external _pam_end
00007ffb1cb6ab41 (__TEXT,__text) external _pam_get_data
00007ffb1cb6a92b (__TEXT,__text) external _pam_get_item
00007ffb1cb6acfd (__TEXT,__text) external _pam_get_pass
00007ffb1cb6ac19 (__TEXT,__text) external _pam_get_user
00007ffb1cb6aaa8 (__TEXT,__text) external _pam_getenv
00007ffb1cb6aaf7 (__TEXT,__text) external _pam_getenvlist
00007ffb1cb6a80c (__TEXT,__text) external _pam_open_session
00007ffb1cb6ac7e (__TEXT,__text) external _pam_prompt
00007ffb1cb6aa52 (__TEXT,__text) external _pam_putenv
00007ffb1cb6aba6 (__TEXT,__text) external _pam_set_data
00007ffb1cb6a8c6 (__TEXT,__text) external _pam_set_item
00007ffb1cb6a6d9 (__TEXT,__text) external _pam_setcred
00007ffb1cb6a5aa (__TEXT,__text) external _pam_start
00007ffb1cb6aa03 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffb1cb6a50c (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffb1cb6a521 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffb1cb6a576 (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffb1cb6a553 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffb1cb6a536 (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffb1cb6a546 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
