0000000182afabe8 (__DATA,__data) external _NDR_record
00000001809fc930 (__TEXT,__text) non-external __Xexception_raise
00000001809fc81c (__TEXT,__text) non-external __Xexception_raise_state
00000001809fc6b8 (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001809e4aac (__TEXT,__text) external _____sigwait_nocancel
0000000180a16a78 (__TEXT,__const) external ____kernelVersionNumber
0000000180a16a40 (__TEXT,__const) external ____kernelVersionString
00000001809e4ad8 (__TEXT,__text) external ___abort_with_payload
00000001809e4b04 (__TEXT,__text) external ___accept
00000001809e4b30 (__TEXT,__text) external ___accept_nocancel
00000001809e4b5c (__TEXT,__text) external ___access_extended
00000001809e4b88 (__TEXT,__text) external ___aio_suspend_nocancel
00000001809e4bb4 (__TEXT,__text) external ___bind
00000001809e4be0 (__TEXT,__text) external ___bsdthread_create
00000001809e4c0c (__TEXT,__text) external ___bsdthread_ctl
00000001809e4c38 (__TEXT,__text) external ___bsdthread_register
00000001809e4c64 (__TEXT,__text) external ___bsdthread_terminate
00000001809fb884 (__TEXT,__text) external ___carbon_delete
00000001809e4c90 (__TEXT,__text) external ___channel_get_info
00000001809e4cbc (__TEXT,__text) external ___channel_get_opt
00000001809e4ce8 (__TEXT,__text) external ___channel_open
00000001809e4d14 (__TEXT,__text) external ___channel_set_opt
00000001809e4d40 (__TEXT,__text) external ___channel_sync
00000001809e4d6c (__TEXT,__text) external ___chmod
00000001809e4d98 (__TEXT,__text) external ___chmod_extended
00000001809e4dc4 (__TEXT,__text) external ___close_nocancel
00000001809e4df0 (__TEXT,__text) external ___coalition
00000001809e4e1c (__TEXT,__text) external ___coalition_info
00000001809e4e48 (__TEXT,__text) external ___coalition_ledger
00000001809ed598 (__TEXT,__text) external ___commpage_gettimeofday
00000001809ed5a0 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001809e4e74 (__TEXT,__text) external ___connect
00000001809e4ea0 (__TEXT,__text) external ___connect_nocancel
00000001809e4ecc (__TEXT,__text) external ___copyfile
00000001809e4ef8 (__TEXT,__text) external ___crossarch_trap
00000001809e4f24 (__TEXT,__text) external ___csrctl
00000001809f2c4c (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001809e4f50 (__TEXT,__text) external ___debug_syscall_reject
00000001809e4f7c (__TEXT,__text) external ___debug_syscall_reject_config
00000001809e4fa8 (__TEXT,__text) external ___delete
00000001809e4fd4 (__TEXT,__text) external ___disable_threadsignal
00000001809edd6c (__TEXT,__text) external ___error
00000001809e5000 (__TEXT,__text) external ___execve
00000001809e502c (__TEXT,__text) external ___exit
00000001809e5058 (__TEXT,__text) external ___fchmod
00000001809e5084 (__TEXT,__text) external ___fchmod_extended
00000001809e50b0 (__TEXT,__text) external ___fcntl
00000001809e50dc (__TEXT,__text) external ___fcntl_nocancel
00000001809e5108 (__TEXT,__text) external ___fork
00000001809e5154 (__TEXT,__text) external ___fs_snapshot
00000001809e5180 (__TEXT,__text) external ___fstat64_extended
00000001809e51ac (__TEXT,__text) external ___fstat_extended
00000001809e51d8 (__TEXT,__text) external ___fsync_nocancel
00000001809f92b8 (__TEXT,__text) external ___get_remove_counter
00000001809e5204 (__TEXT,__text) external ___getattrlist
00000001809e5230 (__TEXT,__text) external ___getdirentries64
00000001809e525c (__TEXT,__text) external ___gethostuuid
00000001809e5288 (__TEXT,__text) external ___getlogin
00000001809e52b4 (__TEXT,__text) external ___getpeername
00000001809e52e0 (__TEXT,__text) external ___getpid
00000001809e5330 (__TEXT,__text) external ___getrlimit
00000001809e535c (__TEXT,__text) external ___getsgroups
00000001809e5388 (__TEXT,__text) external ___getsockname
00000001809e53b4 (__TEXT,__text) external ___gettid
00000001809e540c (__TEXT,__text) external ___gettimeofday
00000001809e53e0 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
