                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00007ffb4121c7b8 (__DATA_CONST,__const) external _MTRArrayValueType
00007ffb06487b58 (__TEXT,__text) external _MTRAttributeNameForID
00007ffb4121c730 (__DATA_CONST,__const) external _MTRAttributePathKey
00007ffb4121c780 (__DATA_CONST,__const) external _MTRBooleanValueType
00007ffb06486fec (__TEXT,__text) external _MTRClusterNameForID
00007ffb4121c738 (__DATA_CONST,__const) external _MTRCommandPathKey
00007ffb4121c768 (__DATA_CONST,__const) external _MTRContextTagKey
00007ffb4121c748 (__DATA_CONST,__const) external _MTRDataKey
00007ffb41231458 (__DATA_CONST,__const) external _MTRDataVersionKey
00007ffb4122efe0 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerCompressedFabricIDKey
00007ffb4122efb0 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerContextKey
00007ffb4122efd0 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerIsRunningKey
00007ffb4122efc8 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerNodeIDKey
00007ffb4122efd8 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationDeviceInternalStateKey
00007ffb4122efc0 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationNodeIDKey
00007ffb4122efb8 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationNodeIDsKey
00007ffb0699fcc6 (__TEXT,__text) external _MTRDeviceControllerStorageClasses
00007ffb4121c7a0 (__DATA_CONST,__const) external _MTRDoubleValueType
00007ffb4122f078 (__DATA_CONST,__const) external _MTRErrorDomain
00007ffb4121c750 (__DATA_CONST,__const) external _MTRErrorKey
00007ffb4121c7e8 (__DATA_CONST,__const) external _MTREventIsHistoricalKey
00007ffb06490b6c (__TEXT,__text) external _MTREventNameForID
00007ffb4121c7c0 (__DATA_CONST,__const) external _MTREventNumberKey
00007ffb4121c740 (__DATA_CONST,__const) external _MTREventPathKey
00007ffb4121c7c8 (__DATA_CONST,__const) external _MTREventPriorityKey
00007ffb4121c7d8 (__DATA_CONST,__const) external _MTREventSystemUpTimeKey
00007ffb4121c7d0 (__DATA_CONST,__const) external _MTREventTimeTypeKey
00007ffb4121c7e0 (__DATA_CONST,__const) external _MTREventTimestampDateKey
00007ffb4121c798 (__DATA_CONST,__const) external _MTRFloatValueType
00007ffb4122f080 (__DATA_CONST,__const) external _MTRInteractionErrorDomain
00007ffb4121c7a8 (__DATA_CONST,__const) external _MTRNullValueType
00007ffb4121c790 (__DATA_CONST,__const) external _MTROctetStringValueType
00007ffb41231450 (__DATA_CONST,__const) external _MTRPreviousDataKey
00007ffb0648ea1c (__TEXT,__text) external _MTRRequestCommandNameForID
00007ffb0648ff28 (__TEXT,__text) external _MTRResponseCommandNameForID
00007ffb06b70b0f (__TEXT,__text) external _MTRSetLogCallback
00007ffb0649e08a (__TEXT,__text) external _MTRSetMessageReliabilityParameters
00007ffb4121c770 (__DATA_CONST,__const) external _MTRSignedIntegerValueType
00007ffb06d640b0 (__TEXT,__const) external _MTRSizeThreadExtendedPANID
00007ffb06d640b8 (__TEXT,__const) external _MTRSizeThreadExtendedPanId
00007ffb06d640c0 (__TEXT,__const) external _MTRSizeThreadMasterKey
00007ffb06d640a8 (__TEXT,__const) external _MTRSizeThreadNetworkName
00007ffb06d640d0 (__TEXT,__const) external _MTRSizeThreadPANID
00007ffb06d640c8 (__TEXT,__const) external _MTRSizeThreadPSKc
00007ffb4121c7b0 (__DATA_CONST,__const) external _MTRStructureValueType
00007ffb4121c758 (__DATA_CONST,__const) external _MTRTypeKey
00007ffb4121c788 (__DATA_CONST,__const) external _MTRUTF8StringValueType
00007ffb4121c778 (__DATA_CONST,__const) external _MTRUnsignedIntegerValueType
00007ffb4121c760 (__DATA_CONST,__const) external _MTRValueKey
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSStringFromSelector (from Foundation)
                 (undefined) external _NSSystemClockDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
00007ffb4359d148 (__DATA,__objc_data) external _OBJC_CLASS_$_AttestationInfo
                 (undefined) external _OBJC_CLASS_$_CBCentralManager (from CoreBluetooth)
                 (undefined) external _OBJC_CLASS_$_CBUUID (from CoreBluetooth)
