00007ff81f25f1b7 (__TEXT,__text) non-external +[Calculate _lock]
00007ff81f25f100 (__TEXT,__text) non-external +[Calculate _resetGlobals]
00007ff81f25f27a (__TEXT,__text) non-external +[Calculate _unlock]
00007ff81f2657ee (__TEXT,__text) non-external +[Calculate evaluate:options:]
00007ff81f25f2e3 (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
00007ff81f265670 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
00007ff81f265d7d (__TEXT,__text) non-external +[CalculateRequest _lock]
00007ff81f265db5 (__TEXT,__text) non-external +[CalculateRequest _unlock]
00007ff81f265dce (__TEXT,__text) non-external +[CalculateRequest serialQueue]
00007ff81f26eace (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
00007ff81f26ea4b (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
00007ff81f26f041 (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
00007ff81f26eb77 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
00007ff81f26995a (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
00007ff81f26f752 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
00007ff81f273937 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
00007ff81f2738ea (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
00007ff81f26e8e3 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
00007ff81f279e14 (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
00007ff81f279de4 (__TEXT,__text) non-external +[Converter dispatchQueue]
00007ff81f279d8c (__TEXT,__text) non-external +[Converter initialize]
00007ff81f279e6b (__TEXT,__text) non-external +[Converter needsRefresh]
00007ff81f279f03 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
00007ff81f279eb7 (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
00007ff81f2484b3 (__TEXT,__text) non-external +[CurrencyCache shared]
00007ff81f25a4a2 (__TEXT,__text) non-external +[Localize availableLocaleNames]
00007ff81f25a627 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
00007ff81f25a4f9 (__TEXT,__text) non-external +[Localize localizationForLocale:]
00007ff81f25a970 (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
00007ff81f25aa51 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
00007ff81f25a477 (__TEXT,__text) non-external +[Localize mainBundle]
00007ff81f25a262 (__TEXT,__text) non-external +[Localize systemLocale]
00007ff81f25a27b (__TEXT,__text) non-external +[Localize systemLocales]
00007ff81f25efa7 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
00007ff81f25e61f (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
00007ff81f25b454 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
00007ff81f25e23c (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
00007ff81f25e262 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
00007ff81f265b6c (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
00007ff81f26592b (__TEXT,__text) non-external -[CalculateRequest cancel]
00007ff81f265aef (__TEXT,__text) non-external -[CalculateRequest expression]
00007ff81f265a02 (__TEXT,__text) non-external -[CalculateRequest finish]
00007ff81f265b40 (__TEXT,__text) non-external -[CalculateRequest isCanceled]
00007ff81f265b0a (__TEXT,__text) non-external -[CalculateRequest options]
00007ff81f265b53 (__TEXT,__text) non-external -[CalculateRequest resultHandler]
00007ff81f265b25 (__TEXT,__text) non-external -[CalculateRequest result]
00007ff81f265af9 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
00007ff81f265b4a (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
00007ff81f265b14 (__TEXT,__text) non-external -[CalculateRequest setOptions:]
00007ff81f265b2f (__TEXT,__text) non-external -[CalculateRequest setResult:]
00007ff81f265b5d (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
00007ff81f265839 (__TEXT,__text) non-external -[CalculateRequest update]
00007ff81f26d9dc (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
00007ff81f26a3a3 (__TEXT,__text) non-external -[CalculateResult _setConversions:]
