                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
0000000241b6eb10 (__TEXT,__const) external _FMSampleRateUnknown
0000000241b6eb18 (__TEXT,__const) external _FMSampleRate_44100
0000000241b6eb20 (__TEXT,__const) external _FMSampleRate_48000
000000028f95bbb8 (__DATA_CONST,__const) external _FMSongArtworkAssetID
000000028f95bbd0 (__DATA_CONST,__const) external _FMSongAssetCompatibilityVersion
000000028f95bbc8 (__DATA_CONST,__const) external _FMSongAssetContentVersion
000000028f95bbc0 (__DATA_CONST,__const) external _FMSongAssetDownloadProgressChanged
000000028f95bc28 (__DATA_CONST,__const) external _FMSongAssetsChanged
000000028f95bbb0 (__DATA_CONST,__const) external _FMSongBundleAssetID
000000028f95bc20 (__DATA_CONST,__const) external _FMSongBundleExtension
000000028f95bc38 (__DATA_CONST,__const) external _FMSongFormat_Legacy
000000028f95bc30 (__DATA_CONST,__const) external _FMSongFormat_ML
000000028f95b8b8 (__DATA_CONST,__const) external _FMSongLibraryAvailableSongsChanged
000000028f95b8d8 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CloudSupportDisabled
000000028f95b900 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CustomBundledSongsPath
000000028f95b908 (__DATA_CONST,__const) external _FMSongLibraryInitOption_EnableFetchCache
000000028f95b8f0 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_AssetTypeIdentifier
000000028f95b8e8 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ClientID
000000028f95b8f8 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ListenToSystemNotifications
000000028f95b8e0 (__DATA_CONST,__const) external _FMSongLibraryInitOption_NetworkingDisabled
000000028f95b8d0 (__DATA_CONST,__const) external _FMSongLibraryReconnectedToNetwork
000000028f95b8c0 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressChanged
000000028f95b8c8 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressState
0000000241b6ec78 (__TEXT,__const) external _FMSongPlaylistTimeQuantaInSamples
000000028f95bf00 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_128
000000028f95bf08 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_192
000000028f95bf10 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_256
000000028f95bef0 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_80
000000028f95bef8 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_96
000000028f95bed8 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_48
000000028f95bee8 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_64
000000028f95bee0 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v2_48
000000028f95bec8 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM
000000028f95bed0 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM_LEF32
000000028f95bf28 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_128
000000028f95bf18 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_64
000000028f95bf20 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_96
000000028f95bf48 (__DATA_CONST,__const) external _FMSong_Option_DefaultEarlyFadeStartFromStinger
000000028f95bf60 (__DATA_CONST,__const) external _FMSong_Option_IgnoreEarlyFadeMarker
000000028f95bf58 (__DATA_CONST,__const) external _FMSong_Option_IgnoreStingerMarkerForShortening
000000028f95bf70 (__DATA_CONST,__const) external _FMSong_Option_LoopSongForLongDurations
000000028f95bf68 (__DATA_CONST,__const) external _FMSong_Option_MaxOutroLengthToReserve
000000028f95bf50 (__DATA_CONST,__const) external _FMSong_Option_MinLengthForEarlyFade
000000028f95bf40 (__DATA_CONST,__const) external _FMSong_Option_OutroCanBeShortened
000000028f95bf38 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroEarlyFade
000000028f95bf30 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroStinger
000000028f95bc00 (__DATA_CONST,__const) external _FMTagID_Arousal_Prefix
000000028f95bbf0 (__DATA_CONST,__const) external _FMTagID_Genre_Prefix
000000028f95bbe8 (__DATA_CONST,__const) external _FMTagID_MoodAlt_Prefix
000000028f95bbd8 (__DATA_CONST,__const) external _FMTagID_Mood_Prefix
000000028f95bc18 (__DATA_CONST,__const) external _FMTagID_Region_Prefix
000000028f95bbe0 (__DATA_CONST,__const) external _FMTagID_SongPace_Prefix
000000028f95bbf8 (__DATA_CONST,__const) external _FMTagID_Style_Prefix
000000028f95bc08 (__DATA_CONST,__const) external _FMTagID_Valence_Prefix
000000028f95bc10 (__DATA_CONST,__const) external _FMTagID_VisualTempo_Prefix
000000028f95c0a0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBar
000000028f95c0a8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBarIndex
000000028f95c0b0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBeatsPerBar
000000028f95c0b8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeat
000000028f95c0c0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBarIndex
000000028f95c0c8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBeatIndex
000000028f95c0d8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierLoopPoints
000000028f95c0d0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierOnset
000000028f95c010 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSection
000000028f95c020 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyBodyNumber
000000028f95c038 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyFadeToBlackTime
000000028f95c030 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroEarlyFade
000000028f95c028 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroStinger
000000028f95c018 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyType
000000028f95c040 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegment
000000028f95c068 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBarsUsed
000000028f95c060 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyLetter
000000028f95c058 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyNumber
000000028f95c070 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyEnergy
000000028f95c098 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyFadeToBlackTime
000000028f95c090 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyLoudness
000000028f95c080 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroEarlyFade
