000000018244b868 (__DATA,__data) external _NDR_record
000000018036ce70 (__TEXT,__text) non-external __Xexception_raise
000000018036cc98 (__TEXT,__text) non-external __Xexception_raise_state
000000018036ca68 (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180355dac (__TEXT,__text) external _____sigwait_nocancel
0000000180385998 (__TEXT,__const) external ____kernelVersionNumber
0000000180385960 (__TEXT,__const) external ____kernelVersionString
0000000180355dd8 (__TEXT,__text) external ___abort_with_payload
0000000180355e04 (__TEXT,__text) external ___accept
0000000180355e30 (__TEXT,__text) external ___accept_nocancel
0000000180355e5c (__TEXT,__text) external ___access_extended
0000000180355e88 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180355eb4 (__TEXT,__text) external ___bind
0000000180355ee0 (__TEXT,__text) external ___bsdthread_create
0000000180355f0c (__TEXT,__text) external ___bsdthread_ctl
0000000180355f38 (__TEXT,__text) external ___bsdthread_register
0000000180355f64 (__TEXT,__text) external ___bsdthread_terminate
000000018036bcec (__TEXT,__text) external ___carbon_delete
0000000180355f90 (__TEXT,__text) external ___channel_get_info
0000000180355fbc (__TEXT,__text) external ___channel_get_opt
0000000180355fe8 (__TEXT,__text) external ___channel_open
0000000180356014 (__TEXT,__text) external ___channel_set_opt
0000000180356040 (__TEXT,__text) external ___channel_sync
000000018035606c (__TEXT,__text) external ___chmod
0000000180356098 (__TEXT,__text) external ___chmod_extended
00000001803560c4 (__TEXT,__text) external ___close_nocancel
00000001803560f0 (__TEXT,__text) external ___coalition
000000018035611c (__TEXT,__text) external ___coalition_info
0000000180356148 (__TEXT,__text) external ___coalition_ledger
000000018035ded8 (__TEXT,__text) external ___commpage_gettimeofday
000000018035dee0 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180356174 (__TEXT,__text) external ___connect
00000001803561a0 (__TEXT,__text) external ___connect_nocancel
00000001803561cc (__TEXT,__text) external ___copyfile
00000001803561f8 (__TEXT,__text) external ___csrctl
000000018036361c (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180356224 (__TEXT,__text) external ___debug_syscall_reject
0000000180356250 (__TEXT,__text) external ___debug_syscall_reject_config
000000018035627c (__TEXT,__text) external ___delete
00000001803562a8 (__TEXT,__text) external ___disable_threadsignal
000000018035e6c0 (__TEXT,__text) external ___error
00000001803562d4 (__TEXT,__text) external ___execve
0000000180356300 (__TEXT,__text) external ___exit
000000018035632c (__TEXT,__text) external ___fchmod
0000000180356358 (__TEXT,__text) external ___fchmod_extended
0000000180356384 (__TEXT,__text) external ___fcntl
00000001803563b0 (__TEXT,__text) external ___fcntl_nocancel
00000001803563dc (__TEXT,__text) external ___fork
0000000180356428 (__TEXT,__text) external ___fs_snapshot
0000000180356454 (__TEXT,__text) external ___fstat64_extended
0000000180356480 (__TEXT,__text) external ___fstat_extended
00000001803564ac (__TEXT,__text) external ___fsync_nocancel
0000000180369834 (__TEXT,__text) external ___get_remove_counter
00000001803564d8 (__TEXT,__text) external ___getattrlist
0000000180356504 (__TEXT,__text) external ___getdirentries64
0000000180356530 (__TEXT,__text) external ___gethostuuid
000000018035655c (__TEXT,__text) external ___getlogin
0000000180356588 (__TEXT,__text) external ___getpeername
00000001803565b4 (__TEXT,__text) external ___getpid
0000000180356604 (__TEXT,__text) external ___getrlimit
0000000180356630 (__TEXT,__text) external ___getsgroups
000000018035665c (__TEXT,__text) external ___getsockname
0000000180356688 (__TEXT,__text) external ___gettid
00000001803566e0 (__TEXT,__text) external ___gettimeofday
00000001803566b4 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180356710 (__TEXT,__text) external ___getwgroups
000000018035673c (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180356768 (__TEXT,__text) external ___guarded_open_np
0000000180356794 (__TEXT,__text) external ___identitysvc
0000000180369848 (__TEXT,__text) external ___inc_remove_counter
00000001803567c0 (__TEXT,__text) external ___initgroups
