00000001804842bc (__TEXT,__text) external _OSAtomicAdd32
000000018048437c (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180484478 (__TEXT,__text) external _OSAtomicAdd64
00000001804845f0 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180484580 (__TEXT,__text) external _OSAtomicAnd32
0000000180485004 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180484f78 (__TEXT,__text) external _OSAtomicAnd32Orig
000000018048449c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001804842a8 (__TEXT,__text) external _OSAtomicCompareAndSwap32
000000018048433c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180483340 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180484328 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180484538 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180484620 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180484558 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001804844a8 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
000000018048456c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180484350 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180483880 (__TEXT,__text) external _OSAtomicDecrement32
00000001804843f0 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001804845e0 (__TEXT,__text) external _OSAtomicDecrement64
0000000180484590 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180481a70 (__TEXT,__text) external _OSAtomicDequeue
0000000180481d50 (__TEXT,__text) external _OSAtomicEnqueue
0000000180485f34 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180486fd8 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180485ec8 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180486fd8 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180483870 (__TEXT,__text) external _OSAtomicIncrement32
00000001804843e0 (__TEXT,__text) external _OSAtomicIncrement32Barrier
000000018048413c (__TEXT,__text) external _OSAtomicIncrement64
0000000180484528 (__TEXT,__text) external _OSAtomicIncrement64Barrier
000000018048454c (__TEXT,__text) external _OSAtomicOr32
0000000180484364 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180484618 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180486774 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001804845a0 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180484fc4 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180484f84 (__TEXT,__text) external _OSAtomicTestAndSet
00000001804844bc (__TEXT,__text) external _OSAtomicTestAndSetBarrier
000000018048677c (__TEXT,__text) external _OSAtomicXor32
0000000180484370 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180486788 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180486790 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180484320 (__TEXT,__text) external _OSMemoryBarrier
0000000180484118 (__TEXT,__text) external _OSSpinLockLock
0000000180484484 (__TEXT,__text) external _OSSpinLockTry
0000000180484134 (__TEXT,__text) external _OSSpinLockUnlock
0000000180487618 (__TEXT,__const) non-external _UUID_NULL
0000000180487628 (__TEXT,__const) non-external __0x
0000000180487725 (__TEXT,__cstring) non-external __H
00000001804867c0 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180486798 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180484400 (__TEXT,__text) external __OSSpinLockLockSlow
00000001804860a8 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180483a80 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001e5575878 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180483890 (__TEXT,__text) external ___libplatform_init
0000000180485038 (__TEXT,__text) external ___os_log_simple_offset
0000000180486420 (__TEXT,__text) external ___os_once_reset
00000001804838e0 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180487608 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804875d8 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180483418 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180484650 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180486bec (__TEXT,__text) external __ctx_done
0000000180486ed0 (__TEXT,__text) non-external (was a private external) __ctx_start
000000018048594c (__TEXT,__text) non-external __enlarge
0000000180486fb0 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001804858a4 (__TEXT,__text) non-external __flush
000000018048581c (__TEXT,__text) non-external __flush_reset
0000000180487736 (__TEXT,__cstring) non-external __h
000000018048221c (__TEXT,__text) external __longjmp
0000000180481724 (__TEXT,__text) non-external __os_alloc
00000001804871e4 (__TEXT,__text) non-external __os_alloc.cold.1
00000001e5575870 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001804816d8 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180483c5c (__TEXT,__text) non-external __os_alloc_slow
0000000180487000 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001804841a8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001804841e4 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180484508 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001804841d8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001804863bc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001804863e0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180486400 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
000000018048714c (__TEXT,__text) non-external __os_lock_recursive_abort
00000001804842f4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
000000018048618c (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180484314 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180487630 (__TEXT,__const) non-external __os_lock_type_base
00000001e642b2d0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001e642b2f0 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001e642b330 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001e642b2d0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001e642b2d0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001e642b310 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001804842c8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
000000018048637c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
000000018048639c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001804852cc (__TEXT,__text) external __os_log_simple
00000001804854c4 (__TEXT,__text) external __os_log_simple_parse
0000000180485494 (__TEXT,__text) external __os_log_simple_parse_identifiers
0000000180485428 (__TEXT,__text) external __os_log_simple_parse_message
00000001804853ec (__TEXT,__text) external __os_log_simple_parse_subsystem
0000000180485458 (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001804853b4 (__TEXT,__text) external __os_log_simple_parse_type
0000000180485600 (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000180486f88 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
0000000180485154 (__TEXT,__text) external __os_log_simple_send
000000018048538c (__TEXT,__text) external __os_log_simple_shim
00000001804820e4 (__TEXT,__text) external __os_nospin_lock_lock
00000001804836c4 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180482120 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180482104 (__TEXT,__text) external __os_nospin_lock_unlock
00000001804837c0 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180481560 (__TEXT,__text) external __os_once
00000001804815c0 (__TEXT,__text) non-external __os_once_callout
0000000180483618 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180487124 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804870d4 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804870fc (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180483488 (__TEXT,__text) non-external __os_once_gate_wait
0000000180483398 (__TEXT,__text) external __os_semaphore_create
000000018048720c (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180487234 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001804833e8 (__TEXT,__text) external __os_semaphore_dispose
000000018048725c (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180484388 (__TEXT,__text) external __os_semaphore_signal
0000000180487284 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001804843a8 (__TEXT,__text) external __os_semaphore_wait
00000001804872ac (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180487078 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180481d98 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180487028 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804861cc (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180481f0c (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180487050 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000180483a80 (__TEXT,__text) external __platform_bzero
00000001804867e8 (__TEXT,__text) external __platform_memccpy
0000000180481840 (__TEXT,__text) external __platform_memchr
0000000180481950 (__TEXT,__text) external __platform_memcmp
0000000180486aa0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180483db0 (__TEXT,__text) external __platform_memmove
0000000180483ae0 (__TEXT,__text) external __platform_memset
0000000180481ba0 (__TEXT,__text) external __platform_memset_pattern16
0000000180481b60 (__TEXT,__text) external __platform_memset_pattern4
0000000180481b80 (__TEXT,__text) external __platform_memset_pattern8
00000001804840a0 (__TEXT,__text) external __platform_strchr
00000001804813a0 (__TEXT,__text) external __platform_strcmp
0000000180486890 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
00000001804817dc (__TEXT,__text) external __platform_strcpy
00000001e642b248 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180482308 (__TEXT,__text) external __platform_strlcat
0000000180481acc (__TEXT,__text) external __platform_strlcpy
0000000180481500 (__TEXT,__text) external __platform_strlen
0000000180481420 (__TEXT,__text) external __platform_strncmp
0000000180486990 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180482040 (__TEXT,__text) external __platform_strncpy
0000000180481460 (__TEXT,__text) external __platform_strnlen
0000000180481fb8 (__TEXT,__text) external __platform_strstr
0000000180486e3c (__TEXT,__text) non-external (was a private external) __setcontext
00000001804821bc (__TEXT,__text) external __setjmp
000000018048414c (__TEXT,__text) non-external (was a private external) __sigtramp
00000001804845fc (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180485678 (__TEXT,__text) non-external __simple_asl_connect
