                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
0000000284983cc0 (__TEXT,__text) non-external _sbuf_extend
0000000284983de8 (__TEXT,__text) non-external _sbuf_put_byte
00000002849839d0 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00000002849839a0 (__TEXT,__text) external _usbuf_bcat
0000000284983ac4 (__TEXT,__text) external _usbuf_bcpy
0000000284983b0c (__TEXT,__text) external _usbuf_cat
0000000284983854 (__TEXT,__text) external _usbuf_clear
0000000284983828 (__TEXT,__text) external _usbuf_clear_flags
0000000284983898 (__TEXT,__text) external _usbuf_count_drain
0000000284983b54 (__TEXT,__text) external _usbuf_cpy
0000000284984038 (__TEXT,__text) external _usbuf_data
0000000284984068 (__TEXT,__text) external _usbuf_delete
00000002849840d0 (__TEXT,__text) external _usbuf_done
00000002849838b4 (__TEXT,__text) external _usbuf_drain
0000000284984114 (__TEXT,__text) external _usbuf_end_section
0000000284983f94 (__TEXT,__text) external _usbuf_error
0000000284983f9c (__TEXT,__text) external _usbuf_finish
0000000284983820 (__TEXT,__text) external _usbuf_get_flags
00000002849834b8 (__TEXT,__text) external _usbuf_hexdump
0000000284984040 (__TEXT,__text) external _usbuf_len
0000000284983710 (__TEXT,__text) external _usbuf_new
0000000284983e8c (__TEXT,__text) external _usbuf_nl_terminate
0000000284983d88 (__TEXT,__text) external _usbuf_printf
00000002849836b4 (__TEXT,__text) external _usbuf_printf_drain
0000000284983684 (__TEXT,__text) external _usbuf_putbuf
0000000284983db4 (__TEXT,__text) external _usbuf_putc
00000002849838ac (__TEXT,__text) external _usbuf_set_drain
0000000284983840 (__TEXT,__text) external _usbuf_set_flags
0000000284983870 (__TEXT,__text) external _usbuf_setpos
00000002849840dc (__TEXT,__text) external _usbuf_start_section
0000000284983eec (__TEXT,__text) external _usbuf_trim
0000000284983bb4 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
