                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
0000000268e3fcc4 (__TEXT,__text) non-external _sbuf_extend
0000000268e3fdec (__TEXT,__text) non-external _sbuf_put_byte
0000000268e3f9c8 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
0000000268e3f998 (__TEXT,__text) external _usbuf_bcat
0000000268e3fabc (__TEXT,__text) external _usbuf_bcpy
0000000268e3fb04 (__TEXT,__text) external _usbuf_cat
0000000268e3f854 (__TEXT,__text) external _usbuf_clear
0000000268e3f828 (__TEXT,__text) external _usbuf_clear_flags
0000000268e3f898 (__TEXT,__text) external _usbuf_count_drain
0000000268e3fb4c (__TEXT,__text) external _usbuf_cpy
0000000268e4003c (__TEXT,__text) external _usbuf_data
0000000268e4006c (__TEXT,__text) external _usbuf_delete
0000000268e400d4 (__TEXT,__text) external _usbuf_done
0000000268e3f8b4 (__TEXT,__text) external _usbuf_drain
0000000268e40118 (__TEXT,__text) external _usbuf_end_section
0000000268e3ff98 (__TEXT,__text) external _usbuf_error
0000000268e3ffa0 (__TEXT,__text) external _usbuf_finish
0000000268e3f820 (__TEXT,__text) external _usbuf_get_flags
0000000268e3f4b8 (__TEXT,__text) external _usbuf_hexdump
0000000268e40044 (__TEXT,__text) external _usbuf_len
0000000268e3f710 (__TEXT,__text) external _usbuf_new
0000000268e3fe90 (__TEXT,__text) external _usbuf_nl_terminate
0000000268e3fd8c (__TEXT,__text) external _usbuf_printf
0000000268e3f6b4 (__TEXT,__text) external _usbuf_printf_drain
0000000268e3f684 (__TEXT,__text) external _usbuf_putbuf
0000000268e3fdb8 (__TEXT,__text) external _usbuf_putc
0000000268e3f8ac (__TEXT,__text) external _usbuf_set_drain
0000000268e3f840 (__TEXT,__text) external _usbuf_set_flags
0000000268e3f870 (__TEXT,__text) external _usbuf_setpos
0000000268e400e0 (__TEXT,__text) external _usbuf_start_section
0000000268e3fef0 (__TEXT,__text) external _usbuf_trim
0000000268e3fbac (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
