                 (undefined) external _AnalyticsSendEvent (from CoreAnalytics)
                 (undefined) external _CONTAINER_PERSONA_PRIMARY (from libSystem)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityDefault (from Foundation)
                 (undefined) external _OBJC_CLASS_$_BMStoreConfig (from BiomeStorage)
                 (undefined) external _OBJC_CLASS_$_GEOCountryConfiguration (from GeoServices)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileHandle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOutputStream (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPropertyListSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
00000002953df138 (__DATA_DIRTY,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC20PegasusConfiguration14ConfigInternal
00000002953df1d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$__TtC20PegasusConfiguration21ConfigFactoryInternal
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000002953e0b08 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC20PegasusConfiguration14ConfigInternal
00000002953e0ae0 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$__TtC20PegasusConfiguration21ConfigFactoryInternal
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000002576888c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576888d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576888d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576888d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576888fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576888fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576888fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576888fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000257688968 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000257688988 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000257688b18 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025768a628 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025768b114 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025768c950 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002576907d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000257699620 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000257699fe4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025769a5b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025769cd38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025769d60c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000025769e494 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
