                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001d6bdfe58 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018a53ea30 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
000000018a53ea38 (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00000001d3381f80 (__DATA_CONST,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00000001d3381f90 (__DATA_CONST,__const) external _CONTAINER_PERSONA_CURRENT
000000018a53ea26 (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00000001d3381f88 (__DATA_CONST,__const) external _CONTAINER_PERSONA_PRIMARY
000000018a53ea34 (__TEXT,__const) external _CONTAINER_SYSTEM_UID
00000001d55eb028 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.cache
00000001d55eb030 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.lock
00000001d55eb038 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.once_token
000000018a53ea3c (__TEXT,__const) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.persona_name_default
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001d3381e58 (__DATA_CONST,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018a52fe94 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
000000018a52ffac (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
000000018a530348 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
000000018a5303dc (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.13
000000018a530374 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.8
000000018a53041c (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
000000018a52fe6c (__TEXT,__text) non-external _____locked_revoke_block_invoke
000000018a5389d8 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
000000018a538964 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
000000018a53777c (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
000000018a52b15c (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
000000018a52b188 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
000000018a523538 (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
000000018a528f98 (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
000000018a525fd0 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
000000018a525d90 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.14
000000018a529220 (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001dafb2970 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001d33819e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001dafb2c00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.259
00000001d3381cf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.330
00000001dafb2dc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.400
00000001d3381c98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001dafb3370 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10.802
00000001dafb3820 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.101
00000001dafb3850 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.104
00000001dafb3880 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.109
00000001dafb2d60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11
00000001dafb2e30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11.394
00000001dafb38b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.112
00000001dafb38e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.115
00000001dafb3910 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.118
00000001dafb2c60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12
00000001dafb2fe0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.566
00000001dafb31a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.643
00000001dafb3940 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.124
00000001dafb3970 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.127
00000001dafb33a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001dafb39a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.130
00000001dafb39d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.133
00000001dafb3a00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.136
00000001dafb3a30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.139
00000001dafb29a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.148
00000001d3381cb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00000001dafb3010 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15.567
00000001dafb31d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15.644
