                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffe07733c70 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffe07733f40 (__TEXT,__const) external _libopenpam
00007ffe077338c9 (__TEXT,__text) external _misc_conv
00007ffe07733dda (__TEXT,__text) non-external _misc_conv.cold.1
00007ffe07733dea (__TEXT,__text) non-external _misc_conv.cold.2
00007ffe07733689 (__TEXT,__text) external _pam_acct_mgmt
00007ffe07733d1a (__TEXT,__text) non-external _pam_acct_mgmt.cold.1
00007ffe07733d2a (__TEXT,__text) non-external _pam_acct_mgmt.cold.2
00007ffe077335c5 (__TEXT,__text) external _pam_authenticate
00007ffe07733cda (__TEXT,__text) non-external _pam_authenticate.cold.1
00007ffe07733cea (__TEXT,__text) non-external _pam_authenticate.cold.2
00007ffe077336eb (__TEXT,__text) external _pam_chauthtok
00007ffe07733d3a (__TEXT,__text) non-external _pam_chauthtok.cold.1
00007ffe07733d4a (__TEXT,__text) non-external _pam_chauthtok.cold.2
00007ffe077337a8 (__TEXT,__text) external _pam_close_session
00007ffe07733d7a (__TEXT,__text) non-external _pam_close_session.cold.1
00007ffe07733d8a (__TEXT,__text) non-external _pam_close_session.cold.2
00007ffe07733573 (__TEXT,__text) external _pam_end
00007ffe07733cba (__TEXT,__text) non-external _pam_end.cold.1
00007ffe07733cca (__TEXT,__text) non-external _pam_end.cold.2
00007ffe07733a65 (__TEXT,__text) external _pam_get_data
00007ffe07733e7a (__TEXT,__text) non-external _pam_get_data.cold.1
00007ffe07733e8a (__TEXT,__text) non-external _pam_get_data.cold.2
00007ffe07733866 (__TEXT,__text) external _pam_get_item
00007ffe07733dba (__TEXT,__text) non-external _pam_get_item.cold.1
00007ffe07733dca (__TEXT,__text) non-external _pam_get_item.cold.2
00007ffe07733c08 (__TEXT,__text) external _pam_get_pass
00007ffe07733efa (__TEXT,__text) non-external _pam_get_pass.cold.1
00007ffe07733f0a (__TEXT,__text) non-external _pam_get_pass.cold.2
00007ffe07733b30 (__TEXT,__text) external _pam_get_user
00007ffe07733eba (__TEXT,__text) non-external _pam_get_user.cold.1
00007ffe07733eca (__TEXT,__text) non-external _pam_get_user.cold.2
00007ffe077339d0 (__TEXT,__text) external _pam_getenv
00007ffe07733e3a (__TEXT,__text) non-external _pam_getenv.cold.1
00007ffe07733e4a (__TEXT,__text) non-external _pam_getenv.cold.2
00007ffe07733a1d (__TEXT,__text) external _pam_getenvlist
00007ffe07733e5a (__TEXT,__text) non-external _pam_getenvlist.cold.1
00007ffe07733e6a (__TEXT,__text) non-external _pam_getenvlist.cold.2
00007ffe0773374d (__TEXT,__text) external _pam_open_session
00007ffe07733d5a (__TEXT,__text) non-external _pam_open_session.cold.1
00007ffe07733d6a (__TEXT,__text) non-external _pam_open_session.cold.2
00007ffe07733b93 (__TEXT,__text) external _pam_prompt
00007ffe07733eda (__TEXT,__text) non-external _pam_prompt.cold.1
00007ffe07733eea (__TEXT,__text) non-external _pam_prompt.cold.2
00007ffe0773397c (__TEXT,__text) external _pam_putenv
00007ffe07733e1a (__TEXT,__text) non-external _pam_putenv.cold.1
00007ffe07733e2a (__TEXT,__text) non-external _pam_putenv.cold.2
00007ffe07733ac8 (__TEXT,__text) external _pam_set_data
00007ffe07733e9a (__TEXT,__text) non-external _pam_set_data.cold.1
00007ffe07733eaa (__TEXT,__text) non-external _pam_set_data.cold.2
00007ffe07733803 (__TEXT,__text) external _pam_set_item
00007ffe07733d9a (__TEXT,__text) non-external _pam_set_item.cold.1
00007ffe07733daa (__TEXT,__text) non-external _pam_set_item.cold.2
00007ffe07733627 (__TEXT,__text) external _pam_setcred
00007ffe07733cfa (__TEXT,__text) non-external _pam_setcred.cold.1
00007ffe07733d0a (__TEXT,__text) non-external _pam_setcred.cold.2
00007ffe0773350b (__TEXT,__text) external _pam_start
00007ffe07733c9a (__TEXT,__text) non-external _pam_start.cold.1
00007ffe07733caa (__TEXT,__text) non-external _pam_start.cold.2
00007ffe07733931 (__TEXT,__text) external _pam_strerror
00007ffe07733dfa (__TEXT,__text) non-external _pam_strerror.cold.1
00007ffe07733e0a (__TEXT,__text) non-external _pam_strerror.cold.2
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffe07733490 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffe077334a5 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffe07733503 (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffe077334d7 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffe077334ba (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffe077334ca (__TEXT,__text) external _xlate_pam_shim_setcred_flags
