0000000000003d94 (__TEXT,__text) external _OSAtomicAdd32
0000000000003e50 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000000003f30 (__TEXT,__text) external _OSAtomicAdd64
00000000000040b8 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000000004040 (__TEXT,__text) external _OSAtomicAnd32
0000000000004ac8 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000000004a2c (__TEXT,__text) external _OSAtomicAnd32Orig
0000000000003f54 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000000003d80 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000000003e10 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000000002da4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000000003dfc (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000000003ff8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000000000040e8 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000000004018 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000000003f60 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
000000000000402c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000000003e24 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000000000032b4 (__TEXT,__text) external _OSAtomicDecrement32
0000000000003ebc (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000000000040a8 (__TEXT,__text) external _OSAtomicDecrement64
0000000000004050 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000000000015f0 (__TEXT,__text) external _OSAtomicDequeue
00000000000018ac (__TEXT,__text) external _OSAtomicEnqueue
00000000000058e4 (__TEXT,__text) external _OSAtomicFifoDequeue
00000000000058d4 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000000000032a4 (__TEXT,__text) external _OSAtomicIncrement32
0000000000003eac (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000000003c1c (__TEXT,__text) external _OSAtomicIncrement64
0000000000003fe8 (__TEXT,__text) external _OSAtomicIncrement64Barrier
000000000000400c (__TEXT,__text) external _OSAtomicOr32
0000000000003e38 (__TEXT,__text) external _OSAtomicOr32Barrier
00000000000040e0 (__TEXT,__text) external _OSAtomicOr32Orig
0000000000005c58 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000000004060 (__TEXT,__text) external _OSAtomicTestAndClear
0000000000004a80 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000000004a38 (__TEXT,__text) external _OSAtomicTestAndSet
0000000000003f74 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000000005c60 (__TEXT,__text) external _OSAtomicXor32
0000000000003e44 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000000005c6c (__TEXT,__text) external _OSAtomicXor32Orig
0000000000005c74 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000000003df4 (__TEXT,__text) external _OSMemoryBarrier
0000000000003bf8 (__TEXT,__text) external _OSSpinLockLock
0000000000003f3c (__TEXT,__text) external _OSSpinLockTry
0000000000003c14 (__TEXT,__text) external _OSSpinLockUnlock
0000000000006670 (__TEXT,__const) non-external _UUID_NULL
00000000000066ae (__TEXT,__const) non-external __0x
00000000000067ad (__TEXT,__cstring) non-external __H
0000000000005ca4 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000000005c7c (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000000003ecc (__TEXT,__text) external __OSSpinLockLockSlow
0000000000005a14 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000000003480 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000000010010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000000000032c4 (__TEXT,__text) external ___libplatform_init
0000000000004b00 (__TEXT,__text) external ___os_log_simple_offset
0000000000005c3c (__TEXT,__text) external ___os_once_reset
