00007ff840096be8 (__DATA,__data) non-external _C
00007ff8400a4448 (__DATA,__bss) non-external _EMSG
00007ff8400a4449 (__DATA,__bss) non-external _EMSG
00007ff840099788 (__DATA,__bss) non-external _NXArgc_pointer
00007ff840099780 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800a76378 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800a763af (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800a764b0 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800a76470 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff840067c60 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840067c80 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840067d28 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840067f70 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400973b0 (__DATA,__data) external __CurrentRuneLocale
00007ff840097c88 (__DATA,__constrw) external __DefaultRuneLocale
00007ff840098910 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800a78ad5 (__TEXT,__text) non-external __EUC_free_extra
00007ff800a77f6a (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800a7810b (__TEXT,__text) non-external __EUC_mbrtowc
00007ff800a78abb (__TEXT,__text) non-external __EUC_mbsinit
00007ff800a782a7 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff800aa002b (__TEXT,__text) external __Exit
00007ff800a78bbf (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800a78bf6 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800a78e2d (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800a78d3c (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800a78e46 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800a78e7d (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800a78fbf (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800a78f7f (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800a78fd8 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800a7900f (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800a79110 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800a790d0 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800a7a7b2 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800a7a7e9 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800a7aa12 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800a7a8b8 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800a5edae (__TEXT,__text) external __NSGetArgc
00007ff800a5eda1 (__TEXT,__text) external __NSGetArgv
00007ff800a5edbb (__TEXT,__text) external __NSGetEnviron
00007ff800a5edd5 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff800a5edc8 (__TEXT,__text) external __NSGetProgname
00007ff8400a4510 (__DATA,__common) external __PathLocale
00007ff800aa8d64 (__TEXT,__text) external __Read_RuneMagi
00007ff800a9f87e (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800a9f8cb (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800a9fab0 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800a9faca (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800a9fa29 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800a9fc45 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800a7c4af (__TEXT,__text) non-external (was a private external) __UTF8_init
