                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000018e359f50 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000018e3566d0 (__TEXT,__text) external _FSp_profile_init
000000018e3566d8 (__TEXT,__text) external _FSp_profile_init_path
000000018e359f58 (__TEXT,__text) external _FSp_put_svc_key
000000018e359f60 (__TEXT,__text) external _FSp_read_service_key
00000001d69a4f58 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001d69a4f70 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001d69a4f30 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001d69a4f18 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001d69a4ee8 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001d69a4f00 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001d69a4ed0 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001d69a4ff8 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001d69a4fc8 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001d69a4f90 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001d69a4fd8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001d69a4fb8 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
000000018e35a088 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
000000018e35a080 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
000000018e359ff0 (__TEXT,__text) external _KClientAddCredentialsDeprecated
000000018e359f88 (__TEXT,__text) external _KClientAddRealmMapDeprecated
000000018e359fa8 (__TEXT,__text) external _KClientAddServerMapDeprecated
000000018e35a1f0 (__TEXT,__text) external _KClientAddServiceKey
000000018e359f68 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
000000018e35a238 (__TEXT,__text) external _KClientDecrypt
000000018e35a0e8 (__TEXT,__text) external _KClientDecryptCompat
000000018e359ff8 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
000000018e359f90 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
000000018e359fb0 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
000000018e359fe0 (__TEXT,__text) external _KClientDeleteSessionDeprecated
000000018e35a270 (__TEXT,__text) external _KClientDisposePrincipal
000000018e35a168 (__TEXT,__text) external _KClientDisposeSession
000000018e35a0a0 (__TEXT,__text) external _KClientDisposeSessionCompat
000000018e35a230 (__TEXT,__text) external _KClientEncrypt
000000018e35a0e0 (__TEXT,__text) external _KClientEncryptCompat
000000018e35a200 (__TEXT,__text) external _KClientGetAuthenticatorForService
000000018e35a250 (__TEXT,__text) external _KClientGetCCacheReference
000000018e35a170 (__TEXT,__text) external _KClientGetClientPrincipal
000000018e359fe8 (__TEXT,__text) external _KClientGetCredentialsDeprecated
000000018e35a220 (__TEXT,__text) external _KClientGetEncryptedServiceReply
000000018e35a018 (__TEXT,__text) external _KClientGetErrorTextDeprecated
000000018e35a1b8 (__TEXT,__text) external _KClientGetExpirationTime
000000018e35a190 (__TEXT,__text) external _KClientGetLocalAddress
000000018e359f70 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
000000018e35a008 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
000000018e359f98 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
000000018e359fa0 (__TEXT,__text) external _KClientGetNthServerDeprecated
000000018e359fb8 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
000000018e359fc0 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
000000018e359fd8 (__TEXT,__text) external _KClientGetNthSessionDeprecated
000000018e35a000 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
000000018e359fd0 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
000000018e35a228 (__TEXT,__text) external _KClientGetProtectedServiceReply
000000018e359f80 (__TEXT,__text) external _KClientGetRealmDeprecated
000000018e35a1a0 (__TEXT,__text) external _KClientGetRemoteAddress
000000018e35a180 (__TEXT,__text) external _KClientGetServerPrincipal
000000018e35a1e8 (__TEXT,__text) external _KClientGetServiceKey
000000018e35a1b0 (__TEXT,__text) external _KClientGetSessionKey
000000018e35a0d8 (__TEXT,__text) external _KClientGetSessionKeyCompat
000000018e35a130 (__TEXT,__text) external _KClientGetSessionUserNameCompat
000000018e35a1f8 (__TEXT,__text) external _KClientGetTicketForService
000000018e35a0a8 (__TEXT,__text) external _KClientGetTicketForServiceCompat
000000018e35a0b0 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
000000018e35a010 (__TEXT,__text) external _KClientGetUserNameDeprecated
000000018e35a150 (__TEXT,__text) external _KClientGetVersion
000000018e35a1d8 (__TEXT,__text) external _KClientKeyFileLogin
000000018e35a1c8 (__TEXT,__text) external _KClientLogin
000000018e35a0b8 (__TEXT,__text) external _KClientLoginCompat
000000018e35a1e0 (__TEXT,__text) external _KClientLogout
000000018e35a0c8 (__TEXT,__text) external _KClientLogoutCompat
000000018e35a138 (__TEXT,__text) external _KClientMakeSendAuthCompat
000000018e35a158 (__TEXT,__text) external _KClientNewClientSession
000000018e35a160 (__TEXT,__text) external _KClientNewServerSession
000000018e35a098 (__TEXT,__text) external _KClientNewSessionCompat
