00007ff8062fa58c (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8062fa553 (__TEXT,__text) external _CreateLSTMData
00007ff8062fa3f8 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff8062fa732 (__TEXT,__text) external _DeleteLSTMData
00007ff8062fa763 (__TEXT,__text) external _LSTMDataName
00007ff8062da709 (__TEXT,__text) external _T_CString_int64ToString
00007ff8062da65a (__TEXT,__text) external _T_CString_integerToString
00007ff8062da7bd (__TEXT,__text) external _T_CString_stringToInteger
00007ff8062da5f7 (__TEXT,__text) external _T_CString_toLowerCase
00007ff8062da62a (__TEXT,__text) external _T_CString_toUpperCase
00007ff80633eec7 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80633ec68 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff80633eb60 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff80633eda1 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff80633f475 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff80633f423 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff80633ec62 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff80633f445 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff80635d9fa (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8063653f0 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
00007ff80636548b (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff806366968 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff806364ff1 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff80636508a (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00007ff80636422d (__TEXT,__text) external __Z17ulocimp_getRegionPKcR10UErrorCode
00007ff806364189 (__TEXT,__text) external __Z17ulocimp_getScriptPKcR10UErrorCode
00007ff806366aa4 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff806364374 (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu10CharStringES3_S3_S3_PS0_R10UErrorCode
00007ff80636451a (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu8ByteSinkES3_S3_S3_PS0_R10UErrorCode
00007ff8063642d1 (__TEXT,__text) external __Z18ulocimp_getVariantPKcR10UErrorCode
00007ff806365d8c (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcR10UErrorCode
00007ff806365e2a (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff806362c78 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccRN3icu8ByteSinkEbR10UErrorCode
00007ff806362bcf (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccbR10UErrorCode
00007ff8063640e5 (__TEXT,__text) external __Z19ulocimp_getLanguagePKcR10UErrorCode
00007ff806366a06 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff806365ed7 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcR10UErrorCode
00007ff806365f75 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcRN3icu8ByteSinkER10UErrorCode
00007ff806366cef (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff806368823 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff80636877f (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
00007ff806369a6d (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
00007ff806369b14 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciRN3icu8ByteSinkEPiR10UErrorCode
00007ff8063630cf (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEER10UErrorCode
00007ff806363176 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff8062f31cd (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcR10UErrorCode
00007ff8062f3268 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcRN3icu8ByteSinkEbR10UErrorCode
00007ff806363f4e (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_RN3icu10CharStringER10UErrorCode
00007ff8063637ba (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_S3_RN3icu8ByteSinkER10UErrorCode
00007ff8062f2cfa (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcR10UErrorCode
00007ff8062f2d93 (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcRN3icu8ByteSinkER10UErrorCode
00007ff8063664bd (__TEXT,__text) external __Z28ulocimp_toBcpKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff8063665bf (__TEXT,__text) external __Z29ulocimp_toBcpTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff80638ed50 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff806366695 (__TEXT,__text) external __Z31ulocimp_toLegacyKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff8064eddff (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff8063667b7 (__TEXT,__text) external __Z32ulocimp_toLegacyTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
