0000000180714840 (__TEXT,__text) external _OSAtomicAdd32
000000018071484c (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180714898 (__TEXT,__text) external _OSAtomicAdd64
00000001807148a4 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001807148f0 (__TEXT,__text) external _OSAtomicAnd32
0000000180714900 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180714910 (__TEXT,__text) external _OSAtomicAnd32Orig
000000018071491c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180714978 (__TEXT,__text) external _OSAtomicCompareAndSwap32
000000018071498c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180714a18 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180714a2c (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001807149c8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001807149dc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001807149f0 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180714a04 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001807149a0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001807149b4 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180714878 (__TEXT,__text) external _OSAtomicDecrement32
0000000180714888 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001807148d0 (__TEXT,__text) external _OSAtomicDecrement64
00000001807148e0 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180714bd4 (__TEXT,__text) external _OSAtomicDequeue
0000000180714b60 (__TEXT,__text) external _OSAtomicEnqueue
00000001807135e0 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001807135a0 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180714858 (__TEXT,__text) external _OSAtomicIncrement32
0000000180714868 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001807148b0 (__TEXT,__text) external _OSAtomicIncrement64
00000001807148c0 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180714928 (__TEXT,__text) external _OSAtomicOr32
0000000180714934 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180714940 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180714948 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180714ad0 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180714b18 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180714a40 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180714a88 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180714950 (__TEXT,__text) external _OSAtomicXor32
000000018071495c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180714968 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180714970 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180714c50 (__TEXT,__text) external _OSMemoryBarrier
00000001807138ac (__TEXT,__text) external _OSSpinLockLock
00000001807138c8 (__TEXT,__text) external _OSSpinLockTry
00000001807138f8 (__TEXT,__text) external _OSSpinLockUnlock
0000000180716790 (__TEXT,__const) non-external __0x
0000000180716801 (__TEXT,__cstring) non-external __H
0000000180714c2c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180714bac (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180713764 (__TEXT,__text) external __OSSpinLockLockSlow
00000001807137dc (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180715a20 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182774010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180711460 (__TEXT,__text) external ___libplatform_init
00000001807141fc (__TEXT,__text) external ___os_once_reset
00000001807134b4 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180716788 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180716750 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180714cc8 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180711968 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180715f0c (__TEXT,__text) external __ctx_done
000000018071622c (__TEXT,__text) non-external (was a private external) __ctx_start
00000001807123cc (__TEXT,__text) non-external __enlarge
00000001807162e4 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180712294 (__TEXT,__text) non-external __flush
000000018071193c (__TEXT,__text) non-external __flush_reset
0000000180716812 (__TEXT,__cstring) non-external __h
0000000180714da4 (__TEXT,__text) external __longjmp
0000000180714578 (__TEXT,__text) non-external __os_alloc
00000001807164f0 (__TEXT,__text) non-external __os_alloc.cold.1
0000000182774008 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180714528 (__TEXT,__text) external __os_alloc_once
0000000180714634 (__TEXT,__text) non-external __os_alloc_slow
000000018071630c (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180713948 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180713998 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
000000018071396c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
000000018071398c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180714198 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001807141bc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001807141dc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180716458 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180713900 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180713920 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
000000018071393c (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180716798 (__TEXT,__const) non-external __os_lock_type_base
00000001827cebb0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001827cebd0 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001827cec10 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001827cebb0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001827cebb0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001827cebf0 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180713f2c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180713f54 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180713f74 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180713f94 (__TEXT,__text) external __os_nospin_lock_lock
0000000180713fb4 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001807140b0 (__TEXT,__text) external __os_nospin_lock_trylock
