                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00000002210919b0 (__TEXT,__text) non-external _sbuf_extend
0000000221091ac4 (__TEXT,__text) non-external _sbuf_put_byte
00000002210916b4 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
0000000221091684 (__TEXT,__text) external _usbuf_bcat
00000002210917a8 (__TEXT,__text) external _usbuf_bcpy
00000002210917f0 (__TEXT,__text) external _usbuf_cat
0000000221091534 (__TEXT,__text) external _usbuf_clear
0000000221091508 (__TEXT,__text) external _usbuf_clear_flags
0000000221091578 (__TEXT,__text) external _usbuf_count_drain
0000000221091838 (__TEXT,__text) external _usbuf_cpy
0000000221091d14 (__TEXT,__text) external _usbuf_data
0000000221091d44 (__TEXT,__text) external _usbuf_delete
0000000221091dac (__TEXT,__text) external _usbuf_done
0000000221091594 (__TEXT,__text) external _usbuf_drain
0000000221091df0 (__TEXT,__text) external _usbuf_end_section
0000000221091c70 (__TEXT,__text) external _usbuf_error
0000000221091c78 (__TEXT,__text) external _usbuf_finish
0000000221091500 (__TEXT,__text) external _usbuf_get_flags
00000002210911b8 (__TEXT,__text) external _usbuf_hexdump
0000000221091d1c (__TEXT,__text) external _usbuf_len
0000000221091408 (__TEXT,__text) external _usbuf_new
0000000221091b6c (__TEXT,__text) external _usbuf_nl_terminate
0000000221091a64 (__TEXT,__text) external _usbuf_printf
00000002210913ac (__TEXT,__text) external _usbuf_printf_drain
000000022109137c (__TEXT,__text) external _usbuf_putbuf
0000000221091a90 (__TEXT,__text) external _usbuf_putc
000000022109158c (__TEXT,__text) external _usbuf_set_drain
0000000221091520 (__TEXT,__text) external _usbuf_set_flags
0000000221091550 (__TEXT,__text) external _usbuf_setpos
0000000221091db8 (__TEXT,__text) external _usbuf_start_section
0000000221091bcc (__TEXT,__text) external _usbuf_trim
0000000221091898 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
