000000028c07faa8 (__DATA_CONST,__const) external _AMPVolumeSliderAppearance
000000028c07fab0 (__DATA_CONST,__const) external _AMPVolumeSliderDarkAppearance
000000022cf1049c (__TEXT,__text) external _AssignLayerImageContents
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
000000022cecf40c (__TEXT,__text) external _CAEncodeAllLayerTrees
                 (undefined) external _CAEncodeLayerTreeToFile (from QuartzCore)
                 (undefined) external _CATransform3DConcat (from QuartzCore)
                 (undefined) external _CATransform3DIdentity (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CATransform3DMakeTranslation (from QuartzCore)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFHash (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGColorCreateGenericGray (from CoreGraphics)
                 (undefined) external _CGColorCreateGenericRGB (from CoreGraphics)
                 (undefined) external _CGColorGetComponents (from CoreGraphics)
                 (undefined) external _CGColorGetConstantColor (from CoreGraphics)
                 (undefined) external _CGColorRelease (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGContextAddPath (from CoreGraphics)
                 (undefined) external _CGContextClip (from CoreGraphics)
                 (undefined) external _CGContextDrawImage (from CoreGraphics)
                 (undefined) external _CGContextDrawLinearGradient (from CoreGraphics)
                 (undefined) external _CGContextFillPath (from CoreGraphics)
                 (undefined) external _CGContextRelease (from CoreGraphics)
                 (undefined) external _CGContextReplacePathWithShapePath (from CoreGraphics)
                 (undefined) external _CGContextSetGrayFillColor (from CoreGraphics)
                 (undefined) external _CGContextSetGrayStrokeColor (from CoreGraphics)
                 (undefined) external _CGContextSetInterpolationQuality (from CoreGraphics)
                 (undefined) external _CGContextSetLineCap (from CoreGraphics)
                 (undefined) external _CGContextSetLineWidth (from CoreGraphics)
                 (undefined) external _CGContextSetRGBFillColor (from CoreGraphics)
                 (undefined) external _CGContextStrokeLineSegments (from CoreGraphics)
                 (undefined) external _CGContextTranslateCTM (from CoreGraphics)
                 (undefined) external _CGGradientCreateWithColors (from CoreGraphics)
                 (undefined) external _CGGradientRelease (from CoreGraphics)
                 (undefined) external _CGImageGetBitmapInfo (from CoreGraphics)
                 (undefined) external _CGImageGetBitsPerComponent (from CoreGraphics)
                 (undefined) external _CGImageGetColorSpace (from CoreGraphics)
                 (undefined) external _CGImageRelease (from CoreGraphics)
                 (undefined) external _CGImageRetain (from CoreGraphics)
                 (undefined) external _CGImageSourceCreateThumbnailAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithData (from ImageIO)
                 (undefined) external _CGPathAddCurveToPoint (from CoreGraphics)
                 (undefined) external _CGPathAddLineToPoint (from CoreGraphics)
                 (undefined) external _CGPathCloseSubpath (from CoreGraphics)
                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGPathCreateWithEllipseInRect (from CoreGraphics)
                 (undefined) external _CGPathMoveToPoint (from CoreGraphics)
                 (undefined) external _CGPathRelease (from CoreGraphics)
                 (undefined) external _CGPointZero (from CoreGraphics)
                 (undefined) external _CGRectContainsPoint (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxX (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMidX (from CoreGraphics)
                 (undefined) external _CGRectGetMidY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectInset (from CoreGraphics)
                 (undefined) external _CGRectIsEmpty (from CoreGraphics)
                 (undefined) external _CGRectIsNull (from CoreGraphics)
                 (undefined) external _CGRectOffset (from CoreGraphics)
                 (undefined) external _CGRectUnion (from CoreGraphics)
                 (undefined) external _CGRegionCreateWithData (from CoreGraphics)
                 (undefined) external _CGRegionIsValid (from CoreGraphics)
                 (undefined) external _CGSizeZero (from CoreGraphics)
                 (undefined) external _CSIsNull (from CoreSymbolication)
                 (undefined) external _CSSourceInfoGetFilename (from CoreSymbolication)
                 (undefined) external _CSSourceInfoGetLineNumber (from CoreSymbolication)
                 (undefined) external _CSSymbolGetName (from CoreSymbolication)
                 (undefined) external _CSSymbolOwnerGetSourceInfoWithAddress (from CoreSymbolication)
                 (undefined) external _CSSymbolOwnerGetSymbolWithAddress (from CoreSymbolication)
                 (undefined) external _CSSymbolicatorCreateWithTaskFlagsAndNotification (from CoreSymbolication)
                 (undefined) external _CSSymbolicatorGetSymbolOwnerWithAddressAtTime (from CoreSymbolication)
000000022cf0861c (__TEXT,__text) external _ConvertTimestampToSeconds
000000022cf11478 (__TEXT,__text) external _CreateShadowLayer
000000022cf11524 (__TEXT,__text) external _GetContentsPixelDimensions
000000022cf115b4 (__TEXT,__text) external _GetImageLayerInset
000000022cf1c784 (__TEXT,__text) external _GetResultingFavoritingStateForClick
000000022cf125ec (__TEXT,__text) external _GlueLayerToSuperLayer
000000022cf121e0 (__TEXT,__text) external _GlueLayerToSuperLayerKeeping16_9AspectRatio
000000022cf123ec (__TEXT,__text) external _GlueLayerToSuperLayerKeeping2_3AspectRatio
000000022cf10f80 (__TEXT,__text) external _KillLayerAnimations
                 (undefined) external _NSAccessibilityButtonRole (from AppKit)
                 (undefined) external _NSAccessibilityDescriptionAttribute (from AppKit)
                 (undefined) external _NSAccessibilityEntryPointValueForAttribute (from AppKit)
                 (undefined) external _NSAccessibilityFocusedElementKey (from AppKit)
                 (undefined) external _NSAccessibilityGroupRole (from AppKit)
                 (undefined) external _NSAccessibilityPressAction (from AppKit)
                 (undefined) external _NSAccessibilityStaticTextRole (from AppKit)
                 (undefined) external _NSAccessibilityValueDescriptionAttribute (from AppKit)
000000022ceff9d0 (__TEXT,__text) external _NSAlignmentFromTEJust
                 (undefined) external _NSApp (from AppKit)
                 (undefined) external _NSAppearanceNameAccessibilityHighContrastAqua (from AppKit)
                 (undefined) external _NSAppearanceNameAccessibilityHighContrastDarkAqua (from AppKit)
                 (undefined) external _NSAppearanceNameAccessibilityHighContrastVibrantDark (from AppKit)
                 (undefined) external _NSAppearanceNameAccessibilityHighContrastVibrantLight (from AppKit)
                 (undefined) external _NSAppearanceNameAqua (from AppKit)
                 (undefined) external _NSAppearanceNameDarkAqua (from AppKit)
                 (undefined) external _NSAppearanceNameVibrantDark (from AppKit)
                 (undefined) external _NSApplicationDidBecomeActiveNotification (from AppKit)
                 (undefined) external _NSApplicationDidResignActiveNotification (from AppKit)
                 (undefined) external _NSAttachmentAttributeName (from AppKit)
                 (undefined) external _NSBeep (from AppKit)
                 (undefined) external _NSCalibratedRGBColorSpace (from AppKit)
                 (undefined) external _NSClassFromString (from Foundation)
                 (undefined) external _NSCollectionElementKindSectionHeader (from AppKit)
                 (undefined) external _NSContinuouslyUpdatesValueBindingOption (from AppKit)
                 (undefined) external _NSControlTextDidChangeNotification (from AppKit)
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSDraggingImageComponentLabelKey (from AppKit)
                 (undefined) external _NSEdgeInsetsEqual (from Foundation)
                 (undefined) external _NSEdgeInsetsZero (from Foundation)
                 (undefined) external _NSEditableBinding (from AppKit)
                 (undefined) external _NSEnabledBinding (from AppKit)
                 (undefined) external _NSEqualRects (from Foundation)
                 (undefined) external _NSEventTrackingRunLoopMode (from AppKit)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSFontBinding (from AppKit)
                 (undefined) external _NSFontDescriptorSystemDesignRounded (from AppKit)
                 (undefined) external _NSFontTextStyleBody (from AppKit)
                 (undefined) external _NSFontTextStyleCallout (from AppKit)
                 (undefined) external _NSFontTextStyleCaption1 (from AppKit)
                 (undefined) external _NSFontTextStyleCaption2 (from AppKit)
                 (undefined) external _NSFontTextStyleFootnote (from AppKit)
                 (undefined) external _NSFontTextStyleHeadline (from AppKit)
                 (undefined) external _NSFontTextStyleLargeTitle (from AppKit)
                 (undefined) external _NSFontTextStyleSubheadline (from AppKit)
                 (undefined) external _NSFontTextStyleTitle1 (from AppKit)
                 (undefined) external _NSFontTextStyleTitle2 (from AppKit)
                 (undefined) external _NSFontTextStyleTitle3 (from AppKit)
                 (undefined) external _NSFontTraitsAttribute (from AppKit)
                 (undefined) external _NSFontWeightBold (from AppKit)
                 (undefined) external _NSFontWeightMedium (from AppKit)
                 (undefined) external _NSFontWeightRegular (from AppKit)
                 (undefined) external _NSFontWeightSemibold (from AppKit)
                 (undefined) external _NSFontWeightTrait (from AppKit)
                 (undefined) external _NSForegroundColorAttributeName (from AppKit)
                 (undefined) external _NSFrameRectWithWidth (from AppKit)
                 (undefined) external _NSHiddenBinding (from AppKit)
                 (undefined) external _NSImageBinding (from AppKit)
                 (undefined) external _NSImageNameQuickLookTemplate (from AppKit)
                 (undefined) external _NSInsetRect (from Foundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSIntersectsRect (from Foundation)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSIsEmptyRect (from Foundation)
                 (undefined) external _NSLinkAttributeName (from AppKit)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSNamedColorSpace (from AppKit)
                 (undefined) external _NSNegateBooleanTransformerName (from Foundation)
                 (undefined) external _NSNullPlaceholderBindingOption (from AppKit)
                 (undefined) external _NSObservedKeyPathKey (from AppKit)
                 (undefined) external _NSObservedObjectKey (from AppKit)
                 (undefined) external _NSOutlineViewSelectionDidChangeNotification (from AppKit)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _NSPasteboardTypeString (from AppKit)
                 (undefined) external _NSPasteboardTypeTabularText (from AppKit)
                 (undefined) external _NSPatternColorSpace (from AppKit)
                 (undefined) external _NSPointInRect (from Foundation)
                 (undefined) external _NSPopUpButtonWillPopUpNotification (from AppKit)
                 (undefined) external _NSRectFill (from AppKit)
                 (undefined) external _NSRectFillUsingOperation (from AppKit)
                 (undefined) external _NSRunLoopCommonModes (from CoreFoundation)
                 (undefined) external _NSSelectorFromString (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSStringFromPoint (from Foundation)
                 (undefined) external _NSStringFromRect (from Foundation)
                 (undefined) external _NSStringFromSelector (from Foundation)
                 (undefined) external _NSTableViewColumnDidMoveNotification (from AppKit)
                 (undefined) external _NSTableViewColumnDidResizeNotification (from AppKit)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _NSTextColorBinding (from AppKit)
                 (undefined) external _NSTitleBinding (from AppKit)
                 (undefined) external _NSToolTipBinding (from AppKit)
                 (undefined) external _NSToolbarFlexibleSpaceItemIdentifier (from AppKit)
                 (undefined) external _NSToolbarInspectorTrackingSeparatorItemIdentifier (from AppKit)
                 (undefined) external _NSToolbarSpaceItemIdentifier (from AppKit)
                 (undefined) external _NSUnderlyingErrorKey (from Foundation)
                 (undefined) external _NSUnionRect (from Foundation)
                 (undefined) external _NSValueBinding (from AppKit)
                 (undefined) external _NSValueTransformerBindingOption (from AppKit)
                 (undefined) external _NSValueTransformerNameBindingOption (from AppKit)
                 (undefined) external _NSViewBoundsDidChangeNotification (from AppKit)
                 (undefined) external _NSViewFrameDidChangeNotification (from AppKit)
                 (undefined) external _NSViewNoIntrinsicMetric (from AppKit)
                 (undefined) external _NSWindowDidExposeNotification (from AppKit)
                 (undefined) external _NSWindowDidMoveNotification (from AppKit)
                 (undefined) external _NSWindowDidOrderOnScreenNotification (from AppKit)
                 (undefined) external _NSWindowDidResizeNotification (from AppKit)
                 (undefined) external _NSWorkspaceAccessibilityFocusedElementDidChangeNotification (from AppKit)
                 (undefined) external _NSZeroPoint (from Foundation)
                 (undefined) external _NSZeroRect (from Foundation)
                 (undefined) external _NSZeroSize (from Foundation)
0000000295d345a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPAction
0000000295d34aa0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPAdjustableDividerTableRow
0000000295d34e10 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPAlbumHeaderLockup
0000000295d368a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPAvatarLabeledLockup
0000000295d36850 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPAvatarLockup
0000000295d34f50 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPAvatarShelfLockup
0000000295d34dc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPAvatarStackLockup
0000000295d34d20 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPBadgingCapsule
0000000295d345f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPBasicAction
0000000294e46960 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AMPBasicSlider
0000000294e46938 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AMPBindableView
0000000295d34ff0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMPBouncyBarAnimationView
0000000294e468e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_AMPCollapsableView
