00007ff8062a852c (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff8062a84f3 (__TEXT,__text) external _CreateLSTMData
00007ff8062a8398 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff8062a86d2 (__TEXT,__text) external _DeleteLSTMData
00007ff8062a8703 (__TEXT,__text) external _LSTMDataName
00007ff806288709 (__TEXT,__text) external _T_CString_int64ToString
00007ff80628865a (__TEXT,__text) external _T_CString_integerToString
00007ff8062887bd (__TEXT,__text) external _T_CString_stringToInteger
00007ff8062885f7 (__TEXT,__text) external _T_CString_toLowerCase
00007ff80628862a (__TEXT,__text) external _T_CString_toUpperCase
00007ff8062ece67 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff8062ecc08 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff8062ecb00 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff8062ecd41 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff8062ed415 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff8062ed3c3 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff8062ecc02 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff8062ed3e5 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff80630b99a (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff806313390 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
00007ff80631342b (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
00007ff806314908 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff806312f91 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff80631302a (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
