                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001e5a8f028 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018b1d5fd4 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
000000018b1d5fdc (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00000001dfda6268 (__DATA_CONST,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00000001dfda6278 (__DATA_CONST,__const) external _CONTAINER_PERSONA_CURRENT
00000001e36bd148 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.cache
00000001e36bd150 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.lock
00000001e36bd158 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.once_token
000000018b1d5fe0 (__TEXT,__const) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.persona_name_default
000000018b1d5fcc (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00000001dfda6270 (__DATA_CONST,__const) external _CONTAINER_PERSONA_PRIMARY
000000018b1d5fd8 (__TEXT,__const) external _CONTAINER_SYSTEM_UID
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001dfda6140 (__DATA_CONST,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018b1c7218 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
000000018b1c7334 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
000000018b1c76e8 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
000000018b1c7784 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.13
000000018b1c7714 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.8
000000018b1c77c4 (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
000000018b1c71f0 (__TEXT,__text) non-external _____locked_revoke_block_invoke
000000018b1cfe40 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
000000018b1cfdcc (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
000000018b1cebd4 (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
000000018b1c2038 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
000000018b1c2064 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
