00000001d7d13f38 (__DATA,__data) external _AKAdornmentZPositionOffset
00000001d7d13880 (__DATA,__data) external _AKAnnotationChangeObjectKey
00000001d7d13868 (__DATA,__data) external _AKAnnotationLayerSetupCompleteNotification
00000001d7d13878 (__DATA,__data) external _AKAnnotationPropertiesChangedNotification
00000001d7d13870 (__DATA,__data) external _AKAnnotationsAddedOrRemovedNotification
00000001d3b82cd8 (__DATA_CONST,__const) external _AKAttributeControllerInkDidChangeNotification
00000001d3b82df0 (__DATA_CONST,__const) external _AKChildAnnotationUUIDAssociatedObjectKey
00000001d3b82e58 (__DATA_CONST,__const) external _AKContentScrollViewEndScrollOrMagnifyNotification
00000001d3b82e50 (__DATA_CONST,__const) external _AKContentScrollViewVisibleRectChangeNotification
00000001d7d138b8 (__DATA,__data) external _AKControllerDrawingGestureRecognizerNeedsDependencyUpdate
00000001d7d138b0 (__DATA,__data) external _AKControllerWillSaveNotification
00000001d3b82ce8 (__DATA_CONST,__const) external _AKControllerWillTeardownNotification
00000001d7d13890 (__DATA,__data) external _AKDidEndEditingTextAnnotationNotification
00000001d7d13898 (__DATA,__data) external _AKEditingTextAnnotationKey
00000001badba5b4 (__TEXT,__text) external _AKLog
00000001d3b82de8 (__DATA_CONST,__const) external _AKParentAnnotationUUIDAssociatedObjectKey
00000001d7d13eb0 (__DATA,__data) external _AKPointOfInterestRadius_Handle_Alternate
00000001d7d13ea8 (__DATA,__data) external _AKPointOfInterestSize_Handle
00000001d7d13ea0 (__DATA,__data) external _AKPointOfInterestSize_LargestHandleSize
00000001bace1de8 (__TEXT,__text) external _AKQuadrilateralCreateDictionaryRepresentation
00000001bace2478 (__TEXT,__text) external _AKQuadrilateralMakeWithDictionaryRepresentation
00000001d3b82cc8 (__DATA_CONST,__const) external _AKRawDataForCoder
00000001d7d138a0 (__DATA,__data) external _AKSelectionChangedNotification
00000001d7d138a8 (__DATA,__data) external _AKSelectionChangedPageModelControllerKey
00000001badb94ac (__TEXT,__text) external _AKSidecarMarkupGetApplicationFromDictionary
00000001d7d138c0 (__DATA,__data) external _AKStatisticsDocumentTypeImage
00000001d7d138c8 (__DATA,__data) external _AKStatisticsDocumentTypePDF
00000001d7d13888 (__DATA,__data) external _AKWillBeginEditingTextAnnotationNotification
00000001bade97d8 (__TEXT,__const) external _AKZeroQuadrilateral
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CARenderServerRenderLayerWithTransform (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CGAffineTransformConcat (from CoreGraphics)
                 (undefined) external _CGAffineTransformEqualToTransform (from CoreGraphics)
                 (undefined) external _CGAffineTransformIdentity (from CoreGraphics)
                 (undefined) external _CGAffineTransformInvert (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeRotation (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGAffineTransformScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformTranslate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitmapInfo (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerComponent (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerPixel (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBytesPerRow (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetColorSpace (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetHeight (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetWidth (from CoreGraphics)
                 (undefined) external _CGBitmapGetAlignedBytesPerRow (from CoreGraphics)
                 (undefined) external _CGColorCreate (from CoreGraphics)
                 (undefined) external _CGColorGetAlpha (from CoreGraphics)
                 (undefined) external _CGColorGetColorSpace (from CoreGraphics)
                 (undefined) external _CGColorGetComponents (from CoreGraphics)
