00007ff843894c30 (__DATA,__data) non-external _C
00007ff843895f10 (__DATA,__bss) non-external _CF6464
00007ff802d85550 (__TEXT,__const) non-external _CIFP
00007ff843896830 (__DATA,__bss) non-external _EMSG
00007ff843896831 (__DATA,__bss) non-external _EMSG
00007ff802d85520 (__TEXT,__const) non-external _ExpandTr
00007ff843895f00 (__DATA,__bss) non-external _IE3264
00007ff802d854e0 (__TEXT,__const) non-external _IP
00007ff843895e70 (__DATA,__bss) non-external _KS
00007ff8436bb1a0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff8436bb1d0 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff802d85590 (__TEXT,__const) non-external _P32Tr
00007ff802d854a0 (__TEXT,__const) non-external _PC1
00007ff843895e68 (__DATA,__bss) non-external _PC1ROT
00007ff802d85460 (__TEXT,__const) non-external _PC2
00007ff843895ef0 (__DATA,__bss) non-external _PC2ROT
00007ff802d85450 (__TEXT,__const) non-external _Rotates
00007ff802d855b0 (__TEXT,__const) non-external _S
00007ff843895f08 (__DATA,__bss) non-external _SPE
00007ff802d5a607 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff802d5a63e (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff802d5a76a (__TEXT,__text) non-external __BIG5_mbsinit
00007ff802d5a72d (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff843894c90 (__DATA,__data) non-external __C_lconv
00007ff840085370 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840085390 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840085438 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840085640 (__DATA_CONST,__const) non-external __C_time_locale
00007ff843894de0 (__DATA,__data) external __CurrentRuneLocale
00007ff843894f98 (__DATA,__constrw) external __DefaultRuneLocale
00007ff843894f18 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff802d5c79d (__TEXT,__text) non-external (was a private external) __EUC_CN_init
