00007ffb1919852c (__TEXT,__text) non-external _Done_iODBC
00007ffb191b62b0 (__TEXT,__const) non-external _FunctionNumbers
00007ffb191b5299 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffb1919840e (__TEXT,__text) non-external _Init_iODBC
00007ffb430b57dc (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffb19196aa0 (__TEXT,__text) external _SQLAllocConnect
00007ffb19196994 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffb19198399 (__TEXT,__text) external _SQLAllocEnv
00007ffb191981eb (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffb191a2a6c (__TEXT,__text) external _SQLAllocHandle
00007ffb191a2b61 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffb191a27e0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffb1919b4e1 (__TEXT,__text) external _SQLAllocStmt
00007ffb1919af55 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffb191a065d (__TEXT,__text) external _SQLBindCol
00007ffb191a8b7c (__TEXT,__text) external _SQLBindParam
00007ffb1919f92b (__TEXT,__text) external _SQLBindParameter
00007ffb19193876 (__TEXT,__text) external _SQLBrowseConnect
00007ffb191939e1 (__TEXT,__text) external _SQLBrowseConnectA
00007ffb19193b4c (__TEXT,__text) external _SQLBrowseConnectW
00007ffb191931ff (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffb191a8657 (__TEXT,__text) external _SQLBulkOperations
00007ffb1919c408 (__TEXT,__text) external _SQLCancel
00007ffb191a8ba8 (__TEXT,__text) external _SQLCloseCursor
00007ffb191a8028 (__TEXT,__text) external _SQLColAttribute
00007ffb191a81fb (__TEXT,__text) external _SQLColAttributeA
00007ffb191a83ce (__TEXT,__text) external _SQLColAttributeW
00007ffb191a787c (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffb191a2266 (__TEXT,__text) external _SQLColAttributes
00007ffb191a2439 (__TEXT,__text) external _SQLColAttributesA
