                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00007ffe07b20b4a (__TEXT,__text) non-external _sbuf_extend
00007ffe07b20ca4 (__TEXT,__text) non-external _sbuf_put_byte
00007ffe07b20878 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00007ffe07b2085c (__TEXT,__text) external _usbuf_bcat
00007ffe07b2094f (__TEXT,__text) external _usbuf_bcpy
00007ffe07b20987 (__TEXT,__text) external _usbuf_cat
00007ffe07b2074a (__TEXT,__text) external _usbuf_clear
00007ffe07b2072d (__TEXT,__text) external _usbuf_clear_flags
00007ffe07b20786 (__TEXT,__text) external _usbuf_count_drain
00007ffe07b209b7 (__TEXT,__text) external _usbuf_cpy
00007ffe07b20e62 (__TEXT,__text) external _usbuf_data
00007ffe07b20e92 (__TEXT,__text) external _usbuf_delete
00007ffe07b20ee4 (__TEXT,__text) external _usbuf_done
00007ffe07b207a0 (__TEXT,__text) external _usbuf_drain
00007ffe07b20f2e (__TEXT,__text) external _usbuf_end_section
00007ffe07b20dea (__TEXT,__text) external _usbuf_error
00007ffe07b20df3 (__TEXT,__text) external _usbuf_finish
00007ffe07b20723 (__TEXT,__text) external _usbuf_get_flags
00007ffe07b20430 (__TEXT,__text) external _usbuf_hexdump
00007ffe07b20e6b (__TEXT,__text) external _usbuf_len
00007ffe07b20621 (__TEXT,__text) external _usbuf_new
00007ffe07b20d1c (__TEXT,__text) external _usbuf_nl_terminate
00007ffe07b20bea (__TEXT,__text) external _usbuf_printf
00007ffe07b205de (__TEXT,__text) external _usbuf_printf_drain
00007ffe07b205c3 (__TEXT,__text) external _usbuf_putbuf
00007ffe07b20c84 (__TEXT,__text) external _usbuf_putc
00007ffe07b20792 (__TEXT,__text) external _usbuf_set_drain
00007ffe07b2073e (__TEXT,__text) external _usbuf_set_flags
00007ffe07b2076a (__TEXT,__text) external _usbuf_setpos
00007ffe07b20ef2 (__TEXT,__text) external _usbuf_start_section
00007ffe07b20d5b (__TEXT,__text) external _usbuf_trim
00007ffe07b20a0c (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
