                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80c8d8091 (__TEXT,__text) external ___absvdi2
00007ff80c8d80c4 (__TEXT,__text) external ___absvsi2
00007ff80c8d80ed (__TEXT,__text) external ___absvti2
00007ff80c8d812d (__TEXT,__text) external ___addvdi3
00007ff80c8d8173 (__TEXT,__text) external ___addvsi3
00007ff80c8d81b5 (__TEXT,__text) external ___addvti3
00007ff80c8d8212 (__TEXT,__text) external ___ashldi3
00007ff80c8d823e (__TEXT,__text) external ___ashlti3
00007ff80c8d8266 (__TEXT,__text) external ___ashrdi3
00007ff80c8d8297 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80c8d8540 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80c8d8a98 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80c8d8ae4 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80c8d8b30 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80c8d8b7c (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80c8d8784 (__TEXT,__text) external ___atomic_exchange
00007ff80c8d89ca (__TEXT,__text) external ___atomic_exchange_1
00007ff80c8d8a00 (__TEXT,__text) external ___atomic_exchange_2
00007ff80c8d8a34 (__TEXT,__text) external ___atomic_exchange_4
00007ff80c8d8a64 (__TEXT,__text) external ___atomic_exchange_8
00007ff80c8d8bc8 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80c8d8c00 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80c8d8c34 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80c8d8c68 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80c8d8d78 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80c8d8df0 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80c8d8e70 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80c8d8ee0 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80c8d8f64 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80c8d8fdc (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80c8d905c (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80c8d90cc (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80c8d8c9c (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80c8d8cd4 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80c8d8d0c (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80c8d8d40 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80c8d9150 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80c8d91c8 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80c8d9248 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80c8d92b8 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80c8d82c8 (__TEXT,__text) external ___atomic_is_lock_free
00007ff80c8d831c (__TEXT,__text) external ___atomic_load
00007ff80c8d8944 (__TEXT,__text) external ___atomic_load_1
00007ff80c8d8955 (__TEXT,__text) external ___atomic_load_2
00007ff80c8d8967 (__TEXT,__text) external ___atomic_load_4
00007ff80c8d8975 (__TEXT,__text) external ___atomic_load_8
00007ff80c8d841c (__TEXT,__text) external ___atomic_store
00007ff80c8d8984 (__TEXT,__text) external ___atomic_store_1
00007ff80c8d8996 (__TEXT,__text) external ___atomic_store_2
00007ff80c8d89a8 (__TEXT,__text) external ___atomic_store_4
00007ff80c8d89b8 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80c8d93ec (__TEXT,__text) external ___clear_cache
00007ff80c8d93ed (__TEXT,__text) external ___clzdi2
00007ff80c8d9408 (__TEXT,__text) external ___clzsi2
00007ff80c8d9477 (__TEXT,__text) external ___clzti2
00007ff80c8d9490 (__TEXT,__text) external ___cmpdi2
00007ff80c8d94bc (__TEXT,__text) external ___cmpti2
00007ff80c8db4b0 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80c8d94dd (__TEXT,__text) external ___ctzdi2
00007ff80c8d94f7 (__TEXT,__text) external ___ctzsi2
00007ff80c8d9556 (__TEXT,__text) external ___ctzti2
00007ff80c8d956c (__TEXT,__text) external ___divdc3
00007ff80c8d8006 (__TEXT,__text) external ___divdi3
00007ff80c8d9bbc (__TEXT,__text) external ___divsc3
00007ff80c8d8041 (__TEXT,__text) external ___divti3
00007ff80c8da12f (__TEXT,__text) external ___divxc3
00007ff80c8da47c (__TEXT,__text) external ___enable_execute_stack
00007ff80c8da49d (__TEXT,__text) external ___extendhfsf2
00007ff80c8da50b (__TEXT,__text) external ___ffsdi2
00007ff80c8da527 (__TEXT,__text) external ___ffsti2
00007ff80c8da543 (__TEXT,__text) external ___fixdfdi
00007ff80c8da564 (__TEXT,__text) external ___fixdfti
00007ff80c8da624 (__TEXT,__text) external ___fixsfdi
00007ff80c8da642 (__TEXT,__text) external ___fixsfti
00007ff80c8d7ef8 (__TEXT,__text) external ___fixunsdfdi
00007ff80c8da6ef (__TEXT,__text) external ___fixunsdfsi
00007ff80c8da73b (__TEXT,__text) external ___fixunsdfti
00007ff80c8da7bb (__TEXT,__text) external ___fixunssfdi
00007ff80c8da800 (__TEXT,__text) external ___fixunssfsi
00007ff80c8da84d (__TEXT,__text) external ___fixunssfti
00007ff80c8d7f3b (__TEXT,__text) external ___fixunsxfdi
00007ff80c8da8c5 (__TEXT,__text) external ___fixunsxfsi
00007ff80c8da93b (__TEXT,__text) external ___fixunsxfti
00007ff80c8da9f5 (__TEXT,__text) external ___fixxfdi
00007ff80c8daa8f (__TEXT,__text) external ___fixxfti
00007ff80c8dab75 (__TEXT,__text) external ___floatdidf
00007ff80c8dab7b (__TEXT,__text) external ___floatdisf
00007ff80c8dab81 (__TEXT,__text) external ___floatdixf
00007ff80c8dab8b (__TEXT,__text) external ___floattidf
00007ff80c8daca3 (__TEXT,__text) external ___floattisf
00007ff80c8dada5 (__TEXT,__text) external ___floattixf
00007ff80c8daed4 (__TEXT,__text) external ___floatundidf
00007ff80c8daf00 (__TEXT,__text) external ___floatundisf
00007ff80c8daf2c (__TEXT,__text) external ___floatundixf
00007ff80c8daf42 (__TEXT,__text) external ___floatuntidf
00007ff80c8db04a (__TEXT,__text) external ___floatuntisf
00007ff80c8db112 (__TEXT,__text) external ___floatuntixf
00007ff80c8db218 (__TEXT,__text) external ___gcc_personality_v0
00007ff80c8dc98d (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80c8da506 (__TEXT,__text) external ___gnu_h2f_ieee
