00007ffd1e516968 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd1e516ce5 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffd1e515d98 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffd1e5164a6 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffd1e5165ae (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffd1e49dfff (__TEXT,__text) external _AAArchiveStreamCancel
00007ffd1e49dfc8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffd1e4b3ee6 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffd1e49df7a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffd1e49df60 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffd1e49dfae (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffd1e49df94 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffd1e49f606 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffd1e4a32b2 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffd1e4a31f7 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffd1e4a3138 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffd1e4a31e6 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffd1e50ae50 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffd1e4a3350 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffd1e4a32bd (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffd1e4a39a7 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffd1e4a3f76 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffd1e4a49e0 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffd1e4a496b (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffd1e4a4487 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffd1e51e334 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffd1e51e349 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffd1e51dd4f (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffd1e51e1de (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffd1e4d4a70 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffd1e4b4df4 (__TEXT,__text) external _AAByteRangeAdd
00007ffd1e4b4cf2 (__TEXT,__text) external _AAByteRangeClone
00007ffd1e4b4c56 (__TEXT,__text) external _AAByteRangeCreate
00007ffd1e4b4ccc (__TEXT,__text) external _AAByteRangeDestroy
00007ffd1e4b4fc0 (__TEXT,__text) external _AAByteRangeFirst
00007ffd1e4b50ce (__TEXT,__text) external _AAByteRangeNext
00007ffd1e4b4f56 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffd1e4b4ee4 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffd1e4b4e70 (__TEXT,__text) external _AAByteRangeSub
00007ffd1e514e89 (__TEXT,__text) external _AAByteStreamCancel
00007ffd1e514e9e (__TEXT,__text) external _AAByteStreamClose
00007ffd1e514ed5 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffd1e514f1e (__TEXT,__text) external _AAByteStreamFlush
00007ffd1e514e51 (__TEXT,__text) external _AAByteStreamPRead
00007ffd1e514f52 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffd1e514e19 (__TEXT,__text) external _AAByteStreamPWrite
00007ffd1e4ed95d (__TEXT,__text) external _AAByteStreamProcess
00007ffd1e514e35 (__TEXT,__text) external _AAByteStreamRead
00007ffd1e514e6d (__TEXT,__text) external _AAByteStreamSeek
00007ffd1e514f38 (__TEXT,__text) external _AAByteStreamTruncate
00007ffd1e514d68 (__TEXT,__text) external _AAByteStreamWrite
00007ffd1e4d2f84 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffd1e4d26a3 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffd1e4eab06 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffd1e51970c (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffd1e51a059 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffd1e4dc384 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffd1e49e014 (__TEXT,__text) external _AACustomArchiveStreamOpen
