000000019dd4155c (__TEXT,__text) non-external +[Calculate _lock]
000000019dd41660 (__TEXT,__text) non-external +[Calculate _resetGlobals]
000000019dd41504 (__TEXT,__text) non-external +[Calculate _unlock]
000000019dd34d94 (__TEXT,__text) non-external +[Calculate evaluate:options:]
000000019dd35580 (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
000000019dd34de8 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
000000019dd354ec (__TEXT,__text) non-external +[CalculateRequest _lock]
000000019dd354e0 (__TEXT,__text) non-external +[CalculateRequest _unlock]
000000019dd35448 (__TEXT,__text) non-external +[CalculateRequest serialQueue]
000000019dd41380 (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
000000019dd41438 (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
000000019dd40e2c (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
000000019dd40f00 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
000000019dd3cccc (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
000000019dd41d04 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
000000019dd453cc (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
000000019dd454bc (__TEXT,__text) non-external +[CalculateTokenizer prepareString:]
000000019dd4545c (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
000000019dd403b4 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
000000019dd4a184 (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
000000019dd4a1e4 (__TEXT,__text) non-external +[Converter dispatchQueue]
000000019dd4a280 (__TEXT,__text) non-external +[Converter initialize]
000000019dd4a13c (__TEXT,__text) non-external +[Converter needsRefresh]
000000019dd4a0ac (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
000000019dd4a0f4 (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
000000019dd1f3f4 (__TEXT,__text) non-external +[CurrencyCache shared]
000000019dd313b0 (__TEXT,__text) non-external +[Localize availableLocaleNames]
000000019dd30fbc (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
000000019dd31278 (__TEXT,__text) non-external +[Localize localizationForLocale:]
000000019dd30edc (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
000000019dd30e3c (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
000000019dd31410 (__TEXT,__text) non-external +[Localize mainBundle]
000000019dd315d8 (__TEXT,__text) non-external +[Localize systemLocale]
000000019dd31450 (__TEXT,__text) non-external +[Localize systemLocales]
000000019dd34c00 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
000000019dd34350 (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
000000019dd31f0c (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
000000019dd33f88 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
000000019dd33f28 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
000000019dd34f48 (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
000000019dd350d8 (__TEXT,__text) non-external -[CalculateRequest cancel]
000000019dd34ff8 (__TEXT,__text) non-external -[CalculateRequest expression]
000000019dd35000 (__TEXT,__text) non-external -[CalculateRequest finish]
000000019dd34fbc (__TEXT,__text) non-external -[CalculateRequest isCanceled]
000000019dd34fe4 (__TEXT,__text) non-external -[CalculateRequest options]
000000019dd34fac (__TEXT,__text) non-external -[CalculateRequest resultHandler]
000000019dd34fd0 (__TEXT,__text) non-external -[CalculateRequest result]
000000019dd34fec (__TEXT,__text) non-external -[CalculateRequest setExpression:]
000000019dd34fb4 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
000000019dd34fd8 (__TEXT,__text) non-external -[CalculateRequest setOptions:]
000000019dd34fc4 (__TEXT,__text) non-external -[CalculateRequest setResult:]
000000019dd34fa4 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
000000019dd351a4 (__TEXT,__text) non-external -[CalculateRequest update]
000000019dd3d714 (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
000000019dd40d04 (__TEXT,__text) non-external -[CalculateResult _setConversions:]
000000019dd40c8c (__TEXT,__text) non-external -[CalculateResult _setExpression:]
000000019dd40c98 (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
000000019dd40b58 (__TEXT,__text) non-external -[CalculateResult _setTerms:]
000000019dd3d8b8 (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
000000019dd3e76c (__TEXT,__text) non-external -[CalculateResult availableConversions]
000000019dd3e834 (__TEXT,__text) non-external -[CalculateResult bestConversion]
000000019dd40848 (__TEXT,__text) non-external -[CalculateResult compare:]
000000019dd3f5b4 (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
000000019dd3d870 (__TEXT,__text) non-external -[CalculateResult conversions]
000000019dd3d990 (__TEXT,__text) non-external -[CalculateResult convertedTo:]
000000019dd3dd00 (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
000000019dd40a58 (__TEXT,__text) non-external -[CalculateResult dealloc]
000000019dd3d8f0 (__TEXT,__text) non-external -[CalculateResult description]
000000019dd40500 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
000000019dd3d8e8 (__TEXT,__text) non-external -[CalculateResult expression]
000000019dd3d8a8 (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
000000019dd407d4 (__TEXT,__text) non-external -[CalculateResult formattedExpression]
000000019dd40668 (__TEXT,__text) non-external -[CalculateResult formattedResult]
000000019dd3d868 (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
000000019dd40ae0 (__TEXT,__text) non-external -[CalculateResult init]
000000019dd3d878 (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
000000019dd3f44c (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
000000019dd407d8 (__TEXT,__text) non-external -[CalculateResult isEqual:]
000000019dd3d898 (__TEXT,__text) non-external -[CalculateResult isTrivial]
000000019dd3d8cc (__TEXT,__text) non-external -[CalculateResult locales]
000000019dd3d7f8 (__TEXT,__text) non-external -[CalculateResult localizeUnit]
000000019dd3df08 (__TEXT,__text) non-external -[CalculateResult localizedConversions]
000000019dd3f9a4 (__TEXT,__text) non-external -[CalculateResult newUnit:]
000000019dd3d8e0 (__TEXT,__text) non-external -[CalculateResult numberFormatter]
000000019dd3d82c (__TEXT,__text) non-external -[CalculateResult parent]
000000019dd3d818 (__TEXT,__text) non-external -[CalculateResult parseTree]
000000019dd3d808 (__TEXT,__text) non-external -[CalculateResult resultTree]
000000019dd3d8b0 (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
