00007ff8400f6df0 (__DATA,__data) external _NDR_record
00007ff8010dded9 (__TEXT,__text) non-external __Xexception_raise
00007ff8010ddf81 (__TEXT,__text) non-external __Xexception_raise_state
00007ff8010de08b (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff8010ca830 (__TEXT,__text) external _____sigwait_nocancel
00007ff8010f4f68 (__TEXT,__const) external ____kernelVersionNumber
00007ff8010f4f30 (__TEXT,__const) external ____kernelVersionString
00007ff8010ca848 (__TEXT,__text) external ___abort_with_payload
00007ff8010ca860 (__TEXT,__text) external ___accept
00007ff8010ca878 (__TEXT,__text) external ___accept_nocancel
00007ff8010ca890 (__TEXT,__text) external ___access_extended
00007ff8010ca8a8 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8010ca8c0 (__TEXT,__text) external ___bind
00007ff8010ca8d8 (__TEXT,__text) external ___bsdthread_create
00007ff8010ca8f0 (__TEXT,__text) external ___bsdthread_ctl
00007ff8010ca908 (__TEXT,__text) external ___bsdthread_register
00007ff8010ca920 (__TEXT,__text) external ___bsdthread_terminate
00007ff8010dd237 (__TEXT,__text) external ___carbon_delete
00007ff8010ca938 (__TEXT,__text) external ___channel_get_info
00007ff8010ca950 (__TEXT,__text) external ___channel_get_opt
00007ff8010ca968 (__TEXT,__text) external ___channel_open
00007ff8010ca980 (__TEXT,__text) external ___channel_set_opt
00007ff8010ca998 (__TEXT,__text) external ___channel_sync
00007ff8010ca9b0 (__TEXT,__text) external ___chmod
00007ff8010ca9c8 (__TEXT,__text) external ___chmod_extended
00007ff8010ca9e0 (__TEXT,__text) external ___close_nocancel
00007ff8010ca9f8 (__TEXT,__text) external ___coalition
00007ff8010caa10 (__TEXT,__text) external ___coalition_info
00007ff8010caa28 (__TEXT,__text) external ___coalition_ledger
00007ff8010d003b (__TEXT,__text) external ___commpage_gettimeofday
00007ff8010d0042 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8010caa40 (__TEXT,__text) external ___connect
00007ff8010caa58 (__TEXT,__text) external ___connect_nocancel
00007ff8010caa70 (__TEXT,__text) external ___copyfile
00007ff8010caa88 (__TEXT,__text) external ___crossarch_trap
00007ff8010caaa0 (__TEXT,__text) external ___csrctl
00007ff8010d577c (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8010caab8 (__TEXT,__text) external ___debug_syscall_reject
00007ff8010caad0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff8010caae8 (__TEXT,__text) external ___delete
00007ff8010cab00 (__TEXT,__text) external ___disable_threadsignal
00007ff8010d06fd (__TEXT,__text) external ___error
00007ff8010cab18 (__TEXT,__text) external ___execve
00007ff8010cab30 (__TEXT,__text) external ___exit
00007ff8010cab48 (__TEXT,__text) external ___fchmod
00007ff8010cab60 (__TEXT,__text) external ___fchmod_extended
00007ff8010cab78 (__TEXT,__text) external ___fcntl
00007ff8010cab90 (__TEXT,__text) external ___fcntl_nocancel
00007ff8010caba8 (__TEXT,__text) external ___fork
00007ff8010cabe0 (__TEXT,__text) external ___fs_snapshot
00007ff8010cabf8 (__TEXT,__text) external ___fstat64_extended
00007ff8010cac10 (__TEXT,__text) external ___fstat_extended
00007ff8010cac28 (__TEXT,__text) external ___fsync_nocancel
00007ff8010dad78 (__TEXT,__text) external ___get_remove_counter
00007ff8010cac40 (__TEXT,__text) external ___getattrlist
00007ff8010cac58 (__TEXT,__text) external ___getdirentries64
00007ff8010cac70 (__TEXT,__text) external ___gethostuuid
00007ff8010cac88 (__TEXT,__text) external ___getlogin
00007ff8010caca0 (__TEXT,__text) external ___getpeername
00007ff8010cacb8 (__TEXT,__text) external ___getpid
00007ff8010cacec (__TEXT,__text) external ___getrlimit
00007ff8010cad04 (__TEXT,__text) external ___getsgroups
00007ff8010cad1c (__TEXT,__text) external ___getsockname
00007ff8010cad34 (__TEXT,__text) external ___gettid
00007ff8010cad61 (__TEXT,__text) external ___gettimeofday
00007ff8010cad4c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff8010cad8c (__TEXT,__text) external ___getwgroups
00007ff8010cada4 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8010cadbc (__TEXT,__text) external ___guarded_open_np
00007ff8010cadd4 (__TEXT,__text) external ___identitysvc
00007ff8010dad86 (__TEXT,__text) external ___inc_remove_counter
00007ff8010cadec (__TEXT,__text) external ___initgroups
00007ff8010cae04 (__TEXT,__text) external ___ioctl
00007ff8010cae1c (__TEXT,__text) external ___iopolicysys
00007ff8010cae34 (__TEXT,__text) external ___kdebug_trace
00007ff8010cae4c (__TEXT,__text) external ___kdebug_trace64
00007ff8010cae64 (__TEXT,__text) external ___kdebug_trace_string
00007ff8010cae7c (__TEXT,__text) external ___kdebug_typefilter
00007ff8010f4fd8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff8010f4fa0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8010cae94 (__TEXT,__text) external ___kill
00007ff8010caeac (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff8010caec4 (__TEXT,__text) external ___lchown
00007ff8010cd4be (__TEXT,__text) external ___libkernel_init
00007ff8010cd4f1 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8010cd4f0 (__TEXT,__text) external ___libkernel_init_late
00007ff8010cd34b (__TEXT,__text) external ___libkernel_platform_init
00007ff8010cd372 (__TEXT,__text) external ___libkernel_voucher_init
00007ff8010caedc (__TEXT,__text) external ___listen
00007ff8010caef4 (__TEXT,__text) external ___log_data
00007ff8010caf0c (__TEXT,__text) external ___lseek
