00000001803d7514 (__TEXT,__text) external _NSAddImage
00000001803d74a4 (__TEXT,__text) external _NSAddLibrary
00000001803d74dc (__TEXT,__text) external _NSAddLibraryWithSearching
00000001803d6e88 (__TEXT,__text) external _NSAddressOfSymbol
00000001803d7038 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00000001803d6da0 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00000001803d706c (__TEXT,__text) external _NSDestroyObjectFileImage
00000001803d6e10 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00000001803d7464 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00000001803d719c (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00000001803d7264 (__TEXT,__text) external _NSIsSymbolNameDefined
00000001803d72c8 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00000001803d7294 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00000001803d7200 (__TEXT,__text) external _NSLibraryNameForModule
00000001803d7420 (__TEXT,__text) external _NSLinkEditError
00000001803d6dd8 (__TEXT,__text) external _NSLinkModule
00000001803d72fc (__TEXT,__text) external _NSLookupAndBindSymbol
00000001803d732c (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00000001803d7368 (__TEXT,__text) external _NSLookupSymbolInImage
00000001803d6e4c (__TEXT,__text) external _NSLookupSymbolInModule
00000001803d73e8 (__TEXT,__text) external _NSModuleForSymbol
00000001803d71d0 (__TEXT,__text) external _NSNameOfModule
00000001803d73a8 (__TEXT,__text) external _NSNameOfSymbol
00000001803d709c (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00000001803d70dc (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00000001803d711c (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00000001803d715c (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00000001803d7230 (__TEXT,__text) external _NSUnLinkModule
00000001803d5cf8 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00000001803d5fc4 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001db969838 (__DATA_DIRTY,__common) external _NXArgc
00000001db969840 (__DATA_DIRTY,__common) external _NXArgv
00000001803e6c28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
