0000000180467b5c (__TEXT,__text) external _OSAtomicAdd32
0000000180467c18 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180467d14 (__TEXT,__text) external _OSAtomicAdd64
0000000180467e9c (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180467e24 (__TEXT,__text) external _OSAtomicAnd32
00000001804688c0 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180468824 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180467d38 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180467b48 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180467bd8 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180466be4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180467bc4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180467ddc (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180467ecc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180467dfc (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180467d44 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180467e10 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180467bec (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180467124 (__TEXT,__text) external _OSAtomicDecrement32
0000000180467c8c (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180467e8c (__TEXT,__text) external _OSAtomicDecrement64
0000000180467e34 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180465330 (__TEXT,__text) external _OSAtomicDequeue
00000001804655f0 (__TEXT,__text) external _OSAtomicEnqueue
00000001804697a0 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180469788 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180467114 (__TEXT,__text) external _OSAtomicIncrement32
0000000180467c7c (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001804679dc (__TEXT,__text) external _OSAtomicIncrement64
0000000180467dcc (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180467df0 (__TEXT,__text) external _OSAtomicOr32
0000000180467c00 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180467ec4 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180469b40 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180467e44 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180468878 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180468830 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180467d58 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180469b48 (__TEXT,__text) external _OSAtomicXor32
0000000180467c0c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180469b54 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180469b5c (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180467bbc (__TEXT,__text) external _OSMemoryBarrier
00000001804679b8 (__TEXT,__text) external _OSSpinLockLock
0000000180467d20 (__TEXT,__text) external _OSSpinLockTry
00000001804679d4 (__TEXT,__text) external _OSSpinLockUnlock
000000018046a6a0 (__TEXT,__const) non-external _UUID_NULL
000000018046a6b0 (__TEXT,__const) non-external __0x
000000018046a7ad (__TEXT,__cstring) non-external __H
0000000180469b8c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180469b64 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180467c9c (__TEXT,__text) external __OSSpinLockLockSlow
00000001804698f4 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180467320 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001d65fd868 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180467134 (__TEXT,__text) external ___libplatform_init
00000001804688f8 (__TEXT,__text) external ___os_log_simple_offset
0000000180469b24 (__TEXT,__text) external ___os_once_reset
0000000180467184 (__TEXT,__text) non-external (was a private external) ___pfz_setup
000000018046a690 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
000000018046a658 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180466cbc (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180467efc (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180469d8c (__TEXT,__text) external __ctx_done
000000018046a06c (__TEXT,__text) non-external (was a private external) __ctx_start
000000018046920c (__TEXT,__text) non-external __enlarge
000000018046a14c (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180469160 (__TEXT,__text) non-external __flush
00000001804690d8 (__TEXT,__text) non-external __flush_reset
000000018046a7be (__TEXT,__cstring) non-external __h
0000000180465ab4 (__TEXT,__text) external __longjmp
0000000180464fe0 (__TEXT,__text) non-external __os_alloc
000000018046a358 (__TEXT,__text) non-external __os_alloc.cold.1
00000001d65fd860 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180464f94 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804674fc (__TEXT,__text) non-external __os_alloc_slow
000000018046a174 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180467a48 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180467a84 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180467dac (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180467a78 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180469ac0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180469ae4 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180469b04 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
000000018046a2c0 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180467b90 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804699d8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180467bb0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
000000018046a6b8 (__TEXT,__const) non-external __os_lock_type_base
00000001da438e98 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001da438eb8 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001da438ef8 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001da438e98 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001da438e98 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001da438ed8 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180467b68 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180469a80 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180469aa0 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180468b8c (__TEXT,__text) external __os_log_simple
0000000180468d84 (__TEXT,__text) external __os_log_simple_parse
0000000180468d54 (__TEXT,__text) external __os_log_simple_parse_identifiers
0000000180468ce8 (__TEXT,__text) external __os_log_simple_parse_message
0000000180468cac (__TEXT,__text) external __os_log_simple_parse_subsystem
0000000180468d18 (__TEXT,__text) external __os_log_simple_parse_timestamp
0000000180468c74 (__TEXT,__text) external __os_log_simple_parse_type
0000000180468ebc (__TEXT,__text) external __os_log_simple_reinit_4launchd
000000018046a124 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
0000000180468a14 (__TEXT,__text) external __os_log_simple_send
0000000180468c4c (__TEXT,__text) external __os_log_simple_shim
000000018046597c (__TEXT,__text) external __os_nospin_lock_lock
0000000180466f68 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001804659b8 (__TEXT,__text) external __os_nospin_lock_trylock
000000018046599c (__TEXT,__text) external __os_nospin_lock_unlock
0000000180467064 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180464e20 (__TEXT,__text) external __os_once
0000000180464e80 (__TEXT,__text) non-external __os_once_callout
0000000180466ebc (__TEXT,__text) non-external __os_once_gate_broadcast
000000018046a298 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
000000018046a248 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
000000018046a270 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180466d2c (__TEXT,__text) non-external __os_once_gate_wait
0000000180466c3c (__TEXT,__text) external __os_semaphore_create
000000018046a380 (__TEXT,__text) non-external __os_semaphore_create.cold.1
000000018046a3a8 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180466c8c (__TEXT,__text) external __os_semaphore_dispose
000000018046a3d0 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180467c24 (__TEXT,__text) external __os_semaphore_signal
000000018046a3f8 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180467c44 (__TEXT,__text) external __os_semaphore_wait
000000018046a420 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
000000018046a1ec (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
000000018046563c (__TEXT,__text) non-external __os_unfair_lock_lock_slow
000000018046a19c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804657ac (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
000000018046a1c4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000180467320 (__TEXT,__text) external __platform_bzero
0000000180469bb4 (__TEXT,__text) external __platform_memccpy
0000000180465100 (__TEXT,__text) external __platform_memchr
0000000180465210 (__TEXT,__text) external __platform_memcmp
0000000180469c40 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180467650 (__TEXT,__text) external __platform_memmove
0000000180467380 (__TEXT,__text) external __platform_memset
0000000180465440 (__TEXT,__text) external __platform_memset_pattern16
0000000180465400 (__TEXT,__text) external __platform_memset_pattern4
0000000180465420 (__TEXT,__text) external __platform_memset_pattern8
0000000180467940 (__TEXT,__text) external __platform_strchr
0000000180464a90 (__TEXT,__text) external __platform_strcmp
0000000180465098 (__TEXT,__text) external __platform_strcpy
00000001da438e10 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180465ba0 (__TEXT,__text) external __platform_strlcat
0000000180465388 (__TEXT,__text) external __platform_strlcpy
0000000180464dc0 (__TEXT,__text) external __platform_strlen
