00000001ca2bf684 (__TEXT,__text) non-external +[NFPromise new]
00000001ca2c0f30 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001ca2c0cf0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001ca2c0cd8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001ca2c0cc0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001ca2c0bb8 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001ca2c0c60 (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001ca2c0bf8 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001ca2c20d8 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001ca2bd994 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001ca2beed0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001ca2bef60 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001ca2beff4 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001ca2bf0a4 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001ca2c11c4 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001ca2c1134 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001ca2c44b8 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001ca2bd610 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001ca2bd824 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001ca2bd400 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001ca2bcec4 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001ca2bd3f0 (__TEXT,__text) non-external -[NFEventManager events]
00000001ca2bc828 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001ca2c4708 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
