00007ffd1f37b048 (__TEXT,__text) non-external _Done_iODBC
00007ffd1f398eb0 (__TEXT,__const) non-external _FunctionNumbers
00007ffd1f397e74 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffd1f37af2a (__TEXT,__text) non-external _Init_iODBC
00007ffd44bba08c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffd1f3795ae (__TEXT,__text) external _SQLAllocConnect
00007ffd1f379494 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffd1f37aeb1 (__TEXT,__text) external _SQLAllocEnv
00007ffd1f37acf9 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffd1f38563c (__TEXT,__text) external _SQLAllocHandle
00007ffd1f385737 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffd1f3853a0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffd1f37e17a (__TEXT,__text) external _SQLAllocStmt
00007ffd1f37db84 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffd1f383299 (__TEXT,__text) external _SQLBindCol
00007ffd1f38b62c (__TEXT,__text) external _SQLBindParam
00007ffd1f3825d2 (__TEXT,__text) external _SQLBindParameter
00007ffd1f376109 (__TEXT,__text) external _SQLBrowseConnect
00007ffd1f376278 (__TEXT,__text) external _SQLBrowseConnectA
00007ffd1f3763e7 (__TEXT,__text) external _SQLBrowseConnectW
00007ffd1f375a8d (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffd1f38b0eb (__TEXT,__text) external _SQLBulkOperations
00007ffd1f37f086 (__TEXT,__text) external _SQLCancel
00007ffd1f38b658 (__TEXT,__text) external _SQLCloseCursor
00007ffd1f38ab30 (__TEXT,__text) external _SQLColAttribute
00007ffd1f38acda (__TEXT,__text) external _SQLColAttributeA
00007ffd1f38ae84 (__TEXT,__text) external _SQLColAttributeW
00007ffd1f38a3f0 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffd1f384e9f (__TEXT,__text) external _SQLColAttributes
00007ffd1f385049 (__TEXT,__text) external _SQLColAttributesA
00007ffd1f3851f3 (__TEXT,__text) external _SQLColAttributesW
00007ffd1f3849eb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffd1f36e849 (__TEXT,__text) external _SQLColumnPrivileges
00007ffd1f36ea1a (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffd1f36ebeb (__TEXT,__text) external _SQLColumnPrivilegesW
