00007ffb025a7cb2 (__TEXT,__text) non-external _DiToMD5
00007ffb025a7f32 (__TEXT,__text) non-external _DiToSHA1
00007ffb02590db9 (__TEXT,__text) external _DriverExecutableMain
00007ffb40303d68 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb02590720 (__TEXT,__text) external _IOCallOnce
00007ffb40304028 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb40303f30 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb40304120 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb403042d0 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb0258d6d1 (__TEXT,__text) external _IODelay
00007ffb40304480 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb40304630 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb025913a0 (__TEXT,__text) external _IODriverKitTest
00007ffb025b8c4b (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb025b8c76 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb025b8c99 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb025b8cc4 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb025b8ce7 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb025b8d0a (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb025b8d2d (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb025b8d50 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb403047e0 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb40304990 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb0258d67d (__TEXT,__text) external _IOFree
00007ffb0258d6b7 (__TEXT,__text) external _IOFreeData
00007ffb02591385 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb40305260 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb40304b70 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb0258d6e4 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb02590408 (__TEXT,__text) external _IOLockAlloc
00007ffb02590461 (__TEXT,__text) external _IOLockAssert
00007ffb025b86c2 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb0259042d (__TEXT,__text) external _IOLockFree
00007ffb02590443 (__TEXT,__text) external _IOLockLock
