0000000182765150 (__DATA,__data) non-external _C
0000000182771a80 (__DATA,__bss) non-external _EMSG
0000000182771a81 (__DATA,__bss) non-external _EMSG
0000000182766df0 (__DATA,__bss) non-external _NXArgc_pointer
0000000182766de8 (__DATA,__bss) non-external _NXArgv_pointer
00000001805fb65c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180637b78 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805fb670 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805fb684 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180612550 (__TEXT,__text) non-external (was a private external) __BIG5_init
00000001806125a0 (__TEXT,__text) non-external __BIG5_mbrtowc
00000001806126c4 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180612670 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001807472a0 (__DATA_CONST,__const) non-external __C_messages_locale
00000001807472c0 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180747368 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001807475b8 (__DATA_CONST,__const) non-external __C_time_locale
0000000182765908 (__DATA,__data) external __CurrentRuneLocale
0000000182765fe0 (__DATA,__constrw) external __DefaultRuneLocale
000000018277aa40 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
000000018061467c (__TEXT,__text) non-external __EUC_free_extra
000000018061412c (__TEXT,__text) non-external (was a private external) __EUC_init
00000001806142ec (__TEXT,__text) non-external __EUC_mbrtowc
0000000180614660 (__TEXT,__text) non-external __EUC_mbsinit
0000000180614488 (__TEXT,__text) non-external __EUC_wcrtomb
00000001806383d0 (__TEXT,__text) external __Exit
0000000180614768 (__TEXT,__text) non-external (was a private external) __GB18030_init
00000001806147b8 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180614a38 (__TEXT,__text) non-external __GB18030_mbsinit
000000018061492c (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180614a54 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180614aa4 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180614c1c (__TEXT,__text) non-external __GB2312_mbsinit
0000000180614bc8 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180614c38 (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180614c88 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180614dac (__TEXT,__text) non-external __GBK_mbsinit
0000000180614d58 (__TEXT,__text) non-external __GBK_wcrtomb
000000018061662c (__TEXT,__text) non-external (was a private external) __MSKanji_init
000000018061667c (__TEXT,__text) non-external __MSKanji_mbrtowc
00000001806167c4 (__TEXT,__text) non-external __MSKanji_mbsinit
000000018061675c (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001805faca4 (__TEXT,__text) external __NSGetArgc
00000001805fac98 (__TEXT,__text) external __NSGetArgv
00000001805facb0 (__TEXT,__text) external __NSGetEnviron
00000001805facc8 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001805facbc (__TEXT,__text) external __NSGetProgname
0000000182771b48 (__DATA,__common) external __PathLocale
0000000180640d1c (__TEXT,__text) external __Read_RuneMagi
0000000180637ba0 (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180637c18 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180637e10 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180637e2c (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180637d68 (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180637fd0 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180618530 (__TEXT,__text) non-external (was a private external) __UTF8_init
00000001806185a8 (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180618860 (__TEXT,__text) non-external __UTF8_mbsinit
000000018061887c (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180618798 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180618a20 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180607ba8 (__TEXT,__text) external ___Balloc_D2A
0000000180607d2c (__TEXT,__text) external ___Bfree_D2A
00000001805f8574 (__TEXT,__text) external ____mb_cur_max
00000001805f85a0 (__TEXT,__text) external ____mb_cur_max_l
0000000180617398 (__TEXT,__text) external ____runetype
00000001806172f0 (__TEXT,__text) external ____runetype_l
0000000180618444 (__TEXT,__text) external ____tolower
00000001806183a0 (__TEXT,__text) external ____tolower_l
000000018061850c (__TEXT,__text) external ____toupper
0000000180618468 (__TEXT,__text) external ____toupper_l
000000018065449c (__TEXT,__text) non-external (was a private external) ___abort
000000018060288c (__TEXT,__text) external ___add_ovflpage
0000000180602608 (__TEXT,__text) external ___addel
0000000180608930 (__TEXT,__text) external ___any_on_D2A
000000018065384c (__TEXT,__text) external ___assert_rtn
0000000182771a70 (__DATA,__bss) non-external ___atexit
00000001806383ec (__TEXT,__text) non-external (was a private external) ___atexit_init
0000000182771a78 (__DATA,__bss) non-external ___atexit_new_registration
00000001806084b8 (__TEXT,__text) external ___b2d_D2A
0000000180600da0 (__TEXT,__text) external ___big_delete
0000000180600aec (__TEXT,__text) external ___big_insert
0000000180601448 (__TEXT,__text) external ___big_keydata
00000001806010d8 (__TEXT,__text) external ___big_return
00000001806015c8 (__TEXT,__text) external ___big_split
0000000180655da0 (__TEXT,__const) external ___bigtens_D2A
00000001805fb888 (__TEXT,__text) external ___bt_close
