                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffe069174ac (__TEXT,__text) external __crypt_blowfish_rn
00007ffe069197ea (__TEXT,__text) external __crypt_gensalt_blowfish_rn
00007ffe06917482 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
00007ffe0691c095 (__TEXT,__text) external _apr_base64_decode
00007ffe0691c0b0 (__TEXT,__text) external _apr_base64_decode_binary
00007ffe0691c066 (__TEXT,__text) external _apr_base64_decode_len
00007ffe0691c1f1 (__TEXT,__text) external _apr_base64_encode
00007ffe0691c1fb (__TEXT,__text) external _apr_base64_encode_binary
00007ffe0691c1ca (__TEXT,__text) external _apr_base64_encode_len
00007ffe0691640d (__TEXT,__text) external _apr_bcrypt_encode
00007ffe069127e8 (__TEXT,__text) external _apr_brigade_cleanup
00007ffe0691286e (__TEXT,__text) external _apr_brigade_create
00007ffe06912835 (__TEXT,__text) external _apr_brigade_destroy
00007ffe06912af7 (__TEXT,__text) external _apr_brigade_flatten
00007ffe069135e2 (__TEXT,__text) external _apr_brigade_insert_file
00007ffe06912a65 (__TEXT,__text) external _apr_brigade_length
00007ffe06912996 (__TEXT,__text) external _apr_brigade_partition
00007ffe06912ba2 (__TEXT,__text) external _apr_brigade_pflatten
00007ffe0691344d (__TEXT,__text) external _apr_brigade_printf
00007ffe0691335a (__TEXT,__text) external _apr_brigade_putc
00007ffe0691337c (__TEXT,__text) external _apr_brigade_puts
