00007ff80983c0d0 (__TEXT,__const) non-external _A1_Table
00007ff80907a1a0 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff80907a0a0 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff808d66bb0 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff808d6fb30 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff840c8d3c0 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff808ebfb50 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff840c8d440 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff80907ba40 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff80907b9e0 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff80907baa0 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff8090652c0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff8090652a0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff809065280 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff809065260 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff809065310 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff8090652e0 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff808d55600 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff80983c170 (__TEXT,__const) non-external _Ainv
00007ff80906cba0 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff80983f114 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff80983f10c (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840c90730 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff808d580a0 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff808d58170 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff80983c120 (__TEXT,__const) non-external _B
00007ff808dd0580 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff808e74f70 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff808e74170 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff808e74c30 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff843602970 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff808e73e30 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff843602968 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff808d55630 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff843203288 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff8432031a8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff8432031a0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
