00000001835d2d64 (__TEXT,__text) external _CreateLSTMBreakEngine
00000001835d2d28 (__TEXT,__text) external _CreateLSTMData
00000001835d2bd4 (__TEXT,__text) external _CreateLSTMDataForScript
00000001835d2f18 (__TEXT,__text) external _DeleteLSTMData
00000001835d2f64 (__TEXT,__text) external _LSTMDataName
00000001835b1100 (__TEXT,__text) external _T_CString_int64ToString
00000001835b1028 (__TEXT,__text) external _T_CString_integerToString
00000001835b11dc (__TEXT,__text) external _T_CString_stringToInteger
00000001835b0fd0 (__TEXT,__text) external _T_CString_toLowerCase
00000001835b0ffc (__TEXT,__text) external _T_CString_toUpperCase
000000018361e704 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
000000018361e470 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
000000018361e348 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
000000018361e5b0 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
000000018361ec6c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
000000018361ec14 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
000000018361e46c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
000000018361ec38 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
000000018363bc0c (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000018366daf0 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00000001837e82b4 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00000001837e896c (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
00000001835a7e28 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00000001835a7d44 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00000001835a7eec (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00000001835a7ee4 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00000001835a7d40 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00000001835a7d3c (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00000001835a7d38 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
0000000183699a60 (__TEXT,__text) external __ZN3icu10CECalendar20setTemporalMonthCodeEPKcR10UErrorCode
0000000183699868 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
0000000183699920 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
0000000183699714 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
0000000183699790 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00000001836997cc (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00000001836997c8 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00000001836997c4 (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00000001836997d0 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00000001835b0834 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00000001835b0ac4 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00000001835b03dc (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00000001835b0934 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00000001835b0a14 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00000001835b09cc (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00000001835b0b58 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00000001835b0688 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00000001835b0628 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00000001835b036c (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00000001835b0604 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00000001835b01bc (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00000001835b013c (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00000001835b01c0 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00000001836c1c00 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00000001836c1a88 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00000001836c1838 (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00000001836c1a68 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00000001836c17e4 (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00000001836c1a58 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00000001836c12f8 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00000001836c132c (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00000001836c19c0 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00000001836c1908 (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00000001836c1190 (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
00000001836c116c (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
