00007ff80cb61ee0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80cb616e0 (__TEXT,__const) non-external _SF_BYTESEQ_CHARS
00007ff80cb60ee0 (__TEXT,__const) non-external _SF_DQUOTE_CHARS
00007ff80cb61ae0 (__TEXT,__const) non-external _SF_KEY_CHARS
00007ff80cb612e0 (__TEXT,__const) non-external _SF_TOKEN_CHARS
00007ff80cb629e0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80cb624e0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80cb61fe0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80cb628e0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80cb623e0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80cb5c470 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80cb5c490 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80cb4fa3d (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80cb549b0 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80cb58388 (__TEXT,__text) non-external _bubble_down
00007ff80cb58326 (__TEXT,__text) non-external _bubble_up
00007ff80cb4f964 (__TEXT,__text) non-external _buf_chain_new
00007ff80cb584ff (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007ff80cb4f7e4 (__TEXT,__text) non-external _default_calloc
00007ff80cb4fbba (__TEXT,__text) non-external _default_free
00007ff80cb4f890 (__TEXT,__text) non-external _default_malloc
00007ff80cb4fa2e (__TEXT,__text) non-external _default_realloc
00007ff80cb544d0 (__TEXT,__text) non-external _emit_indname_block
00007ff80cb54600 (__TEXT,__text) non-external _emit_string
00007ff80cb57485 (__TEXT,__text) non-external _emit_table_size
