00007ffa17b01a80 (__TEXT,__text) external _ARMCompilationCallback
00007ffa17b01a90 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa1822f860 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa1822f940 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa1822f770 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa1822fb00 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa1822fe50 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa18230290 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa18230080 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa18230070 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa4382bd88 (__DATA,__common) external _EnableARMEHABI
00007ffa4382bac8 (__DATA,__common) external _EnableARMLongCalls
00007ffa4382b850 (__DATA,__common) external _ForceStackAlign
00007ffa1802ac60 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa1802ac10 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa17e70b80 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa18060100 (__TEXT,__text) external _LLVMAddAlias
00007ffa1780e420 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa1802e420 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa1780e330 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa180607b0 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1782f4e0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa17e71170 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa17e70bb0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa18061c90 (__TEXT,__text) external _LLVMAddCase
00007ffa18061cb0 (__TEXT,__text) external _LLVMAddClause
00007ffa1780e360 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa17e71050 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa17e710e0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa1780e390 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa17e70be0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa17e71080 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa18061ca0 (__TEXT,__text) external _LLVMAddDestination
00007ffa17e71110 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa18060170 (__TEXT,__text) external _LLVMAddFunction
00007ffa18060330 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa1780e3c0 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa1780e3f0 (__TEXT,__text) external _LLVMAddFunctionInliningPass
