00007ffd43595ae0 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd43595ae8 (__DATA,__bss) non-external __ZL13reportGlobals
00007ffd43595ad8 (__DATA,__bss) non-external __ZL15libmallocShadow
00007ffd43595ad0 (__DATA,__bss) non-external __ZL3cfg
00007ffd0cd081a2 (__TEXT,__text) non-external __ZL3diev
00007ffd0cd095e0 (__TEXT,__const) non-external __ZL5zeros
00007ffd43595af0 (__DATA,__bss) non-external __ZL6report
00007ffd43595fa0 (__DATA,__bss) non-external __ZL6shadow
00007ffd43595ac8 (__DATA,__bss) non-external __ZL7_shadow
00007ffd43595a98 (__DATA,__bss) non-external __ZL9collector.0
00007ffd43595aa0 (__DATA,__bss) non-external __ZL9collector.1
00007ffd43595aa8 (__DATA,__bss) non-external __ZL9collector.2
00007ffd0cd086f0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow11bzeroShadowEPKvm
00007ffd0cd086de (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12memsetShadowEPvim
00007ffd0cd08be0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
00007ffd0cd0898e (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
00007ffd0cd08c28 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
00007ffd0cd09438 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
00007ffd0cd0945b (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
00007ffd0cd0947e (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
00007ffd0cd08c76 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
00007ffd0cd08c86 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
00007ffd0cd08c96 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
00007ffd0cd094a1 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
00007ffd0cd08cd4 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
00007ffd0cd094c2 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
00007ffd0cd08700 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
00007ffd0cd09368 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
00007ffd0cd087e2 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
00007ffd0cd06bee (__TEXT,__text) non-external (was a private external) __ZN12MemoryReader4readEmm
00007ffd0cd09142 (__TEXT,__text) non-external __ZN12MemoryReader4readEmm.cold.1
00007ffd0cd06552 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReaderD2Ev
00007ffd0cd07662 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
00007ffd0cd091a5 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
00007ffd0cd091c6 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
00007ffd0cd05eef (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffd0cd08fa7 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffd0cd08fc8 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
00007ffd0cd05e6c (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
00007ffd0cd08f60 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
00007ffd0cd08f81 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
00007ffd0cd08624 (__TEXT,__text) non-external (was a private external) __ZN4asan10initShadowEv
00007ffd0cd0931e (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.1
00007ffd0cd0933f (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.2
00007ffd0cd07c32 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeEP6ShadowPNS_15GlobalsRegistryE
00007ffd0cd07bf6 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeERKN6config4ASanE
00007ffd0cd09276 (__TEXT,__text) non-external __ZN4asan11initRuntimeERKN6config4ASanE.cold.1
00007ffd0cd07d3a (__TEXT,__text) non-external (was a private external) __ZN4asan11reportErrorENS_9RegistersENS_12MemoryAccessE
