000000020c78db4c (__TEXT,__text) non-external _Done_iODBC
000000020c7ac9f0 (__TEXT,__const) non-external _FunctionNumbers
000000020c7ab858 (__TEXT,__text) non-external _GetPrivateProfileString
000000020c78d9c8 (__TEXT,__text) non-external _Init_iODBC
000000021b0cbe94 (__DATA,__common) non-external _ODBCSharedTraceFlag
000000020c78c0c8 (__TEXT,__text) external _SQLAllocConnect
000000020c78bfd8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000020c78d938 (__TEXT,__text) external _SQLAllocEnv
000000020c78d794 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000020c7978e4 (__TEXT,__text) external _SQLAllocHandle
000000020c7979fc (__TEXT,__text) non-external _SQLAllocHandleStd
000000020c797644 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000020c7905b8 (__TEXT,__text) external _SQLAllocStmt
000000020c790104 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000020c7955ac (__TEXT,__text) external _SQLBindCol
000000020c79d5c8 (__TEXT,__text) external _SQLBindParam
000000020c794a54 (__TEXT,__text) external _SQLBindParameter
000000020c788d90 (__TEXT,__text) external _SQLBrowseConnect
000000020c788ed8 (__TEXT,__text) external _SQLBrowseConnectA
000000020c789020 (__TEXT,__text) external _SQLBrowseConnectW
000000020c78886c (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020c79d0dc (__TEXT,__text) external _SQLBulkOperations
000000020c7914e8 (__TEXT,__text) external _SQLCancel
000000020c79d60c (__TEXT,__text) external _SQLCloseCursor
000000020c79cb20 (__TEXT,__text) external _SQLColAttribute
000000020c79ccc8 (__TEXT,__text) external _SQLColAttributeA
000000020c79ce70 (__TEXT,__text) external _SQLColAttributeW
000000020c79c458 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000020c79714c (__TEXT,__text) external _SQLColAttributes
000000020c7972f4 (__TEXT,__text) external _SQLColAttributesA
000000020c79749c (__TEXT,__text) external _SQLColAttributesW
000000020c796cb0 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000020c781ce8 (__TEXT,__text) external _SQLColumnPrivileges
000000020c781ecc (__TEXT,__text) external _SQLColumnPrivilegesA
000000020c7820b0 (__TEXT,__text) external _SQLColumnPrivilegesW
000000020c781a54 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000020c782528 (__TEXT,__text) external _SQLColumns
000000020c78270c (__TEXT,__text) external _SQLColumnsA
000000020c7828f0 (__TEXT,__text) external _SQLColumnsW
000000020c782294 (__TEXT,__text) non-external _SQLColumns_Internal
000000020c7861bc (__TEXT,__text) external _SQLConnect
000000020c786948 (__TEXT,__text) external _SQLConnectA
000000020c786aa8 (__TEXT,__text) external _SQLConnectW
000000020c78631c (__TEXT,__text) non-external _SQLConnect_Internal
000000020c7ac47c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000020c79c2dc (__TEXT,__text) external _SQLCopyDesc
000000020c792008 (__TEXT,__text) external _SQLDataSources
000000020c792150 (__TEXT,__text) external _SQLDataSourcesA
000000020c792298 (__TEXT,__text) external _SQLDataSourcesW
000000020c791bac (__TEXT,__text) non-external _SQLDataSources_Internal
000000021b0cbe18 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000021b0cbe38 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000021b0cbe40 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000020c7966d4 (__TEXT,__text) external _SQLDescribeCol
000000020c7968c8 (__TEXT,__text) external _SQLDescribeColA
000000020c796abc (__TEXT,__text) external _SQLDescribeColW
000000020c796420 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000020c78ae88 (__TEXT,__text) external _SQLDescribeParam
000000020c789168 (__TEXT,__text) external _SQLDisconnect
000000020c7883f8 (__TEXT,__text) external _SQLDriverConnect
000000020c788574 (__TEXT,__text) external _SQLDriverConnectA
000000020c7886f0 (__TEXT,__text) external _SQLDriverConnectW
000000020c786c08 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000020c7ac4a8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
