000000023644ba78 (__TEXT,__text) non-external +[CBOR cborFalse]
000000023644b9f0 (__TEXT,__text) non-external +[CBOR cborNil]
000000023644ba34 (__TEXT,__text) non-external +[CBOR cborTrue]
000000023644b3c4 (__TEXT,__text) non-external +[CBOR cborWithArray:]
000000023644b574 (__TEXT,__text) non-external +[CBOR cborWithData:]
000000023644b8d0 (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
000000023644b468 (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
000000023644b50c (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
000000023644b344 (__TEXT,__text) non-external +[CBOR cborWithDouble:]
000000023644babc (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
000000023644b618 (__TEXT,__text) non-external +[CBOR cborWithEncodedTag24Data:]
000000023644b2c4 (__TEXT,__text) non-external +[CBOR cborWithFloat:]
000000023644b7b0 (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
000000023644b244 (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
000000023644b0dc (__TEXT,__text) non-external +[CBOR cborWithInteger:]
000000023644b70c (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
000000023644b198 (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00000002364463cc (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
0000000236446944 (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00000002364468f4 (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
000000023644d34c (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
000000023644fee4 (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00000002364478bc (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00000002364478c8 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00000002364478d0 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:noCopy:]
0000000236447d18 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:]
0000000236447fd4 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType0And1FromBuffer:length:tag:]
000000023644836c (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:]
0000000236448a54 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
0000000236448ed0 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00000002364494cc (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
0000000236449784 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00000002364469a8 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00000002364469b0 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
000000023644e518 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
000000023644feec (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
000000023644bd04 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
000000023644a490 (__TEXT,__text) non-external -[CBOR array]
000000023644a24c (__TEXT,__text) non-external -[CBOR boolValue]
000000023644bca8 (__TEXT,__text) non-external -[CBOR cachedHash]
0000000236449bd4 (__TEXT,__text) non-external -[CBOR copyWithZone:]
000000023644a3d4 (__TEXT,__text) non-external -[CBOR data]
000000023644a578 (__TEXT,__text) non-external -[CBOR date]
000000023644ab64 (__TEXT,__text) non-external -[CBOR description]
000000023644a504 (__TEXT,__text) non-external -[CBOR dictionary]
000000023644a14c (__TEXT,__text) non-external -[CBOR doubleValue]
000000023644bb88 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
0000000236449f9c (__TEXT,__text) non-external -[CBOR hash]
0000000236449ef0 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
0000000236449c18 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
000000023644aa58 (__TEXT,__text) non-external -[CBOR isBoolean]
000000023644aa6c (__TEXT,__text) non-external -[CBOR isDate]
000000023644ab04 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
0000000236449fa0 (__TEXT,__text) non-external -[CBOR isEqual:]
000000023644aa44 (__TEXT,__text) non-external -[CBOR isFloatNumber]
000000023644aa28 (__TEXT,__text) non-external -[CBOR isWholeNumber]
000000023644a054 (__TEXT,__text) non-external -[CBOR longLongValue]
000000023644a1c0 (__TEXT,__text) non-external -[CBOR numeric]
000000023644bcb8 (__TEXT,__text) non-external -[CBOR orderedKeys]
000000023644bcb0 (__TEXT,__text) non-external -[CBOR setCachedHash:]
000000023644bcc0 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
000000023644bc08 (__TEXT,__text) non-external -[CBOR setTag:]
000000023644bc54 (__TEXT,__text) non-external -[CBOR setValue:]
000000023644bca0 (__TEXT,__text) non-external -[CBOR setValueSize:]
000000023644a2cc (__TEXT,__text) non-external -[CBOR string]
000000023644bc00 (__TEXT,__text) non-external -[CBOR tag]
000000023644bbf8 (__TEXT,__text) non-external -[CBOR type]
000000023644a0c8 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
000000023644bc98 (__TEXT,__text) non-external -[CBOR valueSize]
000000023644bc4c (__TEXT,__text) non-external -[CBOR value]
000000023644797c (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
000000023644d200 (__TEXT,__text) non-external -[COSE .cxx_destruct]
000000023644c600 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
000000023644cc70 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
000000023644d1d0 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
000000023644d1e0 (__TEXT,__text) non-external -[COSE contentType]
000000023644c534 (__TEXT,__text) non-external -[COSE content]
000000023644d1d8 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
000000023644bed8 (__TEXT,__text) non-external -[COSE initWithCBOR:]
000000023644bd54 (__TEXT,__text) non-external -[COSE initWithData:]
000000023644bda8 (__TEXT,__text) non-external -[COSE initWithData:type:]
000000023644c1fc (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
000000023644d1f0 (__TEXT,__text) non-external -[COSE initializationVector]
000000023644d1e8 (__TEXT,__text) non-external -[COSE keyIdentifier]
000000023644d1f8 (__TEXT,__text) non-external -[COSE partialInitializationVector]
000000023644c434 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
000000023644d1c8 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
000000023644d280 (__TEXT,__text) non-external -[COSE setType:]
000000023644d304 (__TEXT,__text) non-external -[COSE sourceObject]
000000023644c5c8 (__TEXT,__text) non-external -[COSE tag]
000000023644d1c0 (__TEXT,__text) non-external -[COSE type]
000000023644c4b4 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
000000023644fe4c (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
000000023644f180 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
000000023644fe24 (__TEXT,__text) non-external -[COSEKey algorithm]
000000023644fe3c (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
000000023644fcdc (__TEXT,__text) non-external -[COSEKey ecCurveD]
000000023644fbec (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
000000023644fc3c (__TEXT,__text) non-external -[COSEKey ecCurveX]
000000023644fc8c (__TEXT,__text) non-external -[COSEKey ecCurveY]
000000023644d304 (__TEXT,__text) non-external -[COSEKey getSource]
000000023644fe2c (__TEXT,__text) non-external -[COSEKey identifier]
000000023644f758 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
000000023644f900 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
000000023644fa90 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
000000023644e5d8 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
000000023644e584 (__TEXT,__text) non-external -[COSEKey initWithData:]
000000023644fdcc (__TEXT,__text) non-external -[COSEKey okpCurveD]
000000023644fd2c (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
000000023644fd7c (__TEXT,__text) non-external -[COSEKey okpCurveX]
000000023644fe34 (__TEXT,__text) non-external -[COSEKey operations]
000000023644fe44 (__TEXT,__text) non-external -[COSEKey symmetricKey]
000000023644fe1c (__TEXT,__text) non-external -[COSEKey type]
000000023644e50c (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
000000023644e460 (__TEXT,__text) non-external -[COSE_Mac0 description]
000000023644e280 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
000000023644df4c (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
000000023644e15c (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
000000023644e504 (__TEXT,__text) non-external -[COSE_Mac0 mac]
000000023644de68 (__TEXT,__text) non-external -[COSE_Sign1 description]
000000023644d484 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
000000023644d354 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
000000023644ddb4 (__TEXT,__text) non-external -[COSE_Sign1 signature]
000000023644d66c (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
000000023644d864 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
000000023644db20 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
000000023644dc88 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
000000023644da78 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
0000000236455024 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
0000000236452fc0 (__TEXT,__const) external _CBORLibraryVersionNumber
0000000236452f90 (__TEXT,__const) external _CBORLibraryVersionString
0000000236452fe8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
0000000236452fe9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
0000000294fcfe98 (__DATA,__data) external _COSEHeaderX509Bag
0000000294fcfea0 (__DATA,__data) external _COSEHeaderX509Chain
0000000294fcfeb0 (__DATA,__data) external _COSEHeaderX509Hash
0000000294fcfeb8 (__DATA,__data) external _COSEHeaderX509HashSender
0000000294fcfec0 (__DATA,__data) external _COSEHeaderX509Uri
0000000294fcfec8 (__DATA,__data) external _COSEHeaderX509UriSender
0000000294fcfea8 (__DATA,__data) external _COSEHeaderx509ChainSender
000000029864b9b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
000000029864ba08 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
000000029864baf8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
000000029864baa8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
000000029864ba58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
0000000294fcfb20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
0000000294fcfb24 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
0000000294fcfb14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
0000000294fcfb10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
0000000294fcfb18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
0000000294fcfb1c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
0000000294fcfb34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
0000000294fcfb28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
0000000294fcfb3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
0000000294fcfb38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
