00007ffb0b30a5c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb0b30a5a6 (__TEXT,__text) external _CGLSetCurrentContext
00007ffb0b300450 (__TEXT,__text) external _glAccum
00007ffb0b30679a (__TEXT,__text) external _glActiveShaderProgram
00007ffb0b308eac (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffb0b30329f (__TEXT,__text) external _glActiveTexture
00007ffb0b307baf (__TEXT,__text) external _glActiveTextureARB
00007ffb0b300469 (__TEXT,__text) external _glAlphaFunc
00007ffb0b300482 (__TEXT,__text) external _glAreTexturesResident
00007ffb0b3004a1 (__TEXT,__text) external _glArrayElement
00007ffb0b308702 (__TEXT,__text) external _glAttachObjectARB
00007ffb0b304693 (__TEXT,__text) external _glAttachShader
00007ffb0b3004ba (__TEXT,__text) external _glBegin
00007ffb0b30527c (__TEXT,__text) external _glBeginConditionalRender
00007ffb0b30a4b7 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffb0b303e60 (__TEXT,__text) external _glBeginQuery
00007ffb0b30842b (__TEXT,__text) external _glBeginQueryARB
00007ffb0b30656f (__TEXT,__text) external _glBeginQueryIndexed
00007ffb0b30518e (__TEXT,__text) external _glBeginTransformFeedback
00007ffb0b3096f2 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffb0b304b5c (__TEXT,__text) external _glBindAttribLocation
00007ffb0b308b3e (__TEXT,__text) external _glBindAttribLocationARB
00007ffb0b303f00 (__TEXT,__text) external _glBindBuffer
00007ffb0b3084cb (__TEXT,__text) external _glBindBufferARB
00007ffb0b3051e8 (__TEXT,__text) external _glBindBufferBase
00007ffb0b3096d1 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffb0b3096ad (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffb0b3051c1 (__TEXT,__text) external _glBindBufferRange
00007ffb0b309686 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffb0b3055c6 (__TEXT,__text) external _glBindFragDataLocation
00007ffb0b309c42 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffb0b305cc9 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffb0b304e0c (__TEXT,__text) external _glBindFramebuffer
00007ffb0b30941c (__TEXT,__text) external _glBindFramebufferEXT
00007ffb0b30725d (__TEXT,__text) external _glBindProgramARB
00007ffb0b3067da (__TEXT,__text) external _glBindProgramPipeline
00007ffb0b304d4e (__TEXT,__text) external _glBindRenderbuffer
00007ffb0b30935e (__TEXT,__text) external _glBindRenderbufferEXT
00007ffb0b305d66 (__TEXT,__text) external _glBindSampler
00007ffb0b3004d3 (__TEXT,__text) external _glBindTexture
00007ffb0b30648a (__TEXT,__text) external _glBindTransformFeedback
00007ffb0b305053 (__TEXT,__text) external _glBindVertexArray
00007ffb0b30a166 (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffb0b3004ee (__TEXT,__text) external _glBitmap
00007ffb0b302c6b (__TEXT,__text) external _glBlendColor
00007ffb0b3092ee (__TEXT,__text) external _glBlendColorEXT
00007ffb0b302c85 (__TEXT,__text) external _glBlendEquation
00007ffb0b309308 (__TEXT,__text) external _glBlendEquationEXT
00007ffb0b304c3c (__TEXT,__text) external _glBlendEquationSeparate
00007ffb0b30a439 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffb0b309324 (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffb0b30660a (__TEXT,__text) external _glBlendEquationSeparatei
00007ffb0b308c90 (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffb0b3065ec (__TEXT,__text) external _glBlendEquationi
00007ffb0b308c72 (__TEXT,__text) external _glBlendEquationiARB
00007ffb0b30050c (__TEXT,__text) external _glBlendFunc
00007ffb0b303bc6 (__TEXT,__text) external _glBlendFuncSeparate
00007ffb0b30927c (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffb0b30664c (__TEXT,__text) external _glBlendFuncSeparatei
00007ffb0b308cd2 (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffb0b30662b (__TEXT,__text) external _glBlendFunci
00007ffb0b308cb1 (__TEXT,__text) external _glBlendFunciARB
00007ffb0b304f6a (__TEXT,__text) external _glBlitFramebuffer
00007ffb0b30957a (__TEXT,__text) external _glBlitFramebufferEXT
00007ffb0b303f78 (__TEXT,__text) external _glBufferData
00007ffb0b308543 (__TEXT,__text) external _glBufferDataARB
00007ffb0b30a2e2 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffb0b303f9e (__TEXT,__text) external _glBufferSubData
00007ffb0b308569 (__TEXT,__text) external _glBufferSubDataARB
00007ffb0b300527 (__TEXT,__text) external _glCallList
00007ffb0b300540 (__TEXT,__text) external _glCallLists
00007ffb0b304e68 (__TEXT,__text) external _glCheckFramebufferStatus
00007ffb0b309478 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffb0b30525e (__TEXT,__text) external _glClampColor
00007ffb0b308bd1 (__TEXT,__text) external _glClampColorARB
00007ffb0b30055e (__TEXT,__text) external _glClear
00007ffb0b300577 (__TEXT,__text) external _glClearAccum
00007ffb0b305807 (__TEXT,__text) external _glClearBufferfi
00007ffb0b3057e5 (__TEXT,__text) external _glClearBufferfv
00007ffb0b3057a1 (__TEXT,__text) external _glClearBufferiv
00007ffb0b3057c3 (__TEXT,__text) external _glClearBufferuiv
00007ffb0b30058e (__TEXT,__text) external _glClearColor
00007ffb0b309c83 (__TEXT,__text) external _glClearColorIiEXT
00007ffb0b309ca7 (__TEXT,__text) external _glClearColorIuiEXT
00007ffb0b3005a5 (__TEXT,__text) external _glClearDepth
00007ffb0b3066f1 (__TEXT,__text) external _glClearDepthf
00007ffb0b3005bc (__TEXT,__text) external _glClearIndex
00007ffb0b3005d3 (__TEXT,__text) external _glClearStencil
00007ffb0b303283 (__TEXT,__text) external _glClientActiveTexture
