00007fff6e81f5fa (__TEXT,__text) external _DriverExecutableMain
00007fff8d1ab428 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007fff8d1ab5f0 (__DATA_CONST,__const) external _IODMACommand_Class
00007fff8d1ab750 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007fff6e81cdd3 (__TEXT,__text) external _IODelay
00007fff8d1ab900 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007fff8d1abab0 (__DATA_CONST,__const) external _IODispatchSource_Class
00007fff6e81fa5d (__TEXT,__text) external _IODriverKitTest
00007fff6e83924a (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007fff6e839275 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007fff6e839298 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007fff6e8392c3 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007fff6e8392e6 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007fff6e839309 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007fff6e83932c (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007fff6e83934f (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007fff6e81cdb9 (__TEXT,__text) external _IOFree
00007fff6e81fa53 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007fff8d1abc60 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007fff6e81cde6 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007fff6e81eb47 (__TEXT,__text) external _IOLockAlloc
00007fff6e81eb96 (__TEXT,__text) external _IOLockAssert
00007fff6e838db6 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007fff6e81eb62 (__TEXT,__text) external _IOLockFree
00007fff6e81eb78 (__TEXT,__text) external _IOLockLock
00007fff6e81eb82 (__TEXT,__text) external _IOLockTryLock
00007fff6e81eb8c (__TEXT,__text) external _IOLockUnlock
00007fff6e81cc38 (__TEXT,__text) external _IOLog
00007fff6e81cac4 (__TEXT,__text) external _IOLogBuffer
00007fff6e81cce0 (__TEXT,__text) external _IOLogv
00007fff6e81cd9d (__TEXT,__text) external _IOMalloc
00007fff6e81cda7 (__TEXT,__text) external _IOMallocZero
00007fff8d1abe10 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007fff8d1abfc0 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007fff6e81ce66 (__TEXT,__text) external _IOParseBootArgNumber
00007fff6e81d322 (__TEXT,__text) external _IOParseBootArgString
00007fff6e81defc (__TEXT,__text) external _IORPCMessageFromMach
00007fff6e838b9b (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007fff6e838bd0 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007fff6e81ec0e (__TEXT,__text) external _IORWLockAlloc
00007fff6e838dd9 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007fff6e81ec43 (__TEXT,__text) external _IORWLockFree
00007fff6e81ec6a (__TEXT,__text) external _IORWLockRead
00007fff6e838dfc (__TEXT,__text) non-external _IORWLockRead.cold.1
00007fff6e81ec92 (__TEXT,__text) external _IORWLockUnlock
00007fff6e838e42 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007fff6e81ec7e (__TEXT,__text) external _IORWLockWrite
00007fff6e838e1f (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007fff6e81ebb2 (__TEXT,__text) external _IORecursiveLockAlloc
00007fff6e81ebce (__TEXT,__text) external _IORecursiveLockFree
00007fff6e81ebfa (__TEXT,__text) external _IORecursiveLockHaveLock
00007fff6e81ebe4 (__TEXT,__text) external _IORecursiveLockLock
00007fff6e81ec04 (__TEXT,__text) external _IORecursiveLockTryLock
00007fff6e81ebf0 (__TEXT,__text) external _IORecursiveLockUnlock
00007fff8d1ac320 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007fff8d1ac170 (__DATA_CONST,__const) external _IOService_Class
00007fff6e81cdc3 (__TEXT,__text) external _IOSleep
00007fff8d1ac480 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007fff8d1ac630 (__DATA_CONST,__const) external _IOUserClient_Class
00007fff6e81f63c (__TEXT,__text) external _IOUserServerMain
00007fff6e83910f (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007fff6e839132 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007fff6e839155 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007fff6e839178 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007fff6e83919b (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007fff6e8391be (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007fff6e8391e1 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007fff6e839204 (__TEXT,__text) non-external _IOUserServerMain.cold.8
