00000001804fb85c (__TEXT,__text) external _OSAtomicAdd32
00000001804fb91c (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001804fba14 (__TEXT,__text) external _OSAtomicAdd64
00000001804fbb8c (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001804fbb1c (__TEXT,__text) external _OSAtomicAnd32
00000001804fc644 (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001804fc5b8 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001804fba38 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001804fb848 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001804fb8dc (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001804fa8f8 (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001804fb8c8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001804fbad4 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001804fbbbc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001804fbaf4 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001804fba44 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001804fbb08 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001804fb8f0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001804fae34 (__TEXT,__text) external _OSAtomicDecrement32
00000001804fb990 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001804fbb7c (__TEXT,__text) external _OSAtomicDecrement64
00000001804fbb2c (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001804f9030 (__TEXT,__text) external _OSAtomicDequeue
00000001804f92cc (__TEXT,__text) external _OSAtomicEnqueue
00000001804fdda8 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001804ff538 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
00000001804fdd40 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001804ff538 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
00000001804fae24 (__TEXT,__text) external _OSAtomicIncrement32
00000001804fb980 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001804fb6fc (__TEXT,__text) external _OSAtomicIncrement64
00000001804fbac4 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804fbae8 (__TEXT,__text) external _OSAtomicOr32
00000001804fb904 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001804fbbb4 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804febcc (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001804fbb3c (__TEXT,__text) external _OSAtomicTestAndClear
00000001804fc604 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001804fc5c4 (__TEXT,__text) external _OSAtomicTestAndSet
00000001804fba58 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804febd4 (__TEXT,__text) external _OSAtomicXor32
00000001804fb910 (__TEXT,__text) external _OSAtomicXor32Barrier
00000001804febe0 (__TEXT,__text) external _OSAtomicXor32Orig
00000001804febe8 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001804fb8c0 (__TEXT,__text) external _OSMemoryBarrier
00000001804fb6d8 (__TEXT,__text) external _OSSpinLockLock
00000001804fba20 (__TEXT,__text) external _OSSpinLockTry
00000001804fb6f4 (__TEXT,__text) external _OSSpinLockUnlock
00000001804ffe58 (__TEXT,__const) non-external _UUID_NULL
00000001804fffb0 (__TEXT,__cstring) non-external __0x
00000001804fff8e (__TEXT,__cstring) non-external __H
00000001804fed18 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001804fece4 (__TEXT,__text) non-external __OSAtomicDequeue_misalign_mte
00000001804fec18 (__TEXT,__text) non-external __OSAtomicDequeue_mte
00000001804fec88 (__TEXT,__text) non-external __OSAtomicDequeue_plain
00000001804febf0 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001804fb9a0 (__TEXT,__text) external __OSSpinLockLockSlow
00000001804fe1b0 (__TEXT,__text) non-external __OSSpinLockLockYield
00000001804fb030 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001ec718050 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001804fae44 (__TEXT,__text) external ___libplatform_init
00000001804fcdfc (__TEXT,__text) external ___os_log_simple_offset
00000001804fe51c (__TEXT,__text) external ___os_once_reset
00000001804fde5c (__TEXT,__text) non-external (was a private external) ___os_security_config_init
00000001804ff560 (__TEXT,__text) non-external ___os_security_config_init.cold.1
00000001804ff580 (__TEXT,__text) non-external ___os_security_config_init.cold.2
00000001804ff5a8 (__TEXT,__text) non-external ___os_security_config_init.cold.3
00000001804ff5d0 (__TEXT,__text) non-external ___os_security_config_init.cold.4
00000001804faea8 (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001804ffe48 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804ffe10 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001804fa9d0 (__TEXT,__text) external ___platform_sigaction
00000001e9c54000 (__DATA,__script_config) non-external (was a private external) ___restrictions_config
00000001ec718048 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001804fbbec (__TEXT,__text) non-external ___simple_bprintf
00000001804fedc8 (__TEXT,__text) external ___sme_memchr
00000001804fee9c (__TEXT,__text) external ___sme_memcpy
00000001804fef7c (__TEXT,__text) external ___sme_memmove
00000001804ff084 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
00000001804ff1e8 (__TEXT,__text) external __ctx_done
00000001804fcd20 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804fd6ac (__TEXT,__text) non-external __enlarge
00000001804ff4e8 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001804fd604 (__TEXT,__text) non-external __flush
00000001804fd5d4 (__TEXT,__text) non-external __flush_reset
00000001804fff9f (__TEXT,__cstring) non-external __h
00000001804f9784 (__TEXT,__text) external __longjmp
00000001804f8cd8 (__TEXT,__text) non-external __os_alloc
00000001804ff810 (__TEXT,__text) non-external __os_alloc.cold.1
00000001ec718058 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001804f8c8c (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804fb20c (__TEXT,__text) non-external __os_alloc_slow
00000001804ff5f8 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001804fb768 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001804fb7a4 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001804fbaa4 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001804fb798 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001804fe4b8 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001804fe4dc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001804fe4fc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804ff744 (__TEXT,__text) non-external __os_lock_recursive_abort
00000001804fb894 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804fe290 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001804fb8b4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804ffe68 (__TEXT,__const) non-external __os_lock_type_base
00000001edd85498 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001edd854b8 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001edd854f8 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001edd85498 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001edd85498 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001edd854d8 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001804fb868 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001804fe478 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001804fe498 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001804fd090 (__TEXT,__text) external __os_log_simple
00000001804fd288 (__TEXT,__text) external __os_log_simple_parse
00000001804fd258 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001804fd1ec (__TEXT,__text) external __os_log_simple_parse_message
00000001804fd1b0 (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001804fd21c (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001804fd178 (__TEXT,__text) external __os_log_simple_parse_type
00000001804fd3c4 (__TEXT,__text) external __os_log_simple_reinit_4launchd
00000001804ff45c (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
00000001804fcf18 (__TEXT,__text) external __os_log_simple_send
00000001804fd150 (__TEXT,__text) external __os_log_simple_shim
00000001804f965c (__TEXT,__text) external __os_nospin_lock_lock
00000001804fac7c (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001804f9698 (__TEXT,__text) external __os_nospin_lock_trylock
00000001804f967c (__TEXT,__text) external __os_nospin_lock_unlock
00000001804fad74 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001804f8b20 (__TEXT,__text) external __os_once
00000001804ff7f0 (__TEXT,__text) non-external __os_once.cold.1
00000001804f8b78 (__TEXT,__text) non-external __os_once_callout
00000001804fabd0 (__TEXT,__text) non-external __os_once_gate_broadcast
00000001804ff71c (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804ff6cc (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804ff6f4 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001804faa40 (__TEXT,__text) non-external __os_once_gate_wait
00000001804fa950 (__TEXT,__text) external __os_semaphore_create
00000001804ff838 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001804ff860 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001804fa9a0 (__TEXT,__text) external __os_semaphore_dispose
00000001804ff888 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001804fb928 (__TEXT,__text) external __os_semaphore_signal
00000001804ff8b0 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001804fb948 (__TEXT,__text) external __os_semaphore_wait
00000001804ff8d8 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001804ff670 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001804f9314 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001804ff620 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804fe2d0 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
00000001804f9484 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804ff648 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
00000001804fb030 (__TEXT,__text) external __platform_bzero
00000001804fed40 (__TEXT,__text) external __platform_memccpy
00000001804f8e00 (__TEXT,__text) external __platform_memchr
00000001804f8f10 (__TEXT,__text) external __platform_memcmp
00000001804fcac0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000001804fb360 (__TEXT,__text) external __platform_memmove
00000001804fb090 (__TEXT,__text) external __platform_memset
00000001804f9120 (__TEXT,__text) external __platform_memset_pattern16
00000001804f90e0 (__TEXT,__text) external __platform_memset_pattern4
00000001804f9100 (__TEXT,__text) external __platform_memset_pattern8
00000001804fb660 (__TEXT,__text) external __platform_strchr
00000001804f8920 (__TEXT,__text) external __platform_strcmp
00000001804fc730 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
00000001804fcb90 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
00000001804f8d90 (__TEXT,__text) external __platform_strcpy
00000001edd85410 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001804f988c (__TEXT,__text) external __platform_strlcat
00000001804f9064 (__TEXT,__text) external __platform_strlcpy
00000001804f8ac0 (__TEXT,__text) external __platform_strlen
00000001804f89b4 (__TEXT,__text) external __platform_strncmp
00000001804fc9b0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
00000001804fc830 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
00000001804f95b8 (__TEXT,__text) external __platform_strncpy
00000001804f8a20 (__TEXT,__text) external __platform_strnlen
00000001804f9530 (__TEXT,__text) external __platform_strstr
00000001804fcc8c (__TEXT,__text) non-external (was a private external) __setcontext
00000001804f9724 (__TEXT,__text) external __setjmp
00000001804fb70c (__TEXT,__text) non-external (was a private external) __sigtramp
00000001804fbb98 (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001804fd440 (__TEXT,__text) non-external __simple_asl_connect
00000001804fa6b4 (__TEXT,__text) non-external __simple_asl_connect_once
00000001804fa378 (__TEXT,__text) non-external __simple_asl_escape_key
00000001804fa3ec (__TEXT,__text) non-external __simple_asl_escape_val
00000001804fd4f0 (__TEXT,__text) external __simple_asl_get_fd
00000001804ff484 (__TEXT,__text) non-external __simple_asl_get_fd.cold.1
00000001804fb164 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001804fb344 (__TEXT,__text) non-external __simple_asl_init_context
00000001804fa10c (__TEXT,__text) external __simple_asl_log
00000001804ff4b0 (__TEXT,__text) non-external __simple_asl_log.cold.1
00000001804fa178 (__TEXT,__text) external __simple_asl_log_prog
00000001804fa1b8 (__TEXT,__text) external __simple_asl_msg_new
00000001804fa204 (__TEXT,__text) external __simple_asl_msg_set
00000001804fa4ec (__TEXT,__text) external __simple_asl_send
