00007ff8400abd80 (__DATA,__data) non-external _C
00007ff8400b8a08 (__DATA,__bss) non-external _EMSG
00007ff8400b8a09 (__DATA,__bss) non-external _EMSG
00007ff8400add28 (__DATA,__bss) non-external _NXArgc_pointer
00007ff8400add20 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800b55962 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800b55999 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800b55a99 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800b55a5a (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff840076870 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840076890 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840076938 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840076b80 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400ac610 (__DATA,__data) external __CurrentRuneLocale
00007ff8400ace98 (__DATA,__constrw) external __DefaultRuneLocale
00007ff8400adb20 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800b57b29 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff800b57b8f (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff800b57bd5 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff800b57bb3 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff800b57bdf (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff800b57cc3 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff800b57d29 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff800b57d7e (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff800b57d53 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff800b57d88 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff800b57c03 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
