0000000183cd8738 (__TEXT,__text) external _CreateLSTMBreakEngine
0000000183cd86fc (__TEXT,__text) external _CreateLSTMData
0000000183cd85a8 (__TEXT,__text) external _CreateLSTMDataForScript
0000000183cd88ec (__TEXT,__text) external _DeleteLSTMData
0000000183cd8938 (__TEXT,__text) external _LSTMDataName
0000000183cb5c88 (__TEXT,__text) external _T_CString_int64ToString
0000000183cb5bbc (__TEXT,__text) external _T_CString_integerToString
0000000183cb5d58 (__TEXT,__text) external _T_CString_stringToInteger
0000000183cb5b68 (__TEXT,__text) external _T_CString_toLowerCase
0000000183cb5b90 (__TEXT,__text) external _T_CString_toUpperCase
0000000183d234e0 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000183d2324c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000183d23124 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000183d2338c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000183d23a54 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
0000000183d239fc (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
0000000183d23248 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000183d23a20 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
0000000183d40410 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000183d48cd4 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
0000000183d48d7c (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
0000000183d4a220 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
0000000183d48790 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
0000000183d48834 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
0000000183d477d8 (__TEXT,__text) external __Z17ulocimp_getRegionPKcR10UErrorCode
0000000183d47724 (__TEXT,__text) external __Z17ulocimp_getScriptPKcR10UErrorCode
0000000183d4a374 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
0000000183d47940 (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu10CharStringES3_S3_S3_PS0_R10UErrorCode
0000000183d47aec (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu8ByteSinkES3_S3_S3_PS0_R10UErrorCode
0000000183d4788c (__TEXT,__text) external __Z18ulocimp_getVariantPKcR10UErrorCode
0000000183d4957c (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcR10UErrorCode
0000000183d49624 (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcRN3icu8ByteSinkER10UErrorCode
0000000183d460f4 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccRN3icu8ByteSinkEbR10UErrorCode
0000000183d46038 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccbR10UErrorCode
0000000183d47670 (__TEXT,__text) external __Z19ulocimp_getLanguagePKcR10UErrorCode
0000000183d4a310 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
0000000183d496f4 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcR10UErrorCode
0000000183d4979c (__TEXT,__text) external __Z20ulocimp_canonicalizePKcRN3icu8ByteSinkER10UErrorCode
0000000183d4a5f4 (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
0000000183d4c280 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
0000000183d4c1cc (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
0000000183d4d4e8 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
0000000183d4d5a4 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciRN3icu8ByteSinkEPiR10UErrorCode
0000000183d4657c (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEER10UErrorCode
0000000183d46638 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
0000000183cd0c6c (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcR10UErrorCode
0000000183cd0d14 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcRN3icu8ByteSinkEbR10UErrorCode
0000000183d47484 (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_RN3icu10CharStringER10UErrorCode
0000000183d46d10 (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_S3_RN3icu8ByteSinkER10UErrorCode
0000000183cd0734 (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcR10UErrorCode
0000000183cd07d8 (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcRN3icu8ByteSinkER10UErrorCode
0000000183d49ca8 (__TEXT,__text) external __Z28ulocimp_toBcpKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
0000000183d49dc8 (__TEXT,__text) external __Z29ulocimp_toBcpTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
0000000183d7430c (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
0000000183d49eb8 (__TEXT,__text) external __Z31ulocimp_toLegacyKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
0000000183ef16cc (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000183d4a004 (__TEXT,__text) external __Z32ulocimp_toLegacyTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
0000000183ef1d94 (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
0000000183cd16b0 (__TEXT,__text) external __Z36ulocimp_getRegionForSupplementalDataPKcbR10UErrorCode
0000000183ccc0f0 (__TEXT,__text) external __Z36ulocimp_isCanonicalizedLocaleForTestPKc
0000000183ccc0dc (__TEXT,__text) external __Z42ulocimp_getKnownCanonicalizedLocaleForTestRi
0000000183caca28 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
0000000183cac944 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
0000000183cacaec (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
0000000183cacae4 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
0000000183cac940 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
0000000183cac93c (__TEXT,__text) external __ZN3icu10AppendableD1Ev
0000000183cac938 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
0000000183da155c (__TEXT,__text) external __ZN3icu10CECalendar20setTemporalMonthCodeEPKcR10UErrorCode
0000000183da1400 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_R10UErrorCode
0000000183da1244 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
0000000183da12c0 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
0000000183da12fc (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
0000000183da12f8 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
0000000183da12f4 (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
0000000183da1300 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
0000000183cb54ec (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
