                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000019415de70 (__TEXT,__text) external _pcre_assign_jit_stack
00000001d681f120 (__DATA,__common) external _pcre_callout
000000019413eee8 (__TEXT,__text) external _pcre_compile
000000019413eefc (__TEXT,__text) external _pcre_compile2
0000000194148920 (__TEXT,__text) external _pcre_config
000000019415dad8 (__TEXT,__text) external _pcre_copy_named_substring
000000019415da68 (__TEXT,__text) external _pcre_copy_substring
00000001941489f0 (__TEXT,__text) external _pcre_dfa_exec
000000019414f4c8 (__TEXT,__text) external _pcre_exec
00000001d7e078f0 (__AUTH,__data) external _pcre_free
000000019415fc14 (__TEXT,__text) external _pcre_free_study
000000019415de54 (__TEXT,__text) external _pcre_free_substring
000000019415dd28 (__TEXT,__text) external _pcre_free_substring_list
000000019415d4d8 (__TEXT,__text) external _pcre_fullinfo
000000019415ddd8 (__TEXT,__text) external _pcre_get_named_substring
000000019415d798 (__TEXT,__text) external _pcre_get_stringnumber
000000019415d8ac (__TEXT,__text) external _pcre_get_stringtable_entries
000000019415dd38 (__TEXT,__text) external _pcre_get_substring
000000019415dc1c (__TEXT,__text) external _pcre_get_substring_list
000000019415de74 (__TEXT,__text) external _pcre_jit_free_unused_memory
000000019415de64 (__TEXT,__text) external _pcre_jit_stack_alloc
000000019415de6c (__TEXT,__text) external _pcre_jit_stack_free
000000019415de78 (__TEXT,__text) external _pcre_maketables
00000001d7e078e8 (__AUTH,__data) external _pcre_malloc
000000019413ec4c (__TEXT,__text) external _pcre_pattern_to_host_byte_order
000000019415e658 (__TEXT,__text) external _pcre_refcount
00000001d7e07900 (__AUTH,__data) external _pcre_stack_free
00000001d681f128 (__DATA,__common) external _pcre_stack_guard
00000001d7e078f8 (__AUTH,__data) external _pcre_stack_malloc
000000019415e6bc (__TEXT,__text) external _pcre_study
000000019416021c (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
