00000001a6ebcd90 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a6ebcdb4 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001a6eafb34 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001a6eafc90 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001a6ebd03c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001a6ebfd68 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001a6ebfdf8 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001a6ebd304 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001a6ebc824 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001a6eb6c00 (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001a6eb6c98 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001a6eb71b8 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001a6ebf128 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001a6ebf22c (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001a6eb6be0 (__TEXT,__text) non-external +[MIS isAvailable]
00000001a6eb70cc (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001a6ebf128 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001a6ebf1f8 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001a6eb7018 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001a6ebf1c4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001a6eb6e24 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001a6ebf080 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001a6ebf0f4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001a6ebf128 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001a6ebf15c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001a6eb73c8 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001a6ebf388 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001a6ebf414 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001a6eb72b0 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001a6ebf294 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001a6ebf320 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001a6ebbc68 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001a6ebfa7c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a6ebfa7c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a6eb1600 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a6eb1740 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a6eafe9c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a6eab330 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a6ebd748 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a6ebd81c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a6eab084 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a6eb67b8 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a6eb1dd0 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a6ea99d0 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a6eb0fe8 (__TEXT,__text) non-external +[SPLog exec]
00000001a6eb13d0 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a6eb0eb0 (__TEXT,__text) non-external +[SPLog generic]
00000001a6eb0f4c (__TEXT,__text) non-external +[SPLog kext]
00000001a6eb1084 (__TEXT,__text) non-external +[SPLog measurements]
00000001a6eb11bc (__TEXT,__text) non-external +[SPLog sampling]
00000001a6eb13c4 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a6eb1120 (__TEXT,__text) non-external +[SPLog signposts]
00000001a6eb1258 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a6eb9390 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a6ebf6fc (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:].cold.1
00000001a6eb8e2c (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a6ebf634 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.1
00000001a6ebf698 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.2
00000001a6eb8334 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a6ebf578 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a6eb8188 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a6eb8174 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a6eb872c (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a6eb82ec (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a6eb819c (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a6ebb474 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
