00000001d5a9ffd0 (__DATA,__data) external _NDR_record
000000018041bb64 (__TEXT,__text) non-external __Xexception_raise
000000018041ba50 (__TEXT,__text) non-external __Xexception_raise_state
000000018041b8ec (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018040a6f8 (__TEXT,__text) external _____sigwait_nocancel
0000000180430988 (__TEXT,__const) external ____kernelVersionNumber
0000000180430950 (__TEXT,__const) external ____kernelVersionString
000000018040a724 (__TEXT,__text) external ___abort_with_payload
00000001804061b8 (__TEXT,__text) external ___accept
000000018040a750 (__TEXT,__text) external ___accept_nocancel
000000018040a77c (__TEXT,__text) external ___access_extended
000000018040a7a8 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180405608 (__TEXT,__text) external ___bind
0000000180401630 (__TEXT,__text) external ___bsdthread_create
00000001803ff5cc (__TEXT,__text) external ___bsdthread_ctl
0000000180403718 (__TEXT,__text) external ___bsdthread_register
00000001804006c0 (__TEXT,__text) external ___bsdthread_terminate
0000000180409f4c (__TEXT,__text) external ___carbon_delete
000000018040a7d4 (__TEXT,__text) external ___channel_get_info
000000018040a800 (__TEXT,__text) external ___channel_get_opt
000000018040a82c (__TEXT,__text) external ___channel_open
000000018040a858 (__TEXT,__text) external ___channel_set_opt
000000018040a884 (__TEXT,__text) external ___channel_sync
0000000180401578 (__TEXT,__text) external ___chmod
00000001804031b4 (__TEXT,__text) external ___chmod_extended
00000001803ff0b0 (__TEXT,__text) external ___close_nocancel
000000018040a8b0 (__TEXT,__text) external ___coalition
000000018040a8dc (__TEXT,__text) external ___coalition_info
000000018040a908 (__TEXT,__text) external ___coalition_ledger
00000001803ff724 (__TEXT,__text) external ___commpage_gettimeofday
00000001803ff72c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180401da0 (__TEXT,__text) external ___connect
0000000180401c08 (__TEXT,__text) external ___connect_nocancel
000000018040a934 (__TEXT,__text) external ___copyfile
000000018040a960 (__TEXT,__text) external ___crossarch_trap
00000001803fe324 (__TEXT,__text) external ___csrctl
0000000180413730 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018040a98c (__TEXT,__text) external ___debug_syscall_reject
000000018040a9b8 (__TEXT,__text) external ___debug_syscall_reject_config
0000000180409f78 (__TEXT,__text) external ___delete
0000000180400694 (__TEXT,__text) external ___disable_threadsignal
00000001803fe254 (__TEXT,__text) external ___error
000000018040a9e4 (__TEXT,__text) external ___execve
0000000180404fe4 (__TEXT,__text) external ___exit
000000018040205c (__TEXT,__text) external ___fchmod
00000001804032c0 (__TEXT,__text) external ___fchmod_extended
00000001803fe3d4 (__TEXT,__text) external ___fcntl
0000000180401bb0 (__TEXT,__text) external ___fcntl_nocancel
00000001804053c4 (__TEXT,__text) external ___fork
000000018040aa10 (__TEXT,__text) external ___fs_snapshot
000000018040bdc0 (__TEXT,__text) external ___fstat
0000000180403294 (__TEXT,__text) external ___fstat64_extended
000000018040aa3c (__TEXT,__text) external ___fstat_extended
000000018040be18 (__TEXT,__text) external ___fstatat
000000018040be70 (__TEXT,__text) external ___fstatfs
000000018040aa68 (__TEXT,__text) external ___fsync_nocancel
0000000180406fc4 (__TEXT,__text) external ___get_remove_counter
00000001803fe270 (__TEXT,__text) external ___getattrlist
00000001803ff4f0 (__TEXT,__text) external ___getdirentries64
000000018040bf78 (__TEXT,__text) external ___getfsstat
000000018040315c (__TEXT,__text) external ___gethostuuid
00000001804098e4 (__TEXT,__text) external ___getlogin
0000000180401f34 (__TEXT,__text) external ___getpeername
00000001803fddac (__TEXT,__text) external ___getpid
00000001803ffbfc (__TEXT,__text) external ___getrlimit
000000018040aa94 (__TEXT,__text) external ___getsgroups
00000001804054d0 (__TEXT,__text) external ___getsockname
00000001803ff3b0 (__TEXT,__text) external ___gettid
00000001804016b4 (__TEXT,__text) external ___gettimeofday
0000000180401688 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018040aac0 (__TEXT,__text) external ___getwgroups
000000018040aaec (__TEXT,__text) external ___guarded_open_dprotected_np
00000001804010ec (__TEXT,__text) external ___guarded_open_np
000000018040ab18 (__TEXT,__text) external ___identitysvc
0000000180401410 (__TEXT,__text) external ___inc_remove_counter
00000001804098b8 (__TEXT,__text) external ___initgroups
0000000180401d74 (__TEXT,__text) external ___ioctl
00000001804020e4 (__TEXT,__text) external ___iopolicysys
000000018040ab44 (__TEXT,__text) external ___kdebug_trace
0000000180400454 (__TEXT,__text) external ___kdebug_trace64
000000018040ab70 (__TEXT,__text) external ___kdebug_trace_string
0000000180403434 (__TEXT,__text) external ___kdebug_typefilter
00000001804309f8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001804309c0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180405af0 (__TEXT,__text) external ___kill
0000000180403e48 (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180403370 (__TEXT,__text) external ___lchown
0000000180403460 (__TEXT,__text) external ___libkernel_init
000000018040d1d4 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000018040d0e4 (__TEXT,__text) external ___libkernel_init_late
0000000180403704 (__TEXT,__text) external ___libkernel_platform_init
00000001803fdd9c (__TEXT,__text) external ___libkernel_voucher_init
000000018040618c (__TEXT,__text) external ___listen
000000018040ab9c (__TEXT,__text) external ___log_data
00000001803ff150 (__TEXT,__text) external ___lseek
000000018040c15c (__TEXT,__text) external ___lstat
00000001804031e0 (__TEXT,__text) external ___lstat64_extended
000000018040abc8 (__TEXT,__text) external ___lstat_extended
000000018040abf4 (__TEXT,__text) external ___mac_execve
000000018040ac20 (__TEXT,__text) external ___mac_get_fd
000000018040ac4c (__TEXT,__text) external ___mac_get_file
000000018040ac78 (__TEXT,__text) external ___mac_get_link
000000018040aca4 (__TEXT,__text) external ___mac_get_mount
000000018040acd0 (__TEXT,__text) external ___mac_get_pid
000000018040acfc (__TEXT,__text) external ___mac_get_proc
000000018040ad28 (__TEXT,__text) external ___mac_getfsstat
000000018040ad54 (__TEXT,__text) external ___mac_mount
000000018040ad80 (__TEXT,__text) external ___mac_set_fd
000000018040adac (__TEXT,__text) external ___mac_set_file
000000018040add8 (__TEXT,__text) external ___mac_set_link
000000018040612c (__TEXT,__text) external ___mac_set_proc
00000001803ff25c (__TEXT,__text) external ___mac_syscall
000000018040ae04 (__TEXT,__text) external ___mach_bridge_remote_time
000000018040ae30 (__TEXT,__text) external ___mach_eventlink_signal
000000018040ae5c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018040ae88 (__TEXT,__text) external ___mach_eventlink_wait_until
000000018040aeb4 (__TEXT,__text) external ___map_with_linking_np
000000018040aee0 (__TEXT,__text) external ___memorystatus_available_memory
000000018040af0c (__TEXT,__text) external ___microstackshot
000000018040af38 (__TEXT,__text) external ___mkdir_extended
000000018040af64 (__TEXT,__text) external ___mkfifo_extended
00000001803fe528 (__TEXT,__text) external ___mmap
000000018040165c (__TEXT,__text) external ___mprotect
000000018040af90 (__TEXT,__text) external ___msgctl
000000018040afbc (__TEXT,__text) external ___msgrcv_nocancel
000000018040afe8 (__TEXT,__text) external ___msgsnd_nocancel
000000018040b014 (__TEXT,__text) external ___msgsys
0000000180403db8 (__TEXT,__text) external ___msync
000000018040b040 (__TEXT,__text) external ___msync_nocancel
0000000180401280 (__TEXT,__text) external ___munmap
000000018040b06c (__TEXT,__text) external ___nexus_create
000000018040b098 (__TEXT,__text) external ___nexus_deregister
000000018040b0c4 (__TEXT,__text) external ___nexus_destroy
000000018040b0f0 (__TEXT,__text) external ___nexus_get_opt
000000018040b11c (__TEXT,__text) external ___nexus_open
000000018040b148 (__TEXT,__text) external ___nexus_register
000000018040b174 (__TEXT,__text) external ___nexus_set_opt
