00007ffb06707144 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ffb06707274 (__TEXT,__gcc_except_tab) non-external GCC_except_table160
00007ffb067072b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table183
00007ffb067072c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table219
00007ffb067072d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table225
00007ffb067072ec (__TEXT,__gcc_except_tab) non-external GCC_except_table274
00007ffb067072fc (__TEXT,__gcc_except_tab) non-external GCC_except_table306
00007ffb06707348 (__TEXT,__gcc_except_tab) non-external GCC_except_table401
00007ffb0670735c (__TEXT,__gcc_except_tab) non-external GCC_except_table415
00007ffb0670736c (__TEXT,__gcc_except_tab) non-external GCC_except_table416
00007ffb06707380 (__TEXT,__gcc_except_tab) non-external GCC_except_table419
00007ffb06707394 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
00007ffb067073b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table421
00007ffb067073dc (__TEXT,__gcc_except_tab) non-external GCC_except_table478
00007ffb06707400 (__TEXT,__gcc_except_tab) non-external GCC_except_table543
00007ffb06707174 (__TEXT,__gcc_except_tab) non-external GCC_except_table61
00007ffb067071b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table63
00007ffb067071dc (__TEXT,__gcc_except_tab) non-external GCC_except_table64
00007ffb067071f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table70
00007ffb06707204 (__TEXT,__gcc_except_tab) non-external GCC_except_table73
00007ffb066f0410 (__TEXT,__text) external _CCCacheDeleteDisablePurgeNotification
00007ffb066ef42f (__TEXT,__text) external _CCCacheDeleteEnablePurgeNotification
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArraySortValues (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryApplyFunction (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFErrorCopyFailureReason (from CoreFoundation)
                 (undefined) external _CFGetRetainCount (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNotificationCenterAddObserver (from CoreFoundation)
                 (undefined) external _CFNotificationCenterGetDarwinNotifyCenter (from CoreFoundation)
                 (undefined) external _CFNumberCompare (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
