00000002679f74a8 (__TEXT,__text) external _BSDPClientCreate
00000002679f749c (__TEXT,__text) external _BSDPClientCreateWithInterface
00000002679f68b0 (__TEXT,__text) external _BSDPClientCreateWithInterfaceAndAttributes
00000002679f74bc (__TEXT,__text) external _BSDPClientFree
00000002679f7590 (__TEXT,__text) external _BSDPClientList
00000002679f7bd8 (__TEXT,__text) external _BSDPClientSelect
00000002679f6878 (__TEXT,__text) external _BSDPImageDescriptionIdentifierImageKind
00000002679f6840 (__TEXT,__text) external _BSDPImageDescriptionIdentifierIsInstall
00000002679f6804 (__TEXT,__text) external _BSDPImageDescriptionIdentifierIsServerLocal
00000002679f67c8 (__TEXT,__text) external _BSDPImageDescriptionIndexIsServerLocal
00000002679f8150 (__TEXT,__text) external _BSPPClientSelect
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopAddTimer (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRemoveSource (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerInvalidate (from CoreFoundation)
                 (undefined) external _CFSocketCreateRunLoopSource (from CoreFoundation)
                 (undefined) external _CFSocketCreateWithNative (from CoreFoundation)
                 (undefined) external _CFSocketInvalidate (from CoreFoundation)
                 (undefined) external _CFStringCreateArrayBySeparatingStrings (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _CFStringHasSuffix (from CoreFoundation)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperties (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _SCDynamicStoreCopyMultiple (from SystemConfiguration)
                 (undefined) external _SCDynamicStoreCreate (from SystemConfiguration)
                 (undefined) external _SCDynamicStoreKeyCreateNetworkServiceEntity (from SystemConfiguration)
                 (undefined) external _SCNetworkInterfaceGetInterfaceType (from SystemConfiguration)
                 (undefined) external __SCNetworkInterfaceCreateWithBSDName (from SystemConfiguration)
                 (undefined) external __SCNetworkInterfaceIsCarPlay (from SystemConfiguration)
                 (undefined) external __SCNetworkInterfaceIsTetheredHotspot (from SystemConfiguration)
                 (undefined) external __SC_syslog_os_log_mapping (from SystemConfiguration)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___SC_log_enabled (from SystemConfiguration)
                 (undefined) external ___SC_log_send (from SystemConfiguration)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
