00007ff90d0974ef (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90d097506 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff90d087dea (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00007ff90d087c5a (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff90d088112 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff90d097983 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff90d09ad15 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff90d09ad9c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff90d097c8f (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff90d097133 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff90d0900b9 (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff90d099fb4 (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00007ff90d090102 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff90d0906f9 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff90d09a194 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff90d09a1fe (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff90d090098 (__TEXT,__text) non-external +[MIS isAvailable]
00007ff90d090603 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff90d09a12c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff90d09a160 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff90d090551 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff90d09a0f8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff90d090306 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff90d099fcc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff90d09a036 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff90d09a06a (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff90d09a09e (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff90d09091c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff90d09a31c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff90d09a39c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff90d0907f8 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff90d09a232 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff90d09a29c (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff90d09652e (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff90d09aa5d (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff90d09aab7 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff90d089ac5 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90d089bed (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff90d0882d0 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff90d0827ec (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff90d098440 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff90d0821d8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00007ff90d0982b4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00007ff90d09834d (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00007ff90d0983e6 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00007ff90d081ce6 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff90d09829c (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00007ff90d082031 (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00007ff90d08fc48 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff90d08a291 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff90d080439 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff90d089737 (__TEXT,__text) non-external +[SPLog downloads]
00007ff90d0999f6 (__TEXT,__text) non-external +[SPLog downloads].cold.1
00007ff90d0895ff (__TEXT,__text) non-external +[SPLog exec]
00007ff90d099996 (__TEXT,__text) non-external +[SPLog exec].cold.1
00007ff90d0898d1 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff90d089563 (__TEXT,__text) non-external +[SPLog generic]
00007ff90d099966 (__TEXT,__text) non-external +[SPLog generic].cold.1
00007ff90d0895b1 (__TEXT,__text) non-external +[SPLog kext]
00007ff90d09997e (__TEXT,__text) non-external +[SPLog kext].cold.1
00007ff90d08964d (__TEXT,__text) non-external +[SPLog measurements]
00007ff90d0999ae (__TEXT,__text) non-external +[SPLog measurements].cold.1
00007ff90d0896e9 (__TEXT,__text) non-external +[SPLog sampling]
00007ff90d0999de (__TEXT,__text) non-external +[SPLog sampling].cold.1
00007ff90d0898c5 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff90d08969b (__TEXT,__text) non-external +[SPLog signposts]
00007ff90d0999c6 (__TEXT,__text) non-external +[SPLog signposts].cold.1
00007ff90d089785 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff90d099a0e (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00007ff90d0930d6 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff90d092908 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff90d091a7b (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff90d09a6c9 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff90d0918b7 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff90d091899 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff90d091ef3 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff90d091a38 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff90d0918d5 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff90d095d2d (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff90d07fbd7 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00007ff90d081bfc (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00007ff90d08164b (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff90d081571 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff90d08142a (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff90d081270 (__TEXT,__text) non-external -[AKELData init]
00007ff90d081612 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff90d081538 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff90d081016 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
